START-OF-LOG: 3.0
CALLSIGN: W3YJ
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 20097
NAME: Harry Bloomberg
LOCATION: WPA
OPERATORS: W3YJ
CLUB: Skyview Radio Society
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6349.0
SOAPBOX: First time entered this contest.  Lots of fun operating QRP.
QSO: 14009 CW 2017-05-27 0001 W3YJ          599 0001   K3LR          599 0002
QSO: 14010 CW 2017-05-27 0002 W3YJ          599 0002   EI7KD         599 0002
QSO: 14011 CW 2017-05-27 0007 W3YJ          599 0003   K5WI          599 0018
QSO: 14013 CW 2017-05-27 0010 W3YJ          599 0004   DM9K          599 0020
QSO: 14014 CW 2017-05-27 0013 W3YJ          599 0005   K0MD          599 0023
QSO: 14015 CW 2017-05-27 0021 W3YJ          599 0006   DD0CC         599 0042
QSO: 14015 CW 2017-05-27 0032 W3YJ          599 0007   W0HBH         599 0020
QSO: 14016 CW 2017-05-27 0045 W3YJ          599 0008   VA1MM         599 0065
QSO: 14016 CW 2017-05-27 0046 W3YJ          599 0009   YT3X          599 0100
QSO: 14017 CW 2017-05-27 0050 W3YJ          599 0010   S50R          599 0117
QSO: 14018 CW 2017-05-27 0053 W3YJ          599 0011   DK3WW         599 0043
QSO: 14027 CW 2017-05-27 0057 W3YJ          599 0012   F6KOP         599 0122
QSO: 14037 CW 2017-05-27 0116 W3YJ          599 0013   II9P          599 0197
QSO: 14039 CW 2017-05-27 0116 W3YJ          599 0014   DJ5MW         599 0189
QSO: 14040 CW 2017-05-27 0121 W3YJ          599 0015   WK7S          599 0114
QSO: 14042 CW 2017-05-27 0124 W3YJ          599 0016   N1TO          599 0156
QSO: 14044 CW 2017-05-27 0126 W3YJ          599 0017   LY8O          599 0148
QSO: 14053 CW 2017-05-27 0147 W3YJ          599 0018   PJ2T          599 0246
QSO: 14057 CW 2017-05-27 0151 W3YJ          599 0019   VA7ST         599 0133
QSO: 14058 CW 2017-05-27 0152 W3YJ          599 0020   WW4R          599 0196
QSO: 14059 CW 2017-05-27 0154 W3YJ          599 0021   UA9MA         599 0133
QSO: 14060 CW 2017-05-27 0200 W3YJ          599 0022   YV5IUA        599 0019
QSO: 14062 CW 2017-05-27 0202 W3YJ          599 0023   ED5O          599 0191
QSO: 14007 CW 2017-05-27 0207 W3YJ          599 0024   VC7T          599 0109
QSO: 14026 CW 2017-05-27 0215 W3YJ          599 0025   K4PV          599 0174
QSO: 14026 CW 2017-05-27 0217 W3YJ          599 0026   E77W          599 0243
QSO: 14031 CW 2017-05-27 0220 W3YJ          599 0027   9A1A          599 0286
QSO: 14035 CW 2017-05-27 0228 W3YJ          599 0028   WQ6X          599 0194
QSO: 14038 CW 2017-05-27 0232 W3YJ          599 0029   KK5I          599 0281
QSO:  7003 CW 2017-05-27 0247 W3YJ          599 0030   S53A          599 0270
QSO:  7006 CW 2017-05-27 0250 W3YJ          599 0031   KQ2M          599 0407
QSO:  7009 CW 2017-05-27 0250 W3YJ          599 0032   AK1W          599 0451
QSO:  3521 CW 2017-05-27 0255 W3YJ          599 0033   K3UL          599 0072
QSO:  3524 CW 2017-05-27 0257 W3YJ          599 0034   K3WW          599 0364
QSO:  3527 CW 2017-05-27 0259 W3YJ          599 0035   WX3B          599 0066
QSO: 14045 CW 2017-05-27 0302 W3YJ          599 0036   OG7O          599 0273
QSO: 14046 CW 2017-05-27 2323 W3YJ          599 0037   EF3T          599 1758
QSO: 14050 CW 2017-05-27 2325 W3YJ          599 0038   8P5A          599 2559
QSO: 14066 CW 2017-05-27 2330 W3YJ          599 0039   IO4T          599 0175
QSO: 14002 CW 2017-05-27 2333 W3YJ          599 0040   VE7NY         599 1102
QSO: 14001 CW 2017-05-27 2336 W3YJ          599 0041   K7RL          599 0805
QSO: 14019 CW 2017-05-27 2340 W3YJ          599 0042   KU6F          599 0943
QSO: 14030 CW 2017-05-27 2345 W3YJ          599 0043   NG7A          599 1340
