START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: OM3BA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 350796
CREATED-BY: UcxLog 6.62
OPERATORS: OM3BA
NAME: Jozef Lancaric
SOAPBOX: tcvr  ICOM 735    out  90 Watts
SOAPBOX: ant   random wire + LC matchbox
SOAPBOX:  [ my age  is  85 yrs + 8 monat ] sorry,not category -  over 80 years age.
QSO: 14000 CW 2017-05-27 0456 OM3BA         599 001    OF0Z          599 374    0
QSO: 14000 CW 2017-05-27 0500 OM3BA         599 002    SV2/SV1RP/A   599 139    0
QSO: 14000 CW 2017-05-27 0501 OM3BA         599 003    P44X          599 567    0
QSO: 14000 CW 2017-05-27 0503 OM3BA         599 004    UT4U          599 345    0
QSO: 14000 CW 2017-05-27 0503 OM3BA         599 005    UV5U          599 310    0
QSO: 14000 CW 2017-05-27 0504 OM3BA         599 006    SK3W          599 212    0
QSO: 14000 CW 2017-05-27 0505 OM3BA         599 007    OH3FM         599 293    0
QSO: 14000 CW 2017-05-27 0507 OM3BA         599 008    EW6W          599 385    0
QSO: 14000 CW 2017-05-27 0511 OM3BA         599 009    RG6G          599 590    0
QSO: 14000 CW 2017-05-27 0513 OM3BA         599 010    UP2L          599 616    0
QSO: 14000 CW 2017-05-27 0513 OM3BA         599 011    II9P          599 510    0
QSO: 14000 CW 2017-05-27 0515 OM3BA         599 012    UX1UX         599 093    0
QSO: 14000 CW 2017-05-27 0518 OM3BA         599 013    SV5DKL        599 230    0
QSO: 14000 CW 2017-05-27 0521 OM3BA         599 014    SZ1A          599 097    0
QSO: 14000 CW 2017-05-27 0522 OM3BA         599 015    ZA/OG1N       599 394    0
QSO: 14000 CW 2017-05-27 0524 OM3BA         599 016    OH8X          599 582    0
QSO: 14000 CW 2017-05-27 0525 OM3BA         599 017    RW4W          599 384    0
QSO: 14000 CW 2017-05-27 0526 OM3BA         599 018    4Z5LY         599 349    0
QSO: 14000 CW 2017-05-27 0527 OM3BA         599 019    UZ0U          599 254    0
QSO: 14000 CW 2017-05-27 0528 OM3BA         599 020    RA7R          599 225    0
QSO: 14000 CW 2017-05-27 0542 OM3BA         599 021    IT9LKX        599 047    0
QSO: 14000 CW 2017-05-27 0544 OM3BA         599 022    SM5IMO        599 185    0
