START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: ON6DP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: ON6DP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2016.
QSO: 21086 RY 2016-09-24 1035 ON6DP         599 14 DX RW0A          599 18 DX
QSO: 21088 RY 2016-09-24 1042 ON6DP         599 14 DX JA6BZI        599 25 DX
QSO: 21088 RY 2016-09-24 1042 ON6DP         599 14 DX JH1RFM        599 25 DX
QSO: 21087 RY 2016-09-24 1044 ON6DP         599 14 DX RV3UQ         599 16 DX
QSO: 21087 RY 2016-09-24 1046 ON6DP         599 14 DX EA8LG         599 33 DX
QSO: 21089 RY 2016-09-24 1055 ON6DP         599 14 DX RO6A          599 16 DX
QSO: 21079 RY 2016-09-24 1501 ON6DP         599 14 DX 3Z5N          599 15 15
QSO: 21080 RY 2016-09-24 1503 ON6DP         599 14 DX AC9S          599 04 IL
QSO: 21080 RY 2016-09-24 1504 ON6DP         599 14 DX W0TY          599 04 MO
QSO: 21080 RY 2016-09-24 1505 ON6DP         599 14 DX N1API         599 05 CT
QSO: 21144 RY 2016-09-24 1508 ON6DP         599 14 DX K0JJR         599 04 MN
QSO: 21136 RY 2016-09-24 1509 ON6DP         599 14 DX VC3S          599 04 ON
QSO: 21137 RY 2016-09-24 1510 ON6DP         599 14 DX K3LR          599 05 PA
QSO: 21133 RY 2016-09-24 1511 ON6DP         599 14 DX WP3C          599 08 DX
QSO: 21000 RY 2016-09-24 1512 ON6DP         599 14 DX W3ZGD         599 05 PA
QSO: 21125 RY 2016-09-24 1515 ON6DP         599 14 DX N3QE          599 05 MD
QSO: 21123 RY 2016-09-24 1516 ON6DP         599 14 DX NV9L          599 04 IL
QSO: 21125 RY 2016-09-24 1516 ON6DP         599 14 DX LT0H          599 13 DX
QSO: 21121 RY 2016-09-24 1517 ON6DP         599 14 DX AB3CV         599 05 MD
QSO: 21121 RY 2016-09-24 1518 ON6DP         599 14 DX N6EE          599 5 NY
QSO: 21121 RY 2016-09-24 1519 ON6DP         599 14 DX W4AAW         599 05 VA
QSO: 21000 RY 2016-09-24 1521 ON6DP         599 14 DX YB0NDT        599 28 DX
QSO: 21114 RY 2016-09-24 1521 ON6DP         599 14 DX NY6DX         599 05 NY
QSO: 21115 RY 2016-09-24 1526 ON6DP         599 14 DX NR4M          599 05 VA
