START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: G3TBK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G3TBK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2016.
QSO: 21124 RY 2016-09-24 0910 G3TBK         599 14 DX JM1NKT        599 25 DX
QSO: 21127 RY 2016-09-24 0910 G3TBK         599 14 DX 9M2A          599 28 DX
QSO: 21113 RY 2016-09-24 0911 G3TBK         599 14 DX VU2MUD        599 22 DX
QSO: 21084 RY 2016-09-24 0916 G3TBK         599 14 DX VR2XMT        599 24 DX
QSO: 21090 RY 2016-09-24 0920 G3TBK         599 14 DX SV9COL        599 20 DX
QSO: 21086 RY 2016-09-24 0922 G3TBK         599 14 DX RW0A          599 18 DX
QSO: 21087 RY 2016-09-24 0924 G3TBK         599 14 DX BD7LMD        599 24 DX
QSO: 14100 RY 2016-09-24 0927 G3TBK         599 14 DX UN6LN         599 17 DX
QSO: 14099 RY 2016-09-24 0928 G3TBK         599 14 DX EA9LZ         599 33 DX
QSO: 21099 RY 2016-09-24 0934 G3TBK         599 14 DX E2X           599 26 DX
QSO: 21081 RY 2016-09-24 0935 G3TBK         599 14 DX UN7JX         599 17 DX
QSO: 21107 RY 2016-09-24 0935 G3TBK         599 14 DX 4Z4AK         599 20 DX
QSO: 21132 RY 2016-09-24 0939 G3TBK         599 14 DX A71EM         599 21 DX
QSO: 14074 RY 2016-09-24 1017 G3TBK         599 14 DX KP2/WE5DX     599 08 DX
QSO: 21101 RY 2016-09-24 1021 G3TBK         599 14 DX XW1IC         599 26 DX
QSO: 21000 RY 2016-09-24 1028 G3TBK         599 14 DX YB0NDT        599 28 DX
QSO: 21115 RY 2016-09-24 1037 G3TBK         599 14 DX PY2NY         599 11 DX
QSO: 21119 RY 2016-09-24 1101 G3TBK         599 14 DX YV1YLY        599 9 DX
QSO: 21123 RY 2016-09-24 1102 G3TBK         599 14 DX NP2X          599 08 DX
QSO: 21084 RY 2016-09-24 1103 G3TBK         599 14 DX P49X          599 9 DX
QSO: 21087 RY 2016-09-24 1105 G3TBK         599 14 DX CR3W          599 33 DX
QSO: 14000 RY 2016-09-24 1125 G3TBK         599 14 DX HI3/HA3JB     599 08 DX
QSO: 14084 RY 2016-09-24 1127 G3TBK         599 14 DX C37NL         599 14 DX
QSO: 14112 RY 2016-09-24 1131 G3TBK         599 14 DX VE3UTT        599 04 ON
QSO: 14087 RY 2016-09-24 1133 G3TBK         599 14 DX A92AA         599 21 DX
QSO: 21105 RY 2016-09-24 1140 G3TBK         599 14 DX FG5LA         599 8 DX
QSO: 21125 RY 2016-09-24 1141 G3TBK         599 14 DX WP3C          599 08 DX
QSO: 21100 RY 2016-09-24 1143 G3TBK         599 14 DX L77D          599 13 DX
QSO: 21000 RY 2016-09-24 1202 G3TBK         599 14 DX 9J2HN         599 36 DX
QSO: 21000 RY 2016-09-24 1204 G3TBK         599 14 DX XV5HS         599 26 DX
QSO: 21088 RY 2016-09-24 1213 G3TBK         599 14 DX HK6NVV        599 09 DX
QSO: 21112 RY 2016-09-24 1232 G3TBK         599 14 DX V31MA         599 7 DX
QSO: 21117 RY 2016-09-24 1302 G3TBK         599 14 DX FM/DD5ZZ      599 08 DX
QSO: 14112 RY 2016-09-24 1309 G3TBK         599 14 DX A71EM         599 21 DX
QSO: 14128 RY 2016-09-24 1311 G3TBK         599 14 DX P49X          599 9 DX
QSO: 21101 RY 2016-09-24 1323 G3TBK         599 14 DX 7Z1HL         599 21 DX
QSO: 21080 RY 2016-09-24 1326 G3TBK         599 14 DX A61DD         599 21 DX
QSO: 21118 RY 2016-09-24 1328 G3TBK         599 14 DX CE3WW         599 12 DX
QSO: 21126 RY 2016-09-24 1339 G3TBK         599 14 DX HZ1PS         599 21 HZ
QSO: 21140 RY 2016-09-24 1344 G3TBK         599 14 DX KG4SS         599 08 DX
QSO: 21000 RY 2016-09-24 1348 G3TBK         599 14 DX D66D          599 39 DX
QSO: 14000 RY 2016-09-24 1350 G3TBK         599 14 DX YB8TK         599 28 DX
QSO: 14103 RY 2016-09-24 1353 G3TBK         599 14 DX XW1IC         599 26 DX
QSO: 14088 RY 2016-09-24 1403 G3TBK         599 14 DX 4J90HAM       599 21 DX
QSO: 14118 RY 2016-09-24 1404 G3TBK         599 14 DX WH0RU         599 27 DX
QSO: 21111 RY 2016-09-24 1407 G3TBK         599 14 DX 7Z1SJ         599 21 DX
QSO: 21126 RY 2016-09-24 1408 G3TBK         599 14 DX ZS2EZ         599 38 DX
QSO: 21139 RY 2016-09-24 1413 G3TBK         599 14 DX 8P2K          599 08 DX
QSO: 21000 RY 2016-09-24 1414 G3TBK         599 14 DX XE1REW/2      599 06 DX
QSO: 21089 RY 2016-09-24 1427 G3TBK         599 14 DX TG9IIN        599 07 DX
QSO: 21082 RY 2016-09-24 1429 G3TBK         599 14 DX CV5Q          599 13 DX
QSO: 14123 RY 2016-09-24 1433 G3TBK         599 14 DX ZB2TT         599 14 DX
QSO: 14142 RY 2016-09-24 1443 G3TBK         599 14 DX WP3C          599 08 DX
QSO: 21102 RY 2016-09-24 1455 G3TBK         599 14 DX HP3/VY2SS     599 7 DX
QSO: 14078 RY 2016-09-24 1459 G3TBK         599 14 DX HB0/DL5YM     599 14 DX
QSO: 21000 RY 2016-09-24 1506 G3TBK         599 14 DX 9V1XX         599 28 DX
QSO: 14093 RY 2016-09-25 1158 G3TBK         599 14 DX HP3/VY2SS     599 7 DX
QSO: 14128 RY 2016-09-25 1159 G3TBK         599 14 DX KG4SS         599 08 DX
QSO: 14000 RY 2016-09-25 1348 G3TBK         599 14 DX VK2RT         599 30 DX
QSO: 21082 RY 2016-09-25 1418 G3TBK         599 14 DX PZ5RA         599 09 DX
QSO: 28107 RY 2016-09-25 1543 G3TBK         599 14 DX ZX2V          599 11 DX
QSO: 28109 RY 2016-09-25 1546 G3TBK         599 14 DX ZS2EZ         599 38 DX
QSO: 28119 RY 2016-09-25 1548 G3TBK         599 14 DX HZ1TL         599 21 DX
QSO: 28082 RY 2016-09-25 1553 G3TBK         599 14 DX A71EM         599 21 DX
QSO: 21000 RY 2016-09-25 1620 G3TBK         599 14 DX ZA5G          599 15 DX
END-OF-LOG:
