START-OF-LOG: 3.0
CALLSIGN: PG1R
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 129789
NAME: Ruud Ivens
LOCATION: DX
OPERATORS: PG1R
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7290.0
SOAPBOX: Rig TS590S, barefoot, average output 75 Watts in this contest.
SOAPBOX: Antenna horizontal dipole for 15-80m bands 5m over ground 17m long.
SOAPBOX: Poor propagation on 10 & 15m this time. Hopefully next year better!
QSO: 21097 RY 2018-09-29 0806 PG1R          599 14 DX  YM7KA         599 20 DX
QSO: 14123 RY 2018-09-29 0812 PG1R          599 14 DX  UY5QQ         599 16 DX
QSO: 14121 RY 2018-09-29 0813 PG1R          599 14 DX  UX1VT         599 16 DX
QSO: 14120 RY 2018-09-29 0815 PG1R          599 14 DX  RM3DA         599 16 DX
QSO: 14120 RY 2018-09-29 0816 PG1R          599 14 DX  LZ6K          599 20 DX
QSO: 14119 RY 2018-09-29 0818 PG1R          599 14 DX  LZ2JA         599 20 DX
QSO: 14117 RY 2018-09-29 0820 PG1R          599 14 DX  PD2JAM        599 14 DX
QSO: 14116 RY 2018-09-29 0823 PG1R          599 14 DX  RL9I          599 18 DX
QSO: 14115 RY 2018-09-29 0824 PG1R          599 14 DX  RT1Q          599 16 DX
QSO: 14115 RY 2018-09-29 0824 PG1R          599 14 DX  YO4NF         599 20 DX
QSO: 14111 RY 2018-09-29 0828 PG1R          599 14 DX  LZ6Y          599 20 DX
QSO: 14110 RY 2018-09-29 0832 PG1R          599 14 DX  SZ1A          599 20 DX
QSO: 14109 RY 2018-09-29 0834 PG1R          599 14 DX  Z37M          599 15 DX
QSO: 14108 RY 2018-09-29 0835 PG1R          599 14 DX  SX2X          599 20 DX
QSO: 14106 RY 2018-09-29 0837 PG1R          599 14 DX  RK3DXW        599 16 DX
QSO: 14105 RY 2018-09-29 0839 PG1R          599 14 DX  SV3SCW        599 20 DX
QSO: 14102 RY 2018-09-29 0845 PG1R          599 14 DX  CR3DX         599 33 DX
QSO: 14101 RY 2018-09-29 0846 PG1R          599 14 DX  UR5R          599 16 DX
QSO: 14098 RY 2018-09-29 0847 PG1R          599 14 DX  IT9RBW        599 15 DX
QSO: 14095 RY 2018-09-29 0853 PG1R          599 14 DX  LZ7A          599 20 DX
QSO: 14094 RY 2018-09-29 0900 PG1R          599 14 DX  A44A          599 21 DX
QSO: 14090 RY 2018-09-29 0906 PG1R          599 14 DX  RC5Z          599 16 DX
QSO: 14090 RY 2018-09-29 0910 PG1R          599 14 DX  5C5W          599 33 DX
QSO: 14089 RY 2018-09-29 0912 PG1R          599 14 DX  UZ2I          599 16 DX
QSO: 14089 RY 2018-09-29 0913 PG1R          599 14 DX  SV8/HB9FIH    599 20 DX
QSO: 14088 RY 2018-09-29 0916 PG1R          599 14 DX  9A5D          599 15 DX
QSO: 14085 RY 2018-09-29 0921 PG1R          599 14 DX  ED7P          599 14 DX
QSO: 14085 RY 2018-09-29 0923 PG1R          599 14 DX  SV1FJF        599 20 DX
QSO: 14082 RY 2018-09-29 0930 PG1R          599 14 DX  UR7GO         599 16 DX
QSO: 14079 RY 2018-09-29 0936 PG1R          599 14 DX  R3IK          599 16 DX
QSO: 14080 RY 2018-09-29 0938 PG1R          599 14 DX  CT7AJL        599 14 DX
QSO: 14079 RY 2018-09-29 0939 PG1R          599 14 DX  EA4BAS        599 14 DX
QSO: 14078 RY 2018-09-29 0940 PG1R          599 14 DX  CR3W          599 33 DX
QSO: 14077 RY 2018-09-29 0942 PG1R          599 14 DX  C37NL         599 14 DX
QSO: 21099 RY 2018-09-29 0944 PG1R          599 14 DX  EA8PT         599 33 DX
QSO: 28083 RY 2018-09-29 0953 PG1R          599 14 DX  PI4CC         599 14 DX
QSO: 14131 RY 2018-09-29 0954 PG1R          599 14 DX  UW3U          599 16 DX
