START-OF-LOG: 3.0
CALLSIGN: G7SOZ
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 592
NAME: Simon
LOCATION: DX
OPERATORS: G7SOZ
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7290.0
SOAPBOX: Thought I'd spend an hour giving away some points and trying QRP!
QSO: 14091 RY 2018-09-30 1531 G7SOZ         599 14 DX  9A5D          599 15 DX
QSO: 14093 RY 2018-09-30 1532 G7SOZ         599 14 DX  IZ8GNR        599 15 DX
QSO: 14084 RY 2018-09-30 1534 G7SOZ         599 14 DX  ED7P          599 14 DX
QSO: 14145 RY 2018-09-30 1538 G7SOZ         599 14 DX  IZ8EFD        599 15 DX
QSO: 14152 RY 2018-09-30 1540 G7SOZ         599 14 DX  IK7RVY        599 15 DX
QSO: 14139 RY 2018-09-30 1545 G7SOZ         599 14 DX  UR5CN         599 16 DX
QSO: 14138 RY 2018-09-30 1546 G7SOZ         599 14 DX  EM9Q          599 16 DX
QSO: 14131 RY 2018-09-30 1552 G7SOZ         599 14 DX  OH2MQ         599 15 DX
QSO: 14120 RY 2018-09-30 1557 G7SOZ         599 14 DX  OG7A          599 15 DX
QSO: 14114 RY 2018-09-30 1600 G7SOZ         599 14 DX  IT9RBW        599 15 DX
QSO: 14101 RY 2018-09-30 1605 G7SOZ         599 14 DX  4O4YCP        599 15 DX
QSO: 14073 RY 2018-09-30 1618 G7SOZ         599 14 DX  CR3DX         599 33 DX
QSO: 14152 RY 2018-09-30 1619 G7SOZ         599 14 DX  IW9BCW        599 15 DX
QSO: 14147 RY 2018-09-30 1621 G7SOZ         599 14 DX  HG2DX         599 15 DX
QSO: 14141 RY 2018-09-30 1625 G7SOZ         599 14 DX  EV1R          599 16 DX
QSO: 14136 RY 2018-09-30 1628 G7SOZ         599 14 DX  EE5H          599 14 DX
QSO: 14131 RY 2018-09-30 1629 G7SOZ         599 14 DX  EM0I          599 16 DX
QSO: 14117 RY 2018-09-30 1632 G7SOZ         599 14 DX  SX2X          599 20 DX
END-OF-LOG:
