START-OF-LOG: 3.0
CALLSIGN: IK4XQT
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 19800
NAME: Stefano
LOCATION: DX
OPERATORS: IK4XQT
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW
SOAPBOX: rtx kenwood ts 140 s 40 w ant windom below of roof!
QSO: 21078 RY 2018-09-29 1036 IK4XQT        599 15 DX  IT9RGY/4      599 15 DX
QSO: 21078 RY 2018-09-29 1038 IK4XQT        599 15 DX  CR3DX         599 33 DX
QSO: 21078 RY 2018-09-29 1049 IK4XQT        599 15 DX  CR3W          599 33 DX
QSO: 14079 RY 2018-09-29 1058 IK4XQT        599 15 DX  LY7Z          599 15 DX
QSO: 14079 RY 2018-09-29 1059 IK4XQT        599 15 DX  OH3OJ         599 15 DX
QSO: 14080 RY 2018-09-29 1102 IK4XQT        599 15 DX  GM4UQG        599 14 DX
QSO: 14079 RY 2018-09-29 1103 IK4XQT        599 15 DX  UR5R          599 16 DX
QSO: 14080 RY 2018-09-29 1104 IK4XQT        599 15 DX  OH1TM         599 15 DX
QSO: 14079 RY 2018-09-29 1106 IK4XQT        599 15 DX  UW3U          599 16 DX
QSO: 14079 RY 2018-09-29 1113 IK4XQT        599 15 DX  OG2P          599 15 DX
QSO: 14079 RY 2018-09-29 1116 IK4XQT        599 15 DX  EE7Y          599 14 DX
QSO: 14079 RY 2018-09-29 1119 IK4XQT        599 15 DX  LA1K          599 14 DX
QSO: 14079 RY 2018-09-29 1123 IK4XQT        599 15 DX  UT4U          599 16 DX
QSO: 14080 RY 2018-09-29 1129 IK4XQT        599 15 DX  OH6DX         599 15 DX
QSO: 14080 RY 2018-09-29 1130 IK4XQT        599 15 DX  OH8A          599 15 DX
QSO: 14079 RY 2018-09-29 1131 IK4XQT        599 15 DX  W3FIZ         599 05 PA
QSO: 14080 RY 2018-09-29 1136 IK4XQT        599 15 DX  I4JED         599 15 DX
QSO: 14079 RY 2018-09-29 1155 IK4XQT        599 15 DX  RK3PWR        599 16 DX
