START-OF-LOG: 3.0
CALLSIGN: DK5DC
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 48140
NAME: Peter Glasmacher
LOCATION: DX
OPERATORS: DK5DC
CLUB: Rhein Ruhr DX Association
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7290.0
SOAPBOX: Got only a few hours. Participation is the magic word :-)
QSO:  3586 RY 2018-09-29 0700 DK5DC         599 14 DX  SO9M          599 15 DX
QSO:  3582 RY 2018-09-29 0701 DK5DC         599 14 DX  PI4CC         599 14 DX
QSO:  7096 RY 2018-09-29 0706 DK5DC         599 14 DX  F5MUX         599 14 DX
QSO:  7083 RY 2018-09-29 0707 DK5DC         599 14 DX  SO4M          599 15 DX
QSO:  7040 RY 2018-09-29 0711 DK5DC         599 14 DX  OM4O          599 15 DX
QSO:  7041 RY 2018-09-29 0712 DK5DC         599 14 DX  US7KC         599 16 DX
QSO:  7042 RY 2018-09-29 0714 DK5DC         599 14 DX  S51CK         599 15 DX
QSO:  7080 RY 2018-09-29 0716 DK5DC         599 14 DX  VP2V/AA7V     599 08 DX
QSO:  7077 RY 2018-09-29 0717 DK5DC         599 14 DX  2E0CVN        599 14 DX
QSO:  7071 RY 2018-09-29 0720 DK5DC         599 14 DX  LZ5K          599 20 DX
QSO:  7068 RY 2018-09-29 0721 DK5DC         599 14 DX  HA6NL         599 15 DX
QSO:  7065 RY 2018-09-29 0723 DK5DC         599 14 DX  EF1Z          599 14 DX
QSO:  7064 RY 2018-09-29 0724 DK5DC         599 14 DX  HB9ODP        599 14 DX
QSO:  7063 RY 2018-09-29 0725 DK5DC         599 14 DX  IW7DBM        599 15 DX
QSO:  7062 RY 2018-09-29 0726 DK5DC         599 14 DX  TM0T          599 14 DX
QSO:  7060 RY 2018-09-29 0728 DK5DC         599 14 DX  GM3W          599 14 DX
QSO:  7060 RY 2018-09-29 0728 DK5DC         599 14 DX  SM5IMO        599 14 DX
QSO:  7036 RY 2018-09-29 0730 DK5DC         599 14 DX  NR4M          599 05 VA
QSO:  7039 RY 2018-09-29 0731 DK5DC         599 14 DX  LY7Z          599 15 DX
QSO:  7044 RY 2018-09-29 0731 DK5DC         599 14 DX  9A1A          599 15 DX
QSO:  7060 RY 2018-09-29 0743 DK5DC         599 14 DX  K6DTT/1       599 05 ME
QSO:  7049 RY 2018-09-29 0751 DK5DC         599 14 DX  C37NL         599 14 DX
QSO: 14120 RY 2018-09-29 0805 DK5DC         599 14 DX  RM3DA         599 16 DX
QSO: 14093 RY 2018-09-29 0807 DK5DC         599 14 DX  RW0A          599 18 DX
QSO: 14086 RY 2018-09-29 0807 DK5DC         599 14 DX  IQ9UI         599 15 DX
QSO: 14094 RY 2018-09-29 0812 DK5DC         599 14 DX  A44A          599 21 DX
QSO: 14122 RY 2018-09-29 0813 DK5DC         599 14 DX  JH4UYB        599 25 DX
QSO: 14080 RY 2018-09-29 0815 DK5DC         599 14 DX  4J3DJ         599 21 DX
QSO: 14100 RY 2018-09-29 0817 DK5DC         599 14 DX  A61QQ         599 21 DX
QSO: 14082 RY 2018-09-29 0818 DK5DC         599 14 DX  TA2EJ         599 20 DX
QSO: 14120 RY 2018-09-29 0819 DK5DC         599 14 DX  LZ6K          599 20 DX
QSO: 14084 RY 2018-09-29 0823 DK5DC         599 14 DX  EA7IA         599 14 DX
QSO: 14090 RY 2018-09-29 0824 DK5DC         599 14 DX  5C5W          599 33 DX
QSO: 14101 RY 2018-09-29 0837 DK5DC         599 14 DX  BD3CB         599 24 DX
QSO: 14078 RY 2018-09-29 0918 DK5DC         599 14 DX  US7IY         599 16 DX
QSO: 14081 RY 2018-09-29 0922 DK5DC         599 14 DX  RU5TT         599 16 DX
QSO: 14086 RY 2018-09-29 0923 DK5DC         599 14 DX  R3VL          599 16 DX
QSO: 14120 RY 2018-09-29 0925 DK5DC         599 14 DX  JS3CTQ        599 25 DX
QSO: 21085 RY 2018-09-29 0929 DK5DC         599 14 DX  LY7Z          599 15 DX
QSO: 21080 RY 2018-09-29 0931 DK5DC         599 14 DX  CR3W          599 33 DX
QSO: 14110 RY 2018-09-29 1002 DK5DC         599 14 DX  SZ1A          599 20 DX
QSO: 14077 RY 2018-09-29 1004 DK5DC         599 14 DX  C37NL         599 14 DX
QSO: 21090 RY 2018-09-29 1010 DK5DC         599 14 DX  CR3DX         599 33 DX
QSO: 14136 RY 2018-09-29 1024 DK5DC         599 14 DX  OX3LX         599 40 DX
QSO: 14108 RY 2018-09-29 1102 DK5DC         599 14 DX  A45XR         599 21 DX
QSO: 14133 RY 2018-09-29 1109 DK5DC         599 14 DX  K1SFA         599 05 MA
QSO: 14131 RY 2018-09-29 1112 DK5DC         599 14 DX  KI1G          599 05 RI
QSO: 14116 RY 2018-09-29 1115 DK5DC         599 14 DX  TF3PPN        599 40 DX
QSO: 14106 RY 2018-09-29 1119 DK5DC         599 14 DX  CR3DX         599 33 DX
QSO: 21083 RY 2018-09-29 1121 DK5DC         599 14 DX  4K6FO         599 21 DX
QSO: 21081 RY 2018-09-29 1123 DK5DC         599 14 DX  4J3DJ         599 21 DX
QSO: 21086 RY 2018-09-29 1124 DK5DC         599 14 DX  EF8U          599 33 DX
QSO: 21092 RY 2018-09-29 1127 DK5DC         599 14 DX  PY2XV         599 11 DX
QSO: 21089 RY 2018-09-29 1130 DK5DC         599 14 DX  PZ5RA         599 09 DX
QSO: 21098 RY 2018-09-29 1132 DK5DC         599 14 DX  ZX2B          599 11 DX
QSO: 14138 RY 2018-09-29 1150 DK5DC         599 14 DX  W3FV          599 05 PA
QSO: 14143 RY 2018-09-29 1153 DK5DC         599 14 DX  VC3S          599 04 ON
QSO:  7092 RY 2018-09-29 2208 DK5DC         599 14 DX  W3FV          599 05 PA
QSO:  7096 RY 2018-09-29 2210 DK5DC         599 14 DX  YU1KT         599 15 DX
QSO:  7072 RY 2018-09-29 2211 DK5DC         599 14 DX  OH8A          599 15 DX
QSO:  7097 RY 2018-09-29 2213 DK5DC         599 14 DX  MJ5Z          599 14 DX
QSO:  7069 RY 2018-09-29 2215 DK5DC         599 14 DX  LX7I          599 14 DX
QSO:  7066 RY 2018-09-30 0810 DK5DC         599 14 DX  PA4O          599 14 DX
QSO:  7048 RY 2018-09-30 0811 DK5DC         599 14 DX  I1ASU/IS0     599 15 DX
QSO:  7051 RY 2018-09-30 0813 DK5DC         599 14 DX  C31MF         599 14 DX
QSO:  7052 RY 2018-09-30 0814 DK5DC         599 14 DX  DJ6TB         599 14 DX
QSO:  7052 RY 2018-09-30 0816 DK5DC         599 14 DX  OK1CF         599 15 DX
QSO: 14091 RY 2018-09-30 0820 DK5DC         599 14 DX  OH8A          599 15 DX
QSO: 14112 RY 2018-09-30 0822 DK5DC         599 14 DX  RG9A          599 17 DX
QSO: 14121 RY 2018-09-30 0823 DK5DC         599 14 DX  UT7AXA        599 16 DX
QSO: 14079 RY 2018-09-30 0825 DK5DC         599 14 DX  LY5W          599 15 DX
QSO: 21093 RY 2018-09-30 0844 DK5DC         599 14 DX  RM3DA         599 16 DX
QSO: 14111 RY 2018-09-30 0850 DK5DC         599 14 DX  JR4OZR        599 25 DX
QSO: 14125 RY 2018-09-30 0851 DK5DC         599 14 DX  YQ6A          599 20 DX
QSO: 14120 RY 2018-09-30 0852 DK5DC         599 14 DX  9H1AE         599 15 DX
QSO: 14109 RY 2018-09-30 0857 DK5DC         599 14 DX  YL2CI         599 15 DX
QSO: 14082 RY 2018-09-30 0859 DK5DC         599 14 DX  RQ9O          599 18 DX
QSO: 14079 RY 2018-09-30 0945 DK5DC         599 14 DX  SO9M          599 15 DX
QSO: 14079 RY 2018-09-30 0946 DK5DC         599 14 DX  IQ4FC         599 15 DX
QSO: 14081 RY 2018-09-30 0947 DK5DC         599 14 DX  HA8BE         599 15 DX
