START-OF-LOG: 3.0
CALLSIGN: G4OZG
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 100415
NAME: Ted Haskett
LOCATION: DX
OPERATORS: G4OZG
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7290.0
SOAPBOX: Icom 706Mk2G, 100 watts, 80/40 Trap Dipole and HB 20M Vertical
QSO:  7047 RY 2018-09-29 0736 G4OZG         599 14 DX  S50A          599 15 DX
QSO:  7048 RY 2018-09-29 0741 G4OZG         599 14 DX  DL8UAT        599 14 DX
QSO:  7049 RY 2018-09-29 0742 G4OZG         599 14 DX  CR3W          599 33 DX
QSO:  7051 RY 2018-09-29 0745 G4OZG         599 14 DX  C37NL         599 14 DX
QSO:  7053 RY 2018-09-29 0805 G4OZG         599 14 DX  C31MF         599 14 DX
QSO:  7053 RY 2018-09-29 0808 G4OZG         599 14 DX  SN2M          599 15 DX
QSO:  7054 RY 2018-09-29 0810 G4OZG         599 14 DX  HG1S          599 15 DX
QSO:  7055 RY 2018-09-29 0813 G4OZG         599 14 DX  LY7Z          599 15 DX
QSO:  7059 RY 2018-09-29 0815 G4OZG         599 14 DX  OH3OJ         599 15 DX
QSO:  7059 RY 2018-09-29 0818 G4OZG         599 14 DX  HA8QZ         599 15 DX
QSO:  7059 RY 2018-09-29 0819 G4OZG         599 14 DX  F6EKX         599 14 DX
QSO:  7060 RY 2018-09-29 0822 G4OZG         599 14 DX  TM3Z          599 14 DX
QSO:  7061 RY 2018-09-29 0823 G4OZG         599 14 DX  OU2PA         599 14 DX
QSO:  7061 RY 2018-09-29 0824 G4OZG         599 14 DX  DL0HGW        599 14 DX
QSO:  7061 RY 2018-09-29 0825 G4OZG         599 14 DX  LY6A          599 15 DX
QSO:  7062 RY 2018-09-29 0827 G4OZG         599 14 DX  SQ6PLE        599 15 DX
QSO:  7063 RY 2018-09-29 0828 G4OZG         599 14 DX  HA8JV         599 15 DX
QSO:  7064 RY 2018-09-29 0829 G4OZG         599 14 DX  TM0T          599 14 DX
QSO:  7065 RY 2018-09-29 0832 G4OZG         599 14 DX  HF1D          599 15 DX
