START-OF-LOG: 3.0
CALLSIGN: IK2MXM
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 20315
NAME: GIGI SAPO
LOCATION: DX
OPERATORS: IK2MXM
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW
SOAPBOX: -  FT991 PWR 50W - MULTIBAND GP ANTENNA + INV VEE DIPOLE
QSO:  7053 RY 2018-09-29 0157 IK2MXM        599 15 DX  ES4RD         599 15 DX
QSO:  7055 RY 2018-09-29 0200 IK2MXM        599 15 DX  UX5IO         599 16 DX
QSO:  7058 RY 2018-09-29 0201 IK2MXM        599 15 DX  SB0A          599 14 DX
QSO:  7057 RY 2018-09-29 0203 IK2MXM        599 15 DX  UT5EPP        599 16 DX
QSO:  7072 RY 2018-09-29 0206 IK2MXM        599 15 DX  UW5U          599 16 DX
QSO:  7063 RY 2018-09-29 0207 IK2MXM        599 15 DX  P3X           599 20 DX
QSO:  7059 RY 2018-09-29 0209 IK2MXM        599 15 DX  UZ2I          599 16 DX
QSO:  3602 RY 2018-09-29 0218 IK2MXM        599 15 DX  DD2ML         599 14 DX
QSO:  3603 RY 2018-09-29 0220 IK2MXM        599 15 DX  OE5BGN        599 15 DX
QSO:  3602 RY 2018-09-29 0221 IK2MXM        599 15 DX  I1JTQ         599 15 DX
QSO:  3603 RY 2018-09-29 0221 IK2MXM        599 15 DX  LX8M          599 14 DX
QSO:  3600 RY 2018-09-29 0223 IK2MXM        599 15 DX  OK1KSL        599 15 DX
QSO:  3601 RY 2018-09-29 0225 IK2MXM        599 15 DX  ED1LO         599 14 DX
QSO:  3599 RY 2018-09-29 0227 IK2MXM        599 15 DX  S53S          599 15 DX
QSO:  3600 RY 2018-09-29 0227 IK2MXM        599 15 DX  UT7E          599 16 DX
QSO:  3595 RY 2018-09-29 0229 IK2MXM        599 15 DX  HB9ODP        599 14 DX
QSO:  3596 RY 2018-09-29 0230 IK2MXM        599 15 DX  LX7I          599 14 DX
QSO:  3595 RY 2018-09-29 0231 IK2MXM        599 15 DX  OK2D          599 15 DX
QSO:  3597 RY 2018-09-29 0234 IK2MXM        599 15 DX  SN7Q          599 15 DX
QSO:  3593 RY 2018-09-29 0236 IK2MXM        599 15 DX  DH8BQA        599 14 DX
QSO:  3589 RY 2018-09-29 0241 IK2MXM        599 15 DX  IZ4ET         599 15 DX
QSO:  3588 RY 2018-09-29 0243 IK2MXM        599 15 DX  9A1A          599 15 DX
QSO:  3589 RY 2018-09-29 0245 IK2MXM        599 15 DX  G2F           599 14 DX
QSO:  3586 RY 2018-09-29 0248 IK2MXM        599 15 DX  ED7P          599 14 DX
QSO:  3585 RY 2018-09-29 0254 IK2MXM        599 15 DX  OE9R          599 15 DX
QSO:  3584 RY 2018-09-29 0259 IK2MXM        599 15 DX  UX2X          599 16 DX
QSO:  3581 RY 2018-09-29 0300 IK2MXM        599 15 DX  DP7D          599 15 DX
QSO:  7044 RY 2018-09-29 0305 IK2MXM        599 15 DX  RM3DA         599 16 DX
QSO:  7053 RY 2018-09-29 0309 IK2MXM        599 15 DX  OG7A          599 15 DX
QSO:  7053 RY 2018-09-29 0309 IK2MXM        599 15 DX  UA4M          599 16 DX
QSO:  7070 RY 2018-09-29 0310 IK2MXM        599 15 DX  UW3U          599 16 DX
