START-OF-LOG: 3.0
CALLSIGN: VO1BQ
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 89910
NAME: Joe
LOCATION: NL
OPERATORS: VO1BQ
CLUB: Maritime Contest Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7290.0
SOAPBOX: Wow, was very pleased with the conditions... Ran 100W D3 and EFHW
QSO:  7000 RY 2018-09-29 0013 VO1BQ         599 05 NF  VY2/W5AJ      599 05 PE
QSO:  7000 RY 2018-09-29 0015 VO1BQ         599 05 NF  AB8M          599 04 OH
QSO:  7000 RY 2018-09-29 0031 VO1BQ         599 05 NF  N0AT          599 04 NM
QSO:  7000 RY 2018-09-29 0036 VO1BQ         15  05 NF  SN7Q          599 15 DX
QSO:  7000 RY 2018-09-29 0038 VO1BQ         599 05 NF  W9IU          599 04 IN
QSO:  7000 RY 2018-09-29 0042 VO1BQ         599 05 NF  W0GJ          599 04 IA
QSO:  7000 RY 2018-09-29 0044 VO1BQ         599 05 NF  UW1M          599 16 DX
QSO:  7000 RY 2018-09-29 0048 VO1BQ         599 05 NF  K7OM          599 05 SC
QSO:  7000 RY 2018-09-29 0051 VO1BQ         599 05 NF  SN2M          599 15 DX
QSO:  7000 RY 2018-09-29 0054 VO1BQ         599 05 NF  S53S          599 15 DX
QSO:  7000 RY 2018-09-29 0056 VO1BQ         599 05 NF  K9CT          599 04 IL
QSO:  7000 RY 2018-09-29 0058 VO1BQ         599 05 NF  PI4CC         599 14 DX
QSO:  7000 RY 2018-09-29 0104 VO1BQ         599 05 NF  W3FV          599 05 PA
QSO:  7000 RY 2018-09-29 0107 VO1BQ         599 05 NF  K4WW          599 04 KY
QSO:  7000 RY 2018-09-29 0109 VO1BQ         599 05 NF  IQ4FA         599 15 DX
QSO:  7000 RY 2018-09-29 0111 VO1BQ         599 05 NF  G2F           599 14 DX
QSO:  7000 RY 2018-09-29 0113 VO1BQ         599 05 NF  N2MM          599 05 NJ
QSO:  7000 RY 2018-09-29 0115 VO1BQ         599 05 NF  VE5RI         599 04 SK
QSO:  3500 RY 2018-09-29 0127 VO1BQ         599 05 NF  9A1A          599 15 DX
QSO:  3500 RY 2018-09-29 0128 VO1BQ         599 05 NF  UX2X          599 16 DX
QSO:  3500 RY 2018-09-29 0132 VO1BQ         599 05 NF  US1Q          599 16 DX
QSO:  3500 RY 2018-09-29 0136 VO1BQ         599 05 NF  DR5N          599 14 DX
QSO:  3500 RY 2018-09-29 0142 VO1BQ         599 05 NF  K9CT          599 04 IL
QSO:  3500 RY 2018-09-29 0145 VO1BQ         599 05 NF  SN7Q          599 15 DX
QSO:  3500 RY 2018-09-29 0146 VO1BQ         599 05 NF  VE3RZ         599 04 ON
QSO:  3500 RY 2018-09-29 0149 VO1BQ         599 05 NF  S53S          599 15 DX
QSO: 14000 RY 2018-09-29 1210 VO1BQ         599 05 NF  DD1A          599 14 DX
QSO: 14000 RY 2018-09-29 1212 VO1BQ         599 05 NF  LY4OO         599 15 DX
QSO: 14000 RY 2018-09-29 1213 VO1BQ         599 05 NF  W4AAW         599 05 VA
QSO: 14000 RY 2018-09-29 1214 VO1BQ         599 05 NF  OE9R          599 15 DX
QSO: 14000 RY 2018-09-29 1217 VO1BQ         599 05 NF  HB9CAL        599 14 DX
QSO: 14000 RY 2018-09-29 1218 VO1BQ         599 05 NF  PI4CC         599 14 DX
QSO: 14000 RY 2018-09-29 1219 VO1BQ         599 05 NF  KI1G          599 05 RI
QSO: 14000 RY 2018-09-29 1223 VO1BQ         599 05 NF  W4GO          599 05 VA
QSO: 14000 RY 2018-09-29 1225 VO1BQ         599 05 NF  SN7Q          599 15 DX
QSO: 14000 RY 2018-09-29 1226 VO1BQ         599 05 NF  IQ5PJ         599 15 DX
QSO: 14000 RY 2018-09-29 1227 VO1BQ         599 05 NF  N3QE          599 05 MD
QSO: 14000 RY 2018-09-29 1228 VO1BQ         599 05 NF  YL2CI         599 15 DX
QSO: 14000 RY 2018-09-29 1231 VO1BQ         599 05 NF  UT4U          599 16 DX
QSO: 14000 RY 2018-09-29 1234 VO1BQ         599 05 NF  MJ5Z          599 14 DX
QSO: 14000 RY 2018-09-29 1238 VO1BQ         599 05 NF  PA7LV         599 14 DX
QSO: 14000 RY 2018-09-29 1240 VO1BQ         599 05 NF  LZ7A          599 20 DX
QSO: 14000 RY 2018-09-29 1242 VO1BQ         599 05 NF  S50W          599 15 DX
QSO: 14000 RY 2018-09-29 1250 VO1BQ         599 05 NF  ED7P          599 14 DX
QSO: 14000 RY 2018-09-29 1252 VO1BQ         599 05 NF  NR4M          599 05 VA
QSO: 14000 RY 2018-09-29 1254 VO1BQ         599 05 NF  DJ3IW         599 14 DX
QSO: 14000 RY 2018-09-29 1256 VO1BQ         599 05 NF  F5MUX         599 14 DX
QSO: 14000 RY 2018-09-29 1300 VO1BQ         599 05 NF  F6GCI         599 14 DX
QSO: 14000 RY 2018-09-29 1303 VO1BQ         599 05 NF  UT0EA         599 16 DX
QSO: 14000 RY 2018-09-29 1307 VO1BQ         599 05 NF  W6NWS         599 05 NC
QSO: 14000 RY 2018-09-29 1309 VO1BQ         599 05 NF  OE5BGN        599 15 DX
QSO: 14000 RY 2018-09-29 1310 VO1BQ         599 05 NF  K1SFA         599 05 MA
QSO: 14000 RY 2018-09-29 1312 VO1BQ         599 05 NF  SK7K          599 14 DX
QSO: 14000 RY 2018-09-29 1314 VO1BQ         599 05 NF  W4JAM         599 05 VA
QSO: 14000 RY 2018-09-29 1315 VO1BQ         599 05 NF  SO4M          599 15 DX
QSO: 14000 RY 2018-09-29 1316 VO1BQ         599 05 NF  K3UL          599 05 PA
QSO: 14000 RY 2018-09-29 1322 VO1BQ         599 05 NF  DL3BQA        599 14 DX
QSO: 14000 RY 2018-09-29 1326 VO1BQ         599 05 NF  OZ1ADL        599 14 DX
QSO: 14000 RY 2018-09-29 1327 VO1BQ         599 05 NF  PI4COM        599 14 DX
QSO: 14000 RY 2018-09-29 1327 VO1BQ         599 05 NF  EM0I          599 16 DX
QSO: 14000 RY 2018-09-29 1328 VO1BQ         599 05 NF  ON4AMP        599 14 DX
QSO: 14000 RY 2018-09-29 1329 VO1BQ         599 05 NF  PA0GJV        599 14 DX
