START-OF-LOG: 3.0
CALLSIGN: K5ZD
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 1538612
NAME: Randy Thompson
LOCATION: WMA
OPERATORS: K5ZD
CLUB: Yankee Clipper Contest Club
CERTIFICATE: NO
CREATED-BY: WriteLog V12.32J
SOAPBOX: Played golf and attended symphony concert.
SOAPBOX: Didn't operate the ideal hours, but Classic category was a fun challenge!
QSO: 14085 RY 2018-09-29 0001 K5ZD          599     05 MA     H88X          599 7      DX
QSO: 14084 RY 2018-09-29 0003 K5ZD          599     05 MA     VY1AAA        599 1      NT
QSO: 14079 RY 2018-09-29 0004 K5ZD          599     05 MA     AA5B          599 4      NM
QSO: 14107 RY 2018-09-29 0007 K5ZD          599     05 MA     VA7KO         599 3      BC
QSO: 14106 RY 2018-09-29 0007 K5ZD          599     05 MA     JH4UYB        599 25     DX
QSO: 14115 RY 2018-09-29 0010 K5ZD          599     05 MA     N6IE          599 3      CA
QSO: 14115 RY 2018-09-29 0010 K5ZD          599     05 MA     W7YAQ         599 3      OR
QSO: 14117 RY 2018-09-29 0011 K5ZD          599     05 MA     KI1G          599 5      RI
QSO: 14101 RY 2018-09-29 0014 K5ZD          599     05 MA     K7AR          599 3      WA
QSO: 14098 RY 2018-09-29 0014 K5ZD          599     05 MA     KN5S          599 4      TX
QSO: 14096 RY 2018-09-29 0015 K5ZD          599     05 MA     N7NM          599 3      WA
QSO: 14093 RY 2018-09-29 0016 K5ZD          599     05 MA     K7ZUM         599 3      OR
QSO: 14091 RY 2018-09-29 0019 K5ZD          599     05 MA     V31VP         599 7      DX
QSO: 14084 RY 2018-09-29 0020 K5ZD          599     05 MA     KZ1W          599 3      WA
QSO: 14084 RY 2018-09-29 0020 K5ZD          599     05 MA     WA8Y          599 4      MI
QSO: 14083 RY 2018-09-29 0021 K5ZD          599     05 MA     NR0T          599 4      MN
QSO: 14080 RY 2018-09-29 0022 K5ZD          599     05 MA     VE3CX         599 4      ON
QSO:  7098 RY 2018-09-29 0024 K5ZD          599     05 MA     KG4SS         599 8      DX
QSO:  7097 RY 2018-09-29 0025 K5ZD          599     05 MA     IQ3KU         599 15     DX
QSO:  7093 RY 2018-09-29 0027 K5ZD          599     05 MA     P49X          599 9      DX
QSO:  7092 RY 2018-09-29 0028 K5ZD          599     05 MA     VP2V/AA7V     599 8      DX
QSO:  7091 RY 2018-09-29 0028 K5ZD          599     05 MA     K4UB          599 5      GA
QSO:  7091 RY 2018-09-29 0029 K5ZD          599     05 MA     VE5RI         599 4      SK
QSO:  7090 RY 2018-09-29 0030 K5ZD          599     05 MA     EA8DED        599 33     DX
