START-OF-LOG: 3.0
CREATED-BY: LM Version 4.4 (c) 1992, 2009 by DL8WAA
CONTEST: CQ-WPX-CW
CALLSIGN: ZS1JY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 13230
OPERATORS: ZS1JY
CLUB:
NAME: JACQUES LE ROUX
SOAPBOX: 10m opened briefly on Sunday, otherwise conditions were not that great.
SOAPBOX: I worked JA on 40m using my 8.5m vertical pole & AH-4 tuner!
SOAPBOX: I also made my first and only contest QSO on 80m with this antenna!
LOCATION: DX
QSO:  3500 CW 2010-05-29 0549 ZS1JY         599 001    ZW5B          599 124    0
QSO:  7000 CW 2010-05-29 0553 ZS1JY         599 002    KH6LC         599 107    0
QSO:  7000 CW 2010-05-29 0557 ZS1JY         599 003    LW4EU         599 239    0
QSO:  7000 CW 2010-05-29 0628 ZS1JY         599 004    PX2C          599 294    0
QSO:  7000 CW 2010-05-29 0636 ZS1JY         599 005    NR4M          599 540    0
QSO: 14000 CW 2010-05-29 0658 ZS1JY         599 006    CT1JLZ        599 706    0
QSO: 14000 CW 2010-05-29 0956 ZS1JY         599 007    PW7T          599 270    0
QSO: 14000 CW 2010-05-29 1001 ZS1JY         599 008    PR7AB         599 037    0
QSO: 14000 CW 2010-05-29 1005 ZS1JY         599 009    PT2ZHA        599 274    0
QSO: 14000 CW 2010-05-29 1007 ZS1JY         599 010    ZW5B          599 171    0
QSO: 21000 CW 2010-05-29 1029 ZS1JY         599 011    YL2SM         599 451    0
QSO: 21000 CW 2010-05-29 1039 ZS1JY         599 012    9M2TO         599 255    0
QSO: 14000 CW 2010-05-29 1056 ZS1JY         599 013    CW5W          599 478    0
QSO: 21000 CW 2010-05-29 1109 ZS1JY         599 014    JF3BFS        599 181    0
QSO: 21000 CW 2010-05-29 1206 ZS1JY         599 015    ZX5J          599 257    0
QSO:  7000 CW 2010-05-29 1919 ZS1JY         599 016    SJ0X          599 668    0
QSO:  7000 CW 2010-05-30 0630 ZS1JY         599 017    ZW5B          599 1058   0
QSO:  7000 CW 2010-05-30 0636 ZS1JY         599 018    ND2T          599 840    0
QSO:  7000 CW 2010-05-30 0639 ZS1JY         599 019    PW7T          599 707    0
QSO:  7000 CW 2010-05-30 0644 ZS1JY         599 020    KM3T          599 1378   0
QSO:  7000 CW 2010-05-30 0648 ZS1JY         599 021    CE4CT         599 597    0
QSO:  7000 CW 2010-05-30 0651 ZS1JY         599 022    CW5W          599 1589   0
QSO:  7000 CW 2010-05-30 0700 ZS1JY         599 023    JA7DLE        599 879    0
QSO: 14000 CW 2010-05-30 0715 ZS1JY         599 024    KM3T          599 1333   0
