START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: YF3CYT
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 10M
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: OI62AE
CLAIMED-SCORE: 1176
NAME: DIDIK SOEGIARTO
OPERATORS: YF3CYT
CLUB: ORARI LOKAL KEDIRI
SOAPBOX: 28-29 September 2024, we are member ORARI LOKAL KEDIRI, thanks
SOAPBOX: many station who made valid QSO with us, GL, 73's de YF3CYT
CREATED-BY: N1MM Logger+ 1.0.10490.0
QSO:    7000 RY 2024-09-28 1806 YF3CYT           599 28  DX   3W9A             599 26  DX   
QSO:   28000 RY 2024-09-28 2227 YF3CYT           599 28  DX   K6LL             599 03  AZ   
QSO:   28000 RY 2024-09-28 2249 YF3CYT           599 28  DX   K7RL             599 03  WA   
QSO:   28000 RY 2024-09-28 2304 YF3CYT           599 28  DX   NV9L             599 04  IL   
QSO:   28000 RY 2024-09-28 2309 YF3CYT           599 28  DX   JH4UYB           599 25  DX   
QSO:   28000 RY 2024-09-28 2325 YF3CYT           599 28  DX   HL3AMO           599 25  DX   
QSO:   28000 RY 2024-09-28 2337 YF3CYT           599 28  DX   JA8KSF           599 25  DX   
QSO:   28000 RY 2024-09-28 2351 YF3CYT           599 28  DX   VL4Y             599 30  DX   
QSO:   28000 RY 2024-09-29 0007 YF3CYT           599 28  DX   K6NV             599 03  CA   
QSO:   28000 RY 2024-09-29 0034 YF3CYT           599 28  DX   KA6BIM           599 03  OR   
QSO:   28000 RY 2024-09-29 0041 YF3CYT           599 28  DX   JE5JHZ           599 25  DX   
QSO:   28000 RY 2024-09-29 1305 YF3CYT           599 28  DX   YG3ASG           599 28  DX   
QSO:   28000 RY 2024-09-29 1343 YF3CYT           599 28  DX   DQ2C             599 14  DX   
QSO:   28000 RY 2024-09-29 1352 YF3CYT           599 28  DX   OK7O             599 15  DX   
QSO:   28000 RY 2024-09-29 1406 YF3CYT           599 28  DX   IP2ARS           599 15  DX   
QSO:   28000 RY 2024-09-29 1411 YF3CYT           599 28  DX   PI4DX            599 14  DX   
QSO:   28000 RY 2024-09-29 1415 YF3CYT           599 28  DX   7E3E             599 28  DX   
QSO:   28000 RY 2024-09-29 1455 YF3CYT           599 28  DX   EA3QP            599 14  DX   
END-OF-LOG:
