START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: G3UFY
CLAIMED-SCORE: 106575
OPERATORS: G3UFY
NAME: Steve Knowles
SOAPBOX: Transceiver - FT817 - 5W output.
SOAPBOX: ANTENNAS - Tribander + Loops
SOAPBOX: Not available much on Saturday - XYL's 60th Birthday Party!
SOAPBOX: Great to find 10m & 15m open.  However, 20m and LF bands getting
SOAPBOX: ridiculous with strength and poor quality of some signals
SOAPBOX: (not to mention the manners of operators ... EU ZOO = TOO TRUE)!
SOAPBOX: Hard to work even the strong guys 'cos 5W signals drowned by intermod and crud!
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
QSO: 14000 PH 2009-10-24 0117 G3UFY         59  14     TM9R          59  14
QSO:  3500 PH 2009-10-24 0125 G3UFY         59  14     DL1BI         59  14
QSO:  3500 PH 2009-10-24 0126 G3UFY         59  14     LX1HD         59  14
QSO:  3500 PH 2009-10-24 0133 G3UFY         59  14     OY3AA         59  14
QSO:  3500 PH 2009-10-24 0139 G3UFY         59  14     M0XXT         59  14
QSO:  3500 PH 2009-10-24 0141 G3UFY         59  14     F5BBD         59  14
QSO:  3500 PH 2009-10-24 0143 G3UFY         59  14     IQ3RK         59  15
QSO:  3500 PH 2009-10-24 0146 G3UFY         59  14     GM0B          59  14
QSO:  3500 PH 2009-10-24 0148 G3UFY         59  14     F5KKD         59  14
QSO:  3500 PH 2009-10-24 0158 G3UFY         59  14     DP9I          59  14
QSO:  3500 PH 2009-10-24 0159 G3UFY         59  14     SP9LJD        59  14
QSO:  3500 PH 2009-10-24 0202 G3UFY         59  14     OL4A          59  15
QSO:  3500 PH 2009-10-24 0204 G3UFY         59  14     DK5JM         59  14
QSO:  3500 PH 2009-10-24 0204 G3UFY         59  14     PI4D          59  14
QSO:  1800 PH 2009-10-24 0214 G3UFY         59  14     DR5N          59  14
QSO:  1800 PH 2009-10-24 0216 G3UFY         59  14     DR1A          59  14
QSO:  1800 PH 2009-10-24 0219 G3UFY         59  14     5Q2J          59  14
QSO:  1800 PH 2009-10-24 0221 G3UFY         59  14     OK7Y          59  15
QSO:  1800 PH 2009-10-24 0228 G3UFY         59  14     HB0/HB9AON    59  14
QSO:  1800 PH 2009-10-24 0230 G3UFY         59  14     EI7M          59  14
QSO:  1800 PH 2009-10-24 0235 G3UFY         59  14     DF0HQ         59  14
QSO:  1800 PH 2009-10-24 0241 G3UFY         59  14     OT2A          59  14
QSO:  1800 PH 2009-10-24 0242 G3UFY         59  14     OT5A          59  14
QSO:  7000 PH 2009-10-24 0252 G3UFY         59  14     YT2T          59  15
QSO:  7000 PH 2009-10-24 0257 G3UFY         59  14     YT1VP         59  15
QSO:  7000 PH 2009-10-24 0307 G3UFY         59  14     LZ9W          59  20
QSO:  7000 PH 2009-10-24 0308 G3UFY         59  14     LY7Z          59  15
QSO:  7000 PH 2009-10-24 0318 G3UFY         59  14     YT3M          59  15
QSO:  7000 PH 2009-10-24 0318 G3UFY         59  14     RW2F          59  15
QSO:  7000 PH 2009-10-24 0322 G3UFY         59  14     SO8A          59  15
QSO:  7000 PH 2009-10-24 0323 G3UFY         59  14     E71EZC        59  15
QSO:  7000 PH 2009-10-24 0325 G3UFY         59  14     4O3A          59  15
QSO:  7000 PH 2009-10-24 0331 G3UFY         59  14     5B/G3RXQ      59  20
QSO:  7000 PH 2009-10-24 0334 G3UFY         59  14     YT0A          59  15
QSO:  7000 PH 2009-10-24 0339 G3UFY         59  14     YT7R          59  15
QSO:  7000 PH 2009-10-24 0342 G3UFY         59  14     HA5X          59  15
QSO:  7000 PH 2009-10-24 0344 G3UFY         59  14     YU7W          59  15
QSO:  7000 PH 2009-10-24 0346 G3UFY         59  14     HG5A          59  15
QSO:  7000 PH 2009-10-24 0347 G3UFY         59  14     HA8EV         59  15
QSO: 14000 PH 2009-10-24 1029 G3UFY         59  14     RN3QO         59  16
QSO: 14000 PH 2009-10-24 1030 G3UFY         59  14     UP2L          59  17
QSO: 14000 PH 2009-10-24 1042 G3UFY         59  14     YU1DW         59  15
QSO: 14000 PH 2009-10-24 1043 G3UFY         59  14     HB9AAP        59  14
QSO: 28000 PH 2009-10-24 1047 G3UFY         59  14     4L0A          59  21
QSO: 28000 PH 2009-10-24 1048 G3UFY         59  14     TC7KA         59  20
QSO: 28000 PH 2009-10-24 1050 G3UFY         59  14     IT9IZY        59  15
QSO: 28000 PH 2009-10-24 1051 G3UFY         59  14     S56Y          59  15
QSO: 28000 PH 2009-10-24 1055 G3UFY         59  14     EK8WA         59  21
QSO: 21000 PH 2009-10-24 1057 G3UFY         59  14     EW6AF         59  16
QSO: 21000 PH 2009-10-24 1155 G3UFY         59  14     LZ3FN         59  20
QSO: 21000 PH 2009-10-24 1156 G3UFY         59  14     SO9S          59  15
QSO: 21000 PH 2009-10-24 1200 G3UFY         59  14     SZ1A          59  20
QSO: 21000 PH 2009-10-24 1200 G3UFY         59  14     EA3MM         59  14
QSO: 21000 PH 2009-10-24 1203 G3UFY         59  14     P33W          59  20
