START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.171
CALLSIGN: OH1O
CONTEST: CQ-WW-SSB
CLAIMED-SCORE: 647064
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
NAME: Pekka Ketonen
SOAPBOX: Thanks for nice contest again
SOAPBOX: RIG(s): K3, Acom 1000; ANTENNA(s): 4-el steppir, dipoles, verticals
QSO:  3500 PH 2009-10-24 0610 OH1O          599 15     OH0Z          599 15
QSO:  3500 PH 2009-10-24 0614 OH1O          59  15     EC1KV         59  14
QSO:  3500 PH 2009-10-24 0615 OH1O          59  15     SP3GEM        59  15
QSO:  3500 PH 2009-10-24 0616 OH1O          59  15     OG5B          59  15
QSO:  3500 PH 2009-10-24 0617 OH1O          59  15     TM6M          59  14
QSO:  3500 PH 2009-10-24 0621 OH1O          59  15     G4IIY         59  14
QSO:  3500 PH 2009-10-24 0622 OH1O          59  15     DF0HQ         59  14
QSO:  3500 PH 2009-10-24 0623 OH1O          59  15     DR4A          59  14
QSO:  3500 PH 2009-10-24 0624 OH1O          59  15     DJ8UV         59  14
QSO:  3500 PH 2009-10-24 0625 OH1O          59  15     OL7R          59  15
QSO:  3500 PH 2009-10-24 0626 OH1O          59  15     LA9TJA        59  14
QSO:  3500 PH 2009-10-24 0630 OH1O          59  15     OM3RRC        59  15
QSO:  3500 PH 2009-10-24 0631 OH1O          59  15     SQ9HZM        59  15
QSO:  3500 PH 2009-10-24 0632 OH1O          59  15     EA8CMX        59  33
QSO:  3500 PH 2009-10-24 0633 OH1O          59  15     DK5DQ         59  14
QSO:  3500 PH 2009-10-24 0637 OH1O          59  15     OK1KZ         59  15
QSO:  3500 PH 2009-10-24 0638 OH1O          59  15     S52ZW         59  15
QSO:  3500 PH 2009-10-24 0639 OH1O          59  15     GI5K          59  14
QSO:  3500 PH 2009-10-24 0641 OH1O          59  15     DR1A          59  14
QSO:  3500 PH 2009-10-24 0644 OH1O          59  15     OK5W          59  15
QSO:  3500 PH 2009-10-24 0647 OH1O          59  15     OQ5M          59  14
QSO:  3500 PH 2009-10-24 0649 OH1O          59  15     PA7A          59  14
QSO:  3500 PH 2009-10-24 0653 OH1O          59  15     GW4BLE        59  14
QSO:  3500 PH 2009-10-24 0704 OH1O          59  15     YL3FT         59  15
QSO:  3500 PH 2009-10-24 0706 OH1O          59  15     PA9M          59  14
QSO: 28000 PH 2009-10-24 0709 OH1O          59  15     OH0Z          59  15
QSO: 21000 PH 2009-10-24 0718 OH1O          59  15     UA9JDP        59  17
QSO: 21000 PH 2009-10-24 0719 OH1O          59  15     RW0A          59  18
QSO: 21000 PH 2009-10-24 0720 OH1O          59  15     IG9S          59  33
QSO: 21000 PH 2009-10-24 0721 OH1O          59  15     3V8SS         59  33
QSO: 21000 PH 2009-10-24 0741 OH1O          59  15     SO9S          59  15
QSO: 21000 PH 2009-10-24 0741 OH1O          59  15     5B/HA5PP      59  20
QSO: 21000 PH 2009-10-24 0742 OH1O          59  15     RK4PK         59  16
QSO: 21000 PH 2009-10-24 0743 OH1O          59  15     JA3YBK        59  25
