START-OF-LOG: 3.0
CREATED-BY: Lux-Log v5.02.00 by LX1NO
CONTEST: CQ-WW-SSB
CALLSIGN: EU1DZ
CLAIMED-SCORE: 200165
OPERATORS: EU1DZ
NAME: Boris Beznosko
SOAPBOX: Used FT-897d   (50watts) + TM535 tuner + sim.dipole 41m. long,30m. up.
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO:  3500 PH 2009-10-24 0350 EU1DZ         59  16     LY8O          59  15     0
QSO:  3500 PH 2009-10-24 0350 EU1DZ         59  16     UW0K          59  16     0
QSO:  3500 PH 2009-10-24 0352 EU1DZ         59  16     IZ0GKB        59  15     0
QSO:  3500 PH 2009-10-24 0353 EU1DZ         59  16     P33W          59  20     0
QSO:  3500 PH 2009-10-24 0354 EU1DZ         59  16     S56P          59  15     0
QSO:  3500 PH 2009-10-24 0354 EU1DZ         59  16     HG1S          59  15     0
QSO:  3500 PH 2009-10-24 0355 EU1DZ         59  16     EW8DD         59  16     0
QSO:  3500 PH 2009-10-24 0356 EU1DZ         59  16     C4I           59  20     0
QSO:  3500 PH 2009-10-24 0357 EU1DZ         59  16     S57DX         59  15     0
QSO:  3500 PH 2009-10-24 0357 EU1DZ         59  16     S54X          59  15     0
QSO:  3500 PH 2009-10-24 0358 EU1DZ         59  16     UT3L          59  16     0
QSO:  3500 PH 2009-10-24 0400 EU1DZ         59  16     LY2TS         59  15     0
QSO:  3500 PH 2009-10-24 0401 EU1DZ         59  16     S52ZW         59  15     0
QSO:  3500 PH 2009-10-24 0403 EU1DZ         59  16     IR2C          59  15     0
QSO:  3500 PH 2009-10-24 0405 EU1DZ         59  16     9A7A          59  15     0
QSO:  3500 PH 2009-10-24 0407 EU1DZ         59  16     UY1HY         59  16     0
QSO:  3500 PH 2009-10-24 0410 EU1DZ         59  16     LY5R          59  15     0
QSO:  3500 PH 2009-10-24 0410 EU1DZ         59  16     ES5RY         59  15     0
QSO:  3500 PH 2009-10-24 0412 EU1DZ         59  16     OL7R          59  15     0
QSO:  3500 PH 2009-10-24 0413 EU1DZ         59  16     9A1P          59  15     0
QSO:  3500 PH 2009-10-24 0415 EU1DZ         59  16     DJ4PT         59  14     0
QSO:  3500 PH 2009-10-24 0415 EU1DZ         59  16     SY2V          59  20     0
QSO:  3500 PH 2009-10-24 0416 EU1DZ         59  16     YL3FT         59  15     0
QSO:  3500 PH 2009-10-24 0417 EU1DZ         59  16     SP3GEM        59  15     0
QSO:  3500 PH 2009-10-24 0420 EU1DZ         59  16     4O3A          59  15     0
QSO:  3500 PH 2009-10-24 0422 EU1DZ         59  16     EW2BX         59  16     0
QSO:  3500 PH 2009-10-24 0426 EU1DZ         59  16     RW2F          59  15     0
QSO:  3500 PH 2009-10-24 0426 EU1DZ         59  16     LY2W          59  15     0
QSO:  3500 PH 2009-10-24 0427 EU1DZ         59  16     SO5A          59  15     0
QSO:  7000 PH 2009-10-24 0429 EU1DZ         59  16     SX5P          59  20     0
QSO:  7000 PH 2009-10-24 0430 EU1DZ         59  16     YT8A          59  15     0
