START-OF-LOG: 2.0
CONTEST: EA-MAJESTAD-SSB
CALLSIGN: EE5O
CATEGORY: MULTI-MULTI ALL
OPERATORS: EA5HOX EA5HZZ EA5GVJ EA5GUM EA5HEW EB5FOJ EA5UI EA8CWF EB5ILI EB5ILJ
CLAIMED-SCORE: 256668
CLUB: 
CREATED-BY: RadioGes Versión 4.00
NAME: ARVB
SOAPBOX: 
QSO: 14000 PH 2015-06-27 1200 EE5O          59  A      DK2BK         59  002    
QSO: 21000 PH 2015-06-27 1201 EE5O          59  A      OM4J          59  001    
QSO:  7000 PH 2015-06-27 1201 EE5O          59  A      EA4FGB        59  CC    
QSO:  7000 PH 2015-06-27 1201 EE5O          59  A      EA5DFV        59  A    
QSO: 21000 PH 2015-06-27 1202 EE5O          59  A      M0SIC         59  003    
QSO: 21000 PH 2015-06-27 1202 EE5O          59  A      M0SIY         59  003    
QSO:  7000 PH 2015-06-27 1203 EE5O          59  A      EB5ILJ        59  A    
QSO: 14000 PH 2015-06-27 1203 EE5O          59  A      PA0EM         59  002    
QSO:  7000 PH 2015-06-27 1204 EE5O          59  A      EB5DZJ        59  V    
QSO:  7000 PH 2015-06-27 1204 EE5O          59  A      EB5TC         59  V    
QSO: 21000 PH 2015-06-27 1205 EE5O          59  A      DO7PRM        59  001    
QSO: 21000 PH 2015-06-27 1205 EE5O          59  A      IV3UHL        59  003    
QSO: 14000 PH 2015-06-27 1206 EE5O          59  A      ON8PTZ        59  001    
QSO: 14000 PH 2015-06-27 1207 EE5O          59  A      OE6EIF        59  002    
QSO:  7000 PH 2015-06-27 1207 EE5O          59  A      EC7WR         59  CO    
QSO: 14000 PH 2015-06-27 1208 EE5O          59  A      US5D          59  010    
QSO:  7000 PH 2015-06-27 1208 EE5O          59  A      EA3HIP        59  B    
QSO:  7000 PH 2015-06-27 1209 EE5O          59  A      EA5HPB        59  AB    
QSO: 14000 PH 2015-06-27 1209 EE5O          59  A      DH7FA         59  005    
QSO:  7000 PH 2015-06-27 1209 EE5O          59  A      EF1W          59  O    
QSO: 14000 PH 2015-06-27 1209 EE5O          59  A      DK60ZAB       59  002    
QSO: 21000 PH 2015-06-27 1210 EE5O          59  A      S58MU         59  006    
QSO: 21000 PH 2015-06-27 1210 EE5O          59  A      EA5IMJ        59  A    
QSO:  7000 PH 2015-06-27 1210 EE5O          59  A      EA4FJX        59  M    
QSO: 14000 PH 2015-06-27 1210 EE5O          59  A      SJ6A          59  005    
QSO:  7000 PH 2015-06-27 1210 EE5O          59  A      EA7JKA        59  SE    
QSO: 21000 PH 2015-06-27 1211 EE5O          59  A      R7AB          59  010    
QSO:  7000 PH 2015-06-27 1211 EE5O          59  A      EA7PSD        59  CO    
QSO: 14000 PH 2015-06-27 1211 EE5O          59  A      DL0DX         59  003    
QSO:  7000 PH 2015-06-27 1211 EE5O          59  A      F5VMN         59  013    
QSO:  7000 PH 2015-06-27 1211 EE5O          59  A      EA4CZR        59  M    
QSO:  7000 PH 2015-06-27 1212 EE5O          59  A      EA5EV         59  MU    
QSO:  7000 PH 2015-06-27 1212 EE5O          59  A      EA5RJ         59  V    
QSO: 14000 PH 2015-06-27 1212 EE5O          59  A      SO7O          59  009    
QSO: 14000 PH 2015-06-27 1212 EE5O          59  A      SM7I          59  007    
QSO:  7000 PH 2015-06-27 1212 EE5O          59  A      EE3X          59  B    
