START-OF-LOG: 2.0
CREATED-BY: Win-Test 4.13.0
CONTEST: EA-MAJESTAD-SSB
URE-SECTION: A
CALLSIGN: EA5BZ
CATEGORY: SINGLE-OP ALL HIGH
CLAIMED-SCORE: 14755
OPERATORS: 
CLUB: URE
NAME: Ruben Navarro Huedo
SOAPBOX: Tras varios años sin participar por causas personales este año he
SOAPBOX: podido tener una presencia simbólica en el que fue mi primer concurso
SOAPBOX: de HF. Participación de apenas hora y media en 10, 15 y 40 metros. 
SOAPBOX: Usando mi FLEX-3000, amplificador Yaesu FL-7000 y antena vertical
SOAPBOX: Cushcraft R8. Quizás por la propagación, pero el tiempo que he estado
SOAPBOX: parecía haber poca participación de EA's. Me han sorprendido algunas
SOAPBOX: estaciones de Asia en 15m participando en el concurso con numerales
SOAPBOX: altos. Gracias y hasta 2016.
QSO: 21000 PH 2015-06-27 1221 EA5BZ         59  A      OH2BV         59  005   
QSO: 21000 PH 2015-06-27 1222 EA5BZ         59  A      US5QUB        59  006   
QSO: 21000 PH 2015-06-27 1223 EA5BZ         59  A      EA8CTK        59  TF    
QSO: 21000 PH 2015-06-27 1223 EA5BZ         59  A      OM4J          59  016   
QSO: 21000 PH 2015-06-27 1224 EA5BZ         59  A      S51DX         59  008   
QSO: 21000 PH 2015-06-27 1225 EA5BZ         59  A      US6IKF        59  001   
QSO: 21000 PH 2015-06-27 1225 EA5BZ         59  A      IN3HDE        59  010   
QSO: 21000 PH 2015-06-27 1225 EA5BZ         59  A      UA4S          59  005   
QSO: 21000 PH 2015-06-27 1226 EA5BZ         59  A      YU7AOP        59  011   
QSO: 21000 PH 2015-06-27 1227 EA5BZ         59  A      9A3B          59  011   
QSO: 21000 PH 2015-06-27 1228 EA5BZ         59  A      YV1KK         59  011   
QSO: 21000 PH 2015-06-27 1228 EA5BZ         59  A      UR5EDX        59  003   
QSO: 21000 PH 2015-06-27 1229 EA5BZ         59  A      R7AB          59  045   
QSO: 21000 PH 2015-06-27 1229 EA5BZ         59  A      IK2RZQ        59  003   
QSO: 21000 PH 2015-06-27 1230 EA5BZ         59  A      S58MU         59  021   
QSO: 21000 PH 2015-06-27 1232 EA5BZ         59  A      TC100KT       59  003   
QSO: 21000 PH 2015-06-27 1233 EA5BZ         59  A      S56AX         59  001   
QSO: 21000 PH 2015-06-27 1234 EA5BZ         59  A      EA8JT         59  TF    
QSO: 21000 PH 2015-06-27 1236 EA5BZ         59  A      TA2ANB        59  009   
QSO: 21000 PH 2015-06-27 1236 EA5BZ         59  A      DO4DXA        59  024   
QSO: 21000 PH 2015-06-27 1238 EA5BZ         59  A      PR9M          59  005   
QSO: 21000 PH 2015-06-27 1238 EA5BZ         59  A      EA5EV         59  MU    
QSO: 21000 PH 2015-06-27 1239 EA5BZ         59  A      I4VIL         59  008   
QSO: 21000 PH 2015-06-27 1243 EA5BZ         59  A      DG1EA         59  016   
QSO: 21000 PH 2015-06-27 1243 EA5BZ         59  A      SK7K          59  024   
QSO: 21000 PH 2015-06-27 1245 EA5BZ         59  A      R8LA          59  019   
QSO:  7000 PH 2015-06-27 1248 EA5BZ         59  A      EA7NL         59  AL    
