START-OF-LOG: 2.0
CONTEST: EA-MAJESTAD-SSB
CALLSIGN: OE3MCS/M
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 2880
NAME: Markus Schott
SOAPBOX: worked just 2 hours at the end
SOAPBOX: I was working Mobile from the Car
SOAPBOX: parked in Vienna from GRID:JN88DG
SOAPBOX: TNX for Contest.. hope to have more time next time
QSO: 28500 PH 2015-06-28 0955 OE3MCS/M 59 001 EA4EUI 59 M
QSO: 28508 PH 2015-06-28 0958 OE3MCS/M 59 002 EA5KB  59 V
QSO: 28510 PH 2015-06-28 0959 OE3MCS/M 59 003 ED7B   59 CO
QSO: 28498 PH 2015-06-28 1006 OE3MCS/M 59 004 EF5T   59 MU
QSO: 28492 PH 2015-06-28 1008 OE3MCS/M 59 005 ED4R   59 GU
QSO: 28440 PH 2015-06-28 1010 OE3MCS/M 59 006 ED1R   59 AV
QSO: 28415 PH 2015-06-28 1012 OE3MCS/M 59 007 ED8B   59 TF
QSO: 28490 PH 2015-06-28 1015 OE3MCS/M 59 008 EA8NB  59 TF
QSO: 21249 PH 2015-06-28 1030 OE3MCS/M 59 009 RY6Y   59 969
QSO: 21238 PH 2015-06-28 1031 OE3MCS/M 59 010 R7AB   59 325
QSO: 21228 PH 2015-06-28 1035 OE3MCS/M 59 011 OH1TD  59 372
QSO: 21222 PH 2015-06-28 1037 OE3MCS/M 59 012 PY2LED 59 750
QSO: 21210 PH 2015-06-28 1042 OE3MCS/M 59 013 EA5KB  59 V
QSO: 21235 PH 2015-06-28 1045 OE3MCS/M 59 014 EA1OS  59 C
QSO: 21242 PH 2015-06-28 1046 OE3MCS/M 59 015 EA5HRV 59 V
QSO: 21263 PH 2015-06-28 1048 OE3MCS/M 59 016 UW6M   59 404
QSO: 21273 PH 2015-06-28 1050 OE3MCS/M 59 017 ED1R   59 AV
QSO: 21300 PH 2015-06-28 1050 OE3MCS/M 59 018 UT5HX  59 171
QSO: 21305 PH 2015-06-28 1053 OE3MCS/M 59 019 EC5NJ  59 V
QSO: 21253 PH 2015-06-28 1058 OE3MCS/M 59 020 EA8NB  59 TF
QSO: 21290 PH 2015-06-28 1059 OE3MCS/M 59 021 EC1DBO 59 PO
QSO: 14277 PH 2015-06-28 1112 OE3MCS/M 59 022 EF1W   59 O
QSO: 14275 PH 2015-06-28 1113 OE3MCS/M 59 023 ED1R   59 AV
QSO: 14268 PH 2015-06-28 1115 OE3MCS/M 59 024 EA5EJ  59 A
QSO: 14257 PH 2015-06-28 1116 OE3MCS/M 59 025 SK2T   59 413
QSO: 14250 PH 2015-06-28 1117 OE3MCS/M 59 026 ED1B   59 O
QSO: 14245 PH 2015-06-28 1118 OE3MCS/M 59 027 EB5AQB 59 A
QSO: 14237 PH 2015-06-28 1121 OE3MCS/M 59 028 EA5GMB 59 MU
QSO: 14240 PH 2015-06-28 1129 OE3MCS/M 59 029 RY6Y   59 1022
QSO: 14201 PH 2015-06-28 1131 OE3MCS/M 59 030 YT1A   59 854
QSO: 14214 PH 2015-06-28 1135 OE3MCS/M 59 031 EN0U   59 067
QSO: 14236 PH 2015-06-28 1136 OE3MCS/M 59 032 OH1TD  59 407
QSO: 14292 PH 2015-06-28 1141 OE3MCS/M 59 033 EA1BQR 59 SO
QSO: 14267 PH 2015-06-28 1142 OE3MCS/M 59 034 EE4EA  59 GU
QSO: 14230 PH 2015-06-28 1145 OE3MCS/M 59 035 F4HJC  59 381
QSO: 14205 PH 2015-06-28 1147 OE3MCS/M 59 036 UA4S   59 862
QSO: 14205 PH 2015-06-28 1147 OE3MCS/M 59 037 YO6LA  59 077
QSO: 14239 PH 2015-06-28 1153 OE3MCS/M 59 038 EA7RU  59 MA
QSO: 14269 PH 2015-06-28 1156 OE3MCS/M 59 039 OZ2TF  59 203
QSO: 14290 PH 2015-06-28 1159 OE3MCS/M 59 040 EA7ITL 59 CA
