START-OF-LOG: 3.0
CREATED-BY: ua9qcq-rda-ubn-downloader
CONTEST: RDA
CALLSIGN: HG7T
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: HIGH
OPERATORS: HG7T
QSO: 14023 CW 2019-08-17 0801 HG7T          599 0001   R1CF/P        599 PS25  
QSO: 14023 CW 2019-08-17 0802 HG7T          599 0002   RV9CVA        599 SV38  
QSO: 14023 CW 2019-08-17 0802 HG7T          599 0003   UA6LCJ        599 RO22  
QSO: 14023 CW 2019-08-17 0804 HG7T          599 0004   UA4PBT        599 TA04  
QSO: 14023 CW 2019-08-17 0804 HG7T          599 0005   R4ACY         599 VG05  
QSO: 14023 CW 2019-08-17 0805 HG7T          599 0006   UA4FDL        599 PE29  
QSO: 14023 CW 2019-08-17 0806 HG7T          599 0007   R9XS          599 KO08  
QSO: 14023 CW 2019-08-17 0808 HG7T          599 0008   RM7F          599 ST11  
QSO: 14023 CW 2019-08-17 0808 HG7T          599 0009   RA7KO         599 RK02  
QSO: 14023 CW 2019-08-17 0810 HG7T          599 0010   UA9FAR        599 PM39  
QSO: 14023 CW 2019-08-17 0810 HG7T          599 0011   UA4CNJ        599 SA02  
QSO: 14023 CW 2019-08-17 0811 HG7T          599 0012   RN9RF         599 KN26  
QSO: 14023 CW 2019-08-17 0812 HG7T          599 0013   RZ9M          599 OM05  
QSO: 14023 CW 2019-08-17 0813 HG7T          599 0014   R9JBN/4       599 PE09  
QSO: 14023 CW 2019-08-17 0813 HG7T          599 0015   UA3QAM        599 VR40  
QSO: 14023 CW 2019-08-17 0814 HG7T          599 0016   RA3NC         599 KS01  
QSO: 14023 CW 2019-08-17 0815 HG7T          599 0017   RU4SS         599 MR01  
QSO: 14023 CW 2019-08-17 0816 HG7T          599 0018   R6GE          599 ST19  
QSO: 14023 CW 2019-08-17 0817 HG7T          599 0019   RW9RN         599 KN01  
QSO: 14023 CW 2019-08-17 0817 HG7T          599 0020   RC6AA         599 KR50  
QSO: 14023 CW 2019-08-17 0818 HG7T          599 0021   RK3DSW        599 MO54  
QSO: 14023 CW 2019-08-17 0818 HG7T          599 0022   UA3GQ         599 LP13  
QSO: 14023 CW 2019-08-17 0819 HG7T          599 0023   R2ZA          599 BO01  
QSO: 14023 CW 2019-08-17 0819 HG7T          599 0024   RD3FT         599 MO54  
QSO: 14023 CW 2019-08-17 0820 HG7T          599 0025   R4WT/P        599 UD14  
QSO: 14023 CW 2019-08-17 0821 HG7T          599 0026   RT7C          599 KR24  
QSO: 14023 CW 2019-08-17 0822 HG7T          599 0027   R3NAN         599 KS08  
QSO: 14023 CW 2019-08-17 0824 HG7T          599 0028   UA3DER        599 MO13  
QSO: 14023 CW 2019-08-17 0824 HG7T          599 0029   RK3P          599 TL11  
QSO: 14023 CW 2019-08-17 0825 HG7T          599 0030   R1BCO         599 SP12  
QSO: 14023 CW 2019-08-17 0825 HG7T          599 0031   R5FN          599 MO48  
QSO: 14023 CW 2019-08-17 0826 HG7T          599 0032   RV0CG         599 SK02  
QSO: 14023 CW 2019-08-17 0827 HG7T          599 0033   R5PW          599 TL01  
QSO: 14023 CW 2019-08-17 0827 HG7T          599 0034   UA4QK         599 TA35  
QSO: 14023 CW 2019-08-17 0828 HG7T          599 0035   RC4AC         599 VG09  
QSO: 14023 CW 2019-08-17 0829 HG7T          599 0036   RA4NCC        599 KI30  
QSO: 14028 CW 2019-08-17 0837 HG7T          599 0037   R3VL          599 VL13  
QSO: 14028 CW 2019-08-17 0838 HG7T          599 0038   RW9MZ         599 OM17  
