START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: DL2FQ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 86275
NAME: Tsvetomir Tishevishki
LOCATION: DX
CLUB:
CREATED-BY: Win-Test 4.20.0
SOAPBOX: Not good condx here. Anyway I had fun trying for first time operating
SOAPBOX: with 2 radios.
QSO:  3598 RY 2019-09-28 0701 DL2FQ         599 14 DX  DP7D          599 14 DX  0
QSO:  3586 RY 2019-09-28 0702 DL2FQ         599 14 DX  DL3BQA        599 14 DX  0
QSO: 14081 RY 2019-09-28 0844 DL2FQ         599 14 DX  LZ5R          599 20 DX  0
QSO:  7042 RY 2019-09-28 0904 DL2FQ         599 14 DX  F4DVX         599 14 DX  0
QSO:  7052 RY 2019-09-28 0909 DL2FQ         599 14 DX  HG1S          599 15 DX  0
QSO:  7048 RY 2019-09-28 0912 DL2FQ         599 14 DX  S51CK         599 15 DX  0
QSO: 14081 RY 2019-09-28 0927 DL2FQ         599 14 DX  UR5CN         599 16 DX  0
QSO:  7044 RY 2019-09-28 0931 DL2FQ         599 14 DX  M7T           599 14 DX  0
QSO:  7040 RY 2019-09-28 0932 DL2FQ         599 14 DX  9A1A          599 15 DX  0
QSO: 14100 RY 2019-09-28 0936 DL2FQ         599 14 DX  UW1M          599 16 DX  0
QSO:  7043 RY 2019-09-28 0938 DL2FQ         599 14 DX  S51A          599 15 DX  0
QSO: 14080 RY 2019-09-28 0939 DL2FQ         599 14 DX  YO9BPX        599 20 DX  0
QSO:  7051 RY 2019-09-28 1025 DL2FQ         599 14 DX  TM3Z          599 14 DX  0
QSO: 14097 RY 2019-09-28 1026 DL2FQ         599 14 DX  F4GGQ         599 14 DX  0
QSO: 14102 RY 2019-09-28 1028 DL2FQ         599 14 DX  C37NL         599 14 DX  0
QSO: 14078 RY 2019-09-28 1036 DL2FQ         599 14 DX  EM0I          599 16 DX  0
QSO:  7058 RY 2019-09-28 1039 DL2FQ         599 14 DX  HG7T          599 15 DX  0
QSO:  7062 RY 2019-09-28 1040 DL2FQ         599 14 DX  OU2PA         599 14 DX  0
QSO:  7041 RY 2019-09-28 1042 DL2FQ         599 14 DX  LY7Z          599 15 DX  0
QSO:  7043 RY 2019-09-28 1044 DL2FQ         599 14 DX  IX1CLD        599 15 DX  0
QSO: 14113 RY 2019-09-28 1646 DL2FQ         599 14 DX  P33W          599 33 DX  0
QSO: 14078 RY 2019-09-28 1649 DL2FQ         599 14 DX  CR3DX         599 33 DX  0
QSO: 14089 RY 2019-09-28 1654 DL2FQ         599 14 DX  EA2XR         599 14 DX  0
QSO:  7035 RY 2019-09-28 1704 DL2FQ         599 14 DX  IK2LFF        599 15 DX  0
QSO:  7042 RY 2019-09-28 1711 DL2FQ         599 14 DX  EI7M          599 14 DX  0
QSO:  7047 RY 2019-09-28 1717 DL2FQ         599 14 DX  C37NL         599 14 DX  0
QSO:  7049 RY 2019-09-28 1718 DL2FQ         599 14 DX  I4AVG         599 15 DX  0
QSO:  7044 RY 2019-09-28 1731 DL2FQ         599 14 DX  UA4M          599 16 DX  0
QSO:  3593 RY 2019-09-28 1745 DL2FQ         599 14 DX  S53S          599 15 DX  0
QSO:  7037 RY 2019-09-28 1746 DL2FQ         599 14 DX  EM0I          599 16 DX  0
QSO:  7037 RY 2019-09-28 1747 DL2FQ         599 14 DX  GM4FDM        599 14 DX  0
QSO:  7042 RY 2019-09-28 1750 DL2FQ         599 14 DX  HB9FKK        599 14 DX  0
QSO:  3572 RY 2019-09-28 1902 DL2FQ         599 14 DX  G4RS          599 14 DX  0
QSO:  7050 RY 2019-09-28 1907 DL2FQ         599 14 DX  ED3M          599 14 DX  0
QSO:  3580 RY 2019-09-28 1908 DL2FQ         599 14 DX  F5BEG         599 14 DX  0
QSO:  7060 RY 2019-09-28 1911 DL2FQ         599 14 DX  EA1BD         599 14 DX  0
QSO:  3582 RY 2019-09-28 1911 DL2FQ         599 14 DX  C37NL         599 14 DX  0
QSO:  7082 RY 2019-09-28 1913 DL2FQ         599 14 DX  ED1A          599 14 DX  0
QSO:  7085 RY 2019-09-28 1914 DL2FQ         599 14 DX  RM3DA         599 16 DX  0
QSO:  7086 RY 2019-09-28 1914 DL2FQ         599 14 DX  ED1R          599 14 DX  0
QSO:  7038 RY 2019-09-28 1916 DL2FQ         599 14 DX  Z35T          599 15 DX  0
QSO:  3586 RY 2019-09-28 1918 DL2FQ         599 14 DX  OK6DJ         599 15 DX  0
