START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: G0MTN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 36359
NAME: Lee Volante
LOCATION: DX
OPERATORS: G0MTN
CLUB:
CREATED-BY: Win-Test 4.24.0
SOAPBOX: I had plans for a serious SO2R SOAB-LP, but local stormy weather and solar
SOAPBOX: weather put me off. This was some slow S&P with the "Plan B"
SOAPBOX: doublet-in-a-tree, whilst ironing out bugs in the station. Panadapter now
SOAPBOX: working reliably - I could immediately see the value of tuning by eye, and
SOAPBOX: stereo audio recording of the contest is now working. I spent time with the
SOAPBOX: family on the Sunday instead of any operating, but from the reports I
SOAPBOX: missed the best of the challenging conditions.
QSO: 14089 RY 2019-09-28 1001 G0MTN         599 14 DX  CR3DX         599 33 DX  0
QSO: 14112 RY 2019-09-28 1046 G0MTN         599 14 DX  S53TM         599 15 DX  0
QSO:  7044 RY 2019-09-28 1047 G0MTN         599 14 DX  YL2KF         599 15 DX  0
QSO:  7049 RY 2019-09-28 1048 G0MTN         599 14 DX  DL1QW         599 14 DX  0
QSO:  7054 RY 2019-09-28 1050 G0MTN         599 14 DX  LX7I          599 14 DX  0
QSO: 14120 RY 2019-09-28 1052 G0MTN         599 14 DX  S58J          599 15 DX  0
QSO: 14117 RY 2019-09-28 1053 G0MTN         599 14 DX  RG9A          599 17 DX  0
QSO: 14100 RY 2019-09-28 1056 G0MTN         599 14 DX  UW1M          599 16 DX  0
QSO: 14124 RY 2019-09-28 1100 G0MTN         599 14 DX  IQ4RN         599 15 DX  0
QSO: 21093 RY 2019-09-28 1107 G0MTN         599 14 DX  IQ9UI         599 15 DX  0
QSO:  7038 RY 2019-09-28 1108 G0MTN         599 14 DX  9A1A          599 15 DX  0
QSO:  7058 RY 2019-09-28 1113 G0MTN         599 14 DX  OG70AD        599 15 DX  0
QSO:  7059 RY 2019-09-28 1114 G0MTN         599 14 DX  DL1NEO        599 14 DX  0
QSO:  7060 RY 2019-09-28 1115 G0MTN         599 14 DX  DL2RMC        599 14 DX  0
QSO:  7062 RY 2019-09-28 1116 G0MTN         599 14 DX  OU2PA         599 14 DX  0
QSO:  7064 RY 2019-09-28 1118 G0MTN         599 14 DX  SK6AW         599 14 DX  0
QSO:  7068 RY 2019-09-28 1118 G0MTN         599 14 DX  EI7M          599 14 DX  0
QSO:  7070 RY 2019-09-28 1120 G0MTN         599 14 DX  DM4X          599 14 DX  0
QSO: 14126 RY 2019-09-28 1123 G0MTN         599 14 DX  S53S          599 15 DX  0
QSO: 14125 RY 2019-09-28 1125 G0MTN         599 14 DX  ED3M          599 14 DX  0
QSO: 14121 RY 2019-09-28 1126 G0MTN         599 14 DX  UY7C          599 16 DX  0
QSO: 14119 RY 2019-09-28 1127 G0MTN         599 14 DX  I0WBX         599 15 DX  0
QSO: 14114 RY 2019-09-28 1128 G0MTN         599 14 DX  E78T          599 15 DX  0
QSO: 14110 RY 2019-09-28 1129 G0MTN         599 14 DX  S50W          599 15 DX  0
QSO: 14106 RY 2019-09-28 1130 G0MTN         599 14 DX  OL9A          599 15 DX  0
QSO: 14105 RY 2019-09-28 1130 G0MTN         599 14 DX  IQ2CJ         599 15 DX  0
QSO: 14103 RY 2019-09-28 1131 G0MTN         599 14 DX  LY1R          599 15 DX  0
QSO: 14098 RY 2019-09-28 1133 G0MTN         599 14 DX  9A1A          599 15 DX  0
QSO: 14097 RY 2019-09-28 1134 G0MTN         599 14 DX  S57AW         599 15 DX  0
QSO: 14096 RY 2019-09-28 1135 G0MTN         599 14 DX  IK2SAR        599 15 DX  0
QSO: 14080 RY 2019-09-28 1138 G0MTN         599 14 DX  HG7T          599 15 DX  0
