START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: DJ3GE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 16133
NAME: Ferdinand Dahl
LOCATION: DX
OPERATORS: DJ3GE
CLUB:
CREATED-BY: UcxLog 7.96
SOAPBOX: QRP 5 WAtt from FT817 via tuner Z11 to off-center-fed dipole FD3
SOAPBOX: ( 7 MHz), to 2 Ele-Mini-Yagi MFB23 (14, 21 MHz).
QSO: 14108 RY 2019-09-28 1720 DJ3GE         599 14 DX  C37NL         599 14 DX
QSO:  7052 RY 2019-09-28 1839 DJ3GE         599 14 DX  YL2KF         599 15 DX
QSO:  7052 RY 2019-09-28 1842 DJ3GE         599 14 DX  IK8SEU        599 15 DX
QSO:  7052 RY 2019-09-28 1843 DJ3GE         599 14 DX  EM2Q          599 16 DX
QSO:  7052 RY 2019-09-28 1844 DJ3GE         599 14 DX  EA1BD         599 14 DX
QSO:  7052 RY 2019-09-28 1846 DJ3GE         599 14 DX  EM0I          599 16 DX
QSO:  7052 RY 2019-09-28 1850 DJ3GE         599 14 DX  LA1K          599 14 DX
QSO:  7052 RY 2019-09-28 1852 DJ3GE         599 14 DX  ER4A          599 16 DX
QSO:  7052 RY 2019-09-28 1854 DJ3GE         599 14 DX  HA1AD         599 15 DX
QSO:  7052 RY 2019-09-28 1857 DJ3GE         599 14 DX  UW1M          599 16 DX
QSO:  7052 RY 2019-09-28 1903 DJ3GE         599 14 DX  E78T          599 15 DX
QSO:  7052 RY 2019-09-28 1923 DJ3GE         599 14 DX  ED3D          599 14 DX
QSO:  7052 RY 2019-09-28 1928 DJ3GE         599 14 DX  IZ2DII        599 15 DX
QSO:  7052 RY 2019-09-28 1929 DJ3GE         599 14 DX  EA2XR         599 14 DX
QSO:  7052 RY 2019-09-28 1930 DJ3GE         599 14 DX  IQ4FC         599 15 DX
QSO:  7052 RY 2019-09-28 1935 DJ3GE         599 14 DX  GM4FDM        599 14 DX
QSO:  7052 RY 2019-09-28 1937 DJ3GE         599 14 DX  IQ4FA         599 15 DX
QSO:  7052 RY 2019-09-28 1941 DJ3GE         599 14 DX  CR3W          599 33 DX
QSO:  7052 RY 2019-09-28 1945 DJ3GE         599 14 DX  I4JED         599 15 DX
QSO:  7052 RY 2019-09-28 1947 DJ3GE         599 14 DX  LZ5K          599 20 DX
QSO:  7052 RY 2019-09-28 1948 DJ3GE         599 14 DX  9A1A          599 15 DX
QSO:  7052 RY 2019-09-28 1955 DJ3GE         599 14 DX  I4AVG         599 15 DX
QSO:  7052 RY 2019-09-28 1956 DJ3GE         599 14 DX  S53F          599 15 DX
QSO:  7052 RY 2019-09-28 2001 DJ3GE         599 14 DX  I2WIJ         599 15 DX
QSO:  7052 RY 2019-09-28 2002 DJ3GE         599 14 DX  S51A          599 15 DX
QSO:  7052 RY 2019-09-28 2005 DJ3GE         599 14 DX  LZ5R          599 20 DX
QSO:  7052 RY 2019-09-28 2019 DJ3GE         599 14 DX  IQ9UI         599 15 DX
QSO:  7052 RY 2019-09-29 0742 DJ3GE         599 14 DX  Z33F          599 15 DX
QSO:  7052 RY 2019-09-29 0743 DJ3GE         599 14 DX  US7KC         599 16 DX
QSO:  7052 RY 2019-09-29 0746 DJ3GE         599 14 DX  IT9VCE        599 15 DX
QSO:  7052 RY 2019-09-29 0749 DJ3GE         599 14 DX  YU7U          599 15 DX
QSO:  7052 RY 2019-09-29 0758 DJ3GE         599 14 DX  9A7B          599 15 DX
QSO:  7052 RY 2019-09-29 0759 DJ3GE         599 14 DX  S50A          599 15 DX
QSO:  7052 RY 2019-09-29 0800 DJ3GE         599 14 DX  IQ3RK         599 15 DX
