START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: DL5KUD
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 165495
NAME: Jo. Zillmann
LOCATION: DX
OPERATORS: DL5KUD
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: rig ic-7400 80w dipole at 5m - poor conds on 1st day
QSO:  3588 RY 2019-09-28 0323 DL5KUD        599 14 DX  OM0M          599 15 DX
QSO:  3585 RY 2019-09-28 0324 DL5KUD        599 14 DX  S53S          599 15 DX
QSO:  3584 RY 2019-09-28 0325 DL5KUD        599 14 DX  HA8BT         599 15 DX
QSO:  3580 RY 2019-09-28 0327 DL5KUD        599 14 DX  UW3U          599 16 DX
QSO:  3579 RY 2019-09-28 0329 DL5KUD        599 14 DX  OG2P          599 15 DX
QSO:  3578 RY 2019-09-28 0331 DL5KUD        599 14 DX  HA8BE         599 15 DX
QSO:  3605 RY 2019-09-28 0332 DL5KUD        599 14 DX  YP0C          599 20 DX
QSO:  3603 RY 2019-09-28 0335 DL5KUD        599 14 DX  I1JTQ         599 15 DX
QSO:  3600 RY 2019-09-28 0339 DL5KUD        599 14 DX  IQ2CJ         599 15 DX
QSO:  3599 RY 2019-09-28 0340 DL5KUD        599 14 DX  CR3DX         599 33 DX
QSO:  3598 RY 2019-09-28 0341 DL5KUD        599 14 DX  UT5EPP        599 16 DX
QSO:  3595 RY 2019-09-28 0346 DL5KUD        599 14 DX  9A1A          599 15 DX
QSO:  3593 RY 2019-09-28 0348 DL5KUD        599 14 DX  P33W          599 20 DX
QSO:  3593 RY 2019-09-28 0349 DL5KUD        599 14 DX  CR3W          599 33 DX
QSO:  3588 RY 2019-09-28 0355 DL5KUD        599 14 DX  IQ3RK         599 15 DX
QSO:  3587 RY 2019-09-28 0357 DL5KUD        599 14 DX  C37NL         599 14 DX
QSO:  3586 RY 2019-09-28 0358 DL5KUD        599 14 DX  OM3R          599 15 DX
QSO:  3583 RY 2019-09-28 0400 DL5KUD        599 14 DX  9A6NA         599 15 DX
QSO:  3608 RY 2019-09-28 0406 DL5KUD        599 14 DX  DQ4W          599 14 DX
QSO:  3605 RY 2019-09-28 0407 DL5KUD        599 14 DX  S51A          599 15 DX
QSO:  3604 RY 2019-09-28 0408 DL5KUD        599 14 DX  S50W          599 15 DX
QSO:  3602 RY 2019-09-28 0409 DL5KUD        599 14 DX  G8X           599 14 DX
QSO:  3602 RY 2019-09-28 0409 DL5KUD        599 14 DX  DD1A          599 14 DX
QSO:  3602 RY 2019-09-28 0410 DL5KUD        599 14 DX  DL3BQA        599 14 DX
QSO:  3612 RY 2019-09-28 0411 DL5KUD        599 14 DX  I3VRD         599 15 DX
QSO:  3608 RY 2019-09-28 0415 DL5KUD        599 14 DX  EW7BA         599 16 DX
QSO:  3606 RY 2019-09-28 0417 DL5KUD        599 14 DX  LX7I          599 14 DX
QSO:  3601 RY 2019-09-28 0422 DL5KUD        599 14 DX  UY5VA         599 16 DX
QSO:  3597 RY 2019-09-28 0426 DL5KUD        599 14 DX  LB6KC         599 14 DX
QSO:  3596 RY 2019-09-28 0427 DL5KUD        599 14 DX  SN7Q          599 15 DX
QSO:  3596 RY 2019-09-28 0429 DL5KUD        599 14 DX  LY7Z          599 15 DX
QSO:  3594 RY 2019-09-28 0430 DL5KUD        599 14 DX  UX2X          599 16 DX
QSO:  3592 RY 2019-09-28 0431 DL5KUD        599 14 DX  LY2SA         599 15 DX
QSO:  3592 RY 2019-09-28 0432 DL5KUD        599 14 DX  HB90TOC       599 14 DX
QSO:  3591 RY 2019-09-28 0441 DL5KUD        599 14 DX  YL2GD         599 15 DX
QSO:  3591 RY 2019-09-28 0443 DL5KUD        599 14 DX  EA2XR         599 14 DX
QSO: 14127 RY 2019-09-28 0930 DL5KUD        599 14 DX  PY2NY         599 11 DX
QSO: 14120 RY 2019-09-28 0937 DL5KUD        599 14 DX  ED3M          599 14 DX
QSO: 14120 RY 2019-09-28 0938 DL5KUD        599 14 DX  LZ9R          599 20 DX
QSO: 14118 RY 2019-09-28 0940 DL5KUD        599 14 DX  YP0C          599 20 DX
QSO: 14115 RY 2019-09-28 0942 DL5KUD        599 14 DX  RG9A          599 17 DX
QSO: 14115 RY 2019-09-28 0943 DL5KUD        599 14 DX  UN6LN         599 17 DX
QSO: 14113 RY 2019-09-28 0943 DL5KUD        599 14 DX  R4IM          599 16 DX
QSO: 14107 RY 2019-09-28 0946 DL5KUD        599 14 DX  P33W          599 20 DX
QSO: 14104 RY 2019-09-28 0947 DL5KUD        599 14 DX  IT9BLB        599 15 DX
QSO: 14104 RY 2019-09-28 0948 DL5KUD        599 14 DX  SV2ESW        599 20 DX
QSO: 14103 RY 2019-09-28 0950 DL5KUD        599 14 DX  C37NL         599 14 DX
QSO: 14097 RY 2019-09-28 0954 DL5KUD        599 14 DX  EM2Q          599 16 DX
QSO: 14096 RY 2019-09-28 0955 DL5KUD        599 14 DX  K6DTT/1       599 05 ME
QSO: 14094 RY 2019-09-28 0957 DL5KUD        599 14 DX  RD0A          599 18 DX
QSO: 14092 RY 2019-09-28 0959 DL5KUD        599 14 DX  OH8A          599 15 DX
QSO: 14086 RY 2019-09-28 1004 DL5KUD        599 14 DX  UN7ID         599 17 DX
QSO: 21094 RY 2019-09-28 1141 DL5KUD        599 14 DX  LY7Z          599 15 DX
QSO: 21097 RY 2019-09-28 1142 DL5KUD        599 14 DX  OM0M          599 15 DX
QSO: 14081 RY 2019-09-28 1146 DL5KUD        599 14 DX  EA2XR         599 14 DX
QSO: 14081 RY 2019-09-28 1147 DL5KUD        599 14 DX  HG7T          599 15 DX
QSO: 14128 RY 2019-09-28 1149 DL5KUD        599 14 DX  IZ1PKV        599 15 DX
QSO: 14127 RY 2019-09-28 1151 DL5KUD        599 14 DX  S53S          599 15 DX
QSO: 14125 RY 2019-09-28 1152 DL5KUD        599 14 DX  LZ1ZM         599 20 DX
QSO: 14124 RY 2019-09-28 1153 DL5KUD        599 14 DX  IQ4RN         599 15 DX
QSO: 14122 RY 2019-09-28 1154 DL5KUD        599 14 DX  EA1CJ         599 14 DX
QSO: 14113 RY 2019-09-28 1158 DL5KUD        599 14 DX  RM3DA         599 16 DX
QSO: 14110 RY 2019-09-28 1159 DL5KUD        599 14 DX  JH4UYB        599 25 DX
QSO: 14109 RY 2019-09-28 1202 DL5KUD        599 14 DX  JH4UTP        599 25 DX
QSO: 14103 RY 2019-09-28 1204 DL5KUD        599 14 DX  CS5CRE        599 14 DX
QSO: 21090 RY 2019-09-28 1311 DL5KUD        599 14 DX  9A5D          599 15 DX
QSO: 14130 RY 2019-09-28 1312 DL5KUD        599 14 DX  IK4QJF        599 15 DX
QSO: 14114 RY 2019-09-28 1316 DL5KUD        599 14 DX  SZ6P          599 20 DX
QSO: 14114 RY 2019-09-28 1317 DL5KUD        599 14 DX  CT1ILT        599 14 DX
QSO: 14099 RY 2019-09-28 1322 DL5KUD        599 14 DX  9A1A          599 15 DX
QSO: 14098 RY 2019-09-28 1324 DL5KUD        599 14 DX  UA0SR         599 18 DX
QSO: 14097 RY 2019-09-28 1328 DL5KUD        599 14 DX  F4GGQ         599 14 DX
QSO: 14097 RY 2019-09-28 1329 DL5KUD        599 14 DX  K9CT          599 04 IL
QSO: 14096 RY 2019-09-28 1330 DL5KUD        599 14 DX  RL9L          599 17 DX
QSO: 14119 RY 2019-09-28 1442 DL5KUD        599 14 DX  AA3B          599 05 PA
QSO: 14116 RY 2019-09-28 1445 DL5KUD        599 14 DX  JA6ZPR        599 25 DX
QSO: 14116 RY 2019-09-28 1448 DL5KUD        599 14 DX  MJ0X          599 14 DX
QSO: 14115 RY 2019-09-28 1449 DL5KUD        599 14 DX  IQ1RY         599 15 DX
QSO: 14107 RY 2019-09-28 1451 DL5KUD        599 14 DX  F5QE          599 14 DX
QSO: 14084 RY 2019-09-28 1458 DL5KUD        599 14 DX  UR2Y          599 16 DX
QSO: 14083 RY 2019-09-28 1505 DL5KUD        599 14 DX  SV5/DL3DRN    599 20 DX
QSO: 14078 RY 2019-09-28 1513 DL5KUD        599 14 DX  CR3DX         599 33 DX
QSO: 14129 RY 2019-09-28 1514 DL5KUD        599 14 DX  K3PP          599 05 PA
QSO:  7065 RY 2019-09-28 1522 DL5KUD        599 14 DX  OZ30EU        599 14 DX
QSO:  7066 RY 2019-09-28 1523 DL5KUD        599 14 DX  EW8DX         599 16 DX
QSO:  7065 RY 2019-09-28 1523 DL5KUD        599 14 DX  HB9DHG        599 14 DX
QSO:  7066 RY 2019-09-28 1525 DL5KUD        599 14 DX  UW3U          599 16 DX
QSO:  7068 RY 2019-09-28 1526 DL5KUD        599 14 DX  YO4NF         599 20 DX
QSO:  7070 RY 2019-09-28 1530 DL5KUD        599 14 DX  T6A           599 21 DX
QSO:  7071 RY 2019-09-28 1531 DL5KUD        599 14 DX  OH3OJ         599 15 DX
QSO:  7074 RY 2019-09-28 1534 DL5KUD        599 14 DX  S51A          599 15 DX
QSO:  7047 RY 2019-09-28 1636 DL5KUD        599 14 DX  VK4QH         599 30 DX
QSO:  7047 RY 2019-09-28 1638 DL5KUD        599 14 DX  C37NL         599 14 DX
QSO:  7037 RY 2019-09-28 1642 DL5KUD        599 14 DX  RZ9AD         599 17 DX
