START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: WB9QAF
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 624
NAME: Paul Christy
LOCATION: NE
OPERATORS: WB9QAF
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7952.0
SOAPBOX: I was actually mobile but couldn't figure out how to generate
SOAPBOX: Cabrillo file in N1MM with different operating QTH's.  We went
SOAPBOX: through NE, IA, MO, IL, TN, and NC.  Had a blast! Operating
SOAPBOX: RTTY mobile is a bit of a challenge...
QSO: 14079 RY 2019-09-28 0046 WB9QAF        599 04 NE  K7AR          599 03 WA
QSO: 14083 RY 2019-09-28 0056 WB9QAF        599 04 NE  CR3DX         599 33 DX
QSO: 14085 RY 2019-09-28 0211 WB9QAF        599 04 NE  N6WM          599 03 CA
QSO: 14088 RY 2019-09-28 0213 WB9QAF        599 04 NE  N7NM          599 03 WA
QSO: 14089 RY 2019-09-28 0217 WB9QAF        599 04 NE  W7YAQ         599 03 OR
QSO: 14095 RY 2019-09-28 0222 WB9QAF        599 04 NE  HQ9X          599 07 DX
QSO: 14095 RY 2019-09-28 0226 WB9QAF        599 04 NE  KE6GLA        599 03 CA
QSO: 14104 RY 2019-09-28 0229 WB9QAF        599 04 NE  WN6K          599 03 CA
QSO: 14106 RY 2019-09-28 0231 WB9QAF        599 04 NE  N6JV          599 03 CA
QSO:  7037 RY 2019-09-28 0252 WB9QAF        599 04 NE  NT5V          599 04 TX
QSO:  3595 RY 2019-09-28 0317 WB9QAF        599 04 NE  K0AD          599 04 MN
QSO: 21000 RY 2019-09-28 1932 WB9QAF        599 04 NE  KF7U          599 03 AZ
QSO: 14000 RY 2019-09-29 1508 WB9QAF        599 04 NE  K6TD          599 03 CA
QSO: 14000 RY 2019-09-29 1522 WB9QAF        599 04 NE  P49X          599 09 DX
QSO: 14000 RY 2019-09-29 1529 WB9QAF        599 04 NE  IQ9UI         599 15 DX
QSO: 14000 RY 2019-09-29 1540 WB9QAF        599 04 NE  KB1W          599 05 MA
QSO: 14000 RY 2019-09-29 1546 WB9QAF        599 04 NE  KA5M          599 04 LA
END-OF-LOG:
