START-OF-LOG: 3.0
LOCATION: NTX
CALLSIGN: N5TIT
CLUB: DFW Contest Group
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 37468
OPERATORS: N5TIT
SOAPBOX: After a year-long break in contesting I have the station back on
SOAPBOX: the air. I had moved my station to Mississippi to operate remote,
SOAPBOX: however with 400 plus millisecond response times across the wire
SOAPBOX: was not conducive to contesting. So earlier in the week I made
SOAPBOX: the drive to Mississippi to pick up my equipment and rebuild my
SOAPBOX: station here in Texas. Last week I purchased an MFJ1838 Cobweb
SOAPBOX: antenna and assembled it on a Military pole tripod at 16 feet,
SOAPBOX: This is a temporary setup until I can get the antenna mounted on
SOAPBOX: the roof when the temperatures come down in a few weeks.  For
SOAPBOX: this contest, I operated mainly on 40 and 80 meters and pulled a
SOAPBOX: few Q's on 15 meters however 15 just never opened up at all. 40
SOAPBOX: Meters was pretty good for NA but EU just was not that strong
SOAPBOX: here. Now the Cobweb antenna at 16 feet is not high enough to
SOAPBOX: make it efficient so I am pretty sure that once I get the antenna
SOAPBOX: on the roof plus 5 feet or so that EU will be easier. AS and OC
SOAPBOX: was nonexistent for me this contest but I was able to nab 13 SA,
SOAPBOX: 11 EU, and 3 AF, so not bad for 16 feet.
NAME: Jeffrey Smith
CREATED-BY: N1MM Logger+ 1.0.7954.0
QSO: 14119 RY 2019-09-28 0111 N5TIT         599 04 TX  WN6K          599 03 CA
QSO: 14118 RY 2019-09-28 0113 N5TIT         599 04 TX  VA7KO         599 03 BC
QSO: 14116 RY 2019-09-28 0115 N5TIT         599 04 TX  W7PU          599 03 WA
QSO: 14117 RY 2019-09-28 0121 N5TIT         599 04 TX  VE2NMB        599 05 QC
QSO: 14117 RY 2019-09-28 0121 N5TIT         599 04 TX  VE6UM         599 04 AB
QSO: 14117 RY 2019-09-28 0122 N5TIT         599 04 TX  K6YK          599 03 CA
QSO: 14117 RY 2019-09-28 0123 N5TIT         599 04 TX  W6JBR         599 03 CA
