START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: G3L
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2835
NAME: DERRICK WEBBER
LOCATION: DX
OPERATORS: G3LHJ
CLUB: TORBAY ARS
CREATED-BY: MixW 3.2
SOAPBOX: Much less time this W/E for the contest,
SOAPBOX: but managed to give out a few points to the Guys & Gals
QSO: 14088 RY 2019-09-28 1528 G3L  599 14 DX IZ3GOM 599 15 DX 0
QSO: 14088 RY 2019-09-28 1532 G3L  599 14 DX W1QK   599 05 CT 0
QSO: 14088 RY 2019-09-28 1535 G3L  599 14 DX 2E0CVN 599 14 DX 0
QSO: 14088 RY 2019-09-28 1540 G3L  599 14 DX S53TM  599 15 DX 0
QSO: 14088 RY 2019-09-28 1542 G3L  599 14 DX LZ1ZM  599 20 DX 0
QSO: 14088 RY 2019-09-28 1545 G3L  599 14 DX F4GWY  599 14 DX 0
QSO: 14088 RY 2019-09-28 1547 G3L  599 14 DX IQ4FA  599 15 DX 0
QSO: 14088 RY 2019-09-28 1548 G3L  599 14 DX WW4L   599 05 ME 0
QSO: 14088 RY 2019-09-28 1551 G3L  599 14 DX KB1W   599 05 MA 0
QSO: 14088 RY 2019-09-28 1556 G3L  599 14 DX K1SFA  599 05 MA 0
QSO: 21080 RY 2019-09-29 0953 G3L  599 14 DX 9A5D   599 15 DX 0
QSO: 21079 RY 2019-09-29 0955 G3L  599 14 DX 9A1A   599 15 DX 0
QSO: 21080 RY 2019-09-29 0957 G3L  599 14 DX IQ4FAC 599 15 DX 0
QSO: 21080 RY 2019-09-29 0958 G3L  599 14 DX 2E0CVN 599 14 DX 0
QSO: 21079 RY 2019-09-29 1001 G3L  599 14 DX YU1UN  599 15 DX 0
QSO: 21079 RY 2019-09-29 1014 G3L  599 14 DX G3SNU  599 14 DX 0
QSO: 14079 RY 2019-09-29 1853 G3L  599 14 DX K2ADA  599 05 FL 0
QSO: 14079 RY 2019-09-29 1854 G3L  599 14 DX CR3W   599 33 DX 0
QSO: 14079 RY 2019-09-29 1856 G3L  599 14 DX KG4CUY 599 04 AL 0
QSO: 14080 RY 2019-09-29 1900 G3L  599 14 DX KP4JFR 599 08 DX 0
QSO: 14078 RY 2019-09-29 1902 G3L  599 14 DX N8CWU  599 04 OH 0
QSO: 14079 RY 2019-09-29 1904 G3L  599 14 DX KC4HW  599 04 AL 0
QSO: 14079 RY 2019-09-29 1910 G3L  599 14 DX NV9L   599 04 IL 0
QSO: 14079 RY 2019-09-29 1916 G3L  599 14 DX K9CT   599 04 IL 0
QSO: 14078 RY 2019-09-29 1918 G3L  599 14 DX PZ5RA  599 09 DX 0
QSO: 14078 RY 2019-09-29 1923 G3L  599 14 DX W4CU   599 05 FL 0
QSO: 14079 RY 2019-09-29 1928 G3L  599 14 DX N4GU   599 05 NC 0
QSO: 14078 RY 2019-09-29 1929 G3L  599 14 DX EA8ZS  599 33 DX 0
QSO: 14080 RY 2019-09-29 1930 G3L  599 14 DX P49X   599 09 DX 0
QSO: 14078 RY 2019-09-29 1933 G3L  599 14 DX PY2SHF 599 11 DX 0
QSO: 14078 RY 2019-09-29 1935 G3L  599 14 DX ZX2V   599 11 DX 0
QSO: 14080 RY 2019-09-29 1936 G3L  599 14 DX PY2NY  599 11 DX 0
END-OF-LOG:
