START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: K5BG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 186946
NAME: BOB GILL
LOCATION: TX
OPERATORS: K5BG
CLUB: DFW CONTEST GROUP
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: CQWWRTTY Summary Sheet
SOAPBOX: Start Date : 2019-09-28
SOAPBOX: CallSign Used : K5BG
SOAPBOX: Operator(s) : K5BG
SOAPBOX: Operator Category : SINGLE-OP
SOAPBOX: Assisted Category : ASSISTED
SOAPBOX: Band : ALL
SOAPBOX: Power : HIGH
SOAPBOX: Mode : RTTY
SOAPBOX: Default Exchange : 04 TX
SOAPBOX: Gridsquare : EM12BS
SOAPBOX: Name : BOB GILL
SOAPBOX: Address : 3832 GREENWOOD ROAD
SOAPBOX: City/State/Zip : WEATHERFORD  TX  76088
SOAPBOX: Country : USA
SOAPBOX: ARRL Section : NTX
SOAPBOX: Club/Team : DFW CONTEST GROUP
SOAPBOX: Software : N1MM Logger+ 1.0.7954.0
SOAPBOX: Band     QSOs     Pts  ZN   Cty  SP   Pt/Q
SOAPBOX: 3.5       6       7    2    2    5   1.2
SOAPBOX: 7     153     236   17   22   40   1.5
SOAPBOX: 14     324     598   21   46   36   1.8
SOAPBOX: 21      20      45    6    9    5   2.3
SOAPBOX: Total     503     886   46   79   86   1.8
SOAPBOX: Time On : 13 hours 40 minutes
SOAPBOX: Score : 186,946
SOAPBOX: Rig :Icom 7610 + Al82 @ 500 watts
SOAPBOX: Antennas :Mosley PRO 57 @ 70' / Cushcraft 402CD @ 50' / 80M vertical
SOAPBOX: Soapbox : Fun RTTY contest operating as time permitted. Lots of activity !!!
QSO: 14085 RY 2019-09-28 0222 K5BG          599 04 TX  CR3DX         599 33 DX
QSO: 14082 RY 2019-09-28 0224 K5BG          599 04 TX  KH6TU         599 31 DX
QSO: 14080 RY 2019-09-28 0226 K5BG          599 04 TX  JN4MMO        599 25 DX
QSO: 14084 RY 2019-09-28 0226 K5BG          599 04 TX  NG7M          599 03 UT
QSO: 14085 RY 2019-09-28 0228 K5BG          599 04 TX  NR4M          599 05 VA
QSO: 14089 RY 2019-09-28 0229 K5BG          599 04 TX  N7NM          599 03 WA
QSO: 14090 RY 2019-09-28 0231 K5BG          599 04 TX  K6ELE         599 03 CA
QSO: 14092 RY 2019-09-28 0231 K5BG          599 04 TX  W1QK          599 05 CT
QSO: 14092 RY 2019-09-28 0232 K5BG          599 04 TX  K0OO          599 05 MD
QSO: 14093 RY 2019-09-28 0233 K5BG          599 04 TX  CE7VPQ        599 12 DX
QSO: 14095 RY 2019-09-28 0237 K5BG          599 04 TX  ZM4T          599 32 DX
QSO: 14096 RY 2019-09-28 0240 K5BG          599 04 TX  KT7E          599 03 OR
QSO: 14100 RY 2019-09-28 0241 K5BG          599 04 TX  4U1WB         599 05 DC
QSO: 14104 RY 2019-09-28 0242 K5BG          599 04 TX  K7VIT         599 03 OR
QSO: 14105 RY 2019-09-28 0242 K5BG          599 04 TX  JR4OZR        599 25 DX
QSO: 14108 RY 2019-09-28 0244 K5BG          599 04 TX  PY2NY         599 11 DX
QSO: 14109 RY 2019-09-28 0244 K5BG          599 04 TX  JH4UYB        599 25 DX
QSO: 14111 RY 2019-09-28 0246 K5BG          599 04 TX  JA1ZGO        599 25 DX
QSO: 14115 RY 2019-09-28 0248 K5BG          599 04 TX  JT5DX         599 23 DX
QSO: 14110 RY 2019-09-28 0252 K5BG          599 04 TX  W6IA          599 03 CA
QSO: 14111 RY 2019-09-28 0254 K5BG          599 04 TX  K4FX          599 05 NC
QSO: 14111 RY 2019-09-28 0255 K5BG          599 04 TX  JA1QIF        599 25 DX
QSO: 14111 RY 2019-09-28 0256 K5BG          599 04 TX  JH8KYU/1      599 25 DX
QSO: 14111 RY 2019-09-28 0256 K5BG          599 04 TX  7N2UQC        599 25 DX
QSO: 14111 RY 2019-09-28 0258 K5BG          599 04 TX  VE7KAJ        599 03 BC
QSO: 14111 RY 2019-09-28 0258 K5BG          599 04 TX  CO0CHE        599 08 DX
QSO: 14111 RY 2019-09-28 0259 K5BG          599 04 TX  PY2KJ         599 11 DX
QSO: 14111 RY 2019-09-28 0300 K5BG          599 04 TX  W7XQ          599 03 OR
QSO: 14111 RY 2019-09-28 0300 K5BG          599 04 TX  N4TOL         599 05 GA
QSO: 14111 RY 2019-09-28 0301 K5BG          599 04 TX  K6ST          599 03 NV
QSO: 14111 RY 2019-09-28 0301 K5BG          599 04 TX  N7DB          599 03 OR
QSO: 14111 RY 2019-09-28 0303 K5BG          599 04 TX  ZM2B          599 32 DX
QSO: 14103 RY 2019-09-28 0306 K5BG          599 04 TX  LO7H          599 13 DX
QSO: 14099 RY 2019-09-28 0308 K5BG          599 04 TX  N6JV          599 03 CA
QSO: 14098 RY 2019-09-28 0309 K5BG          599 04 TX  PR2E          599 11 DX
