START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: JH8KYU/1
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 423636
NAME: Hidetoshi Tsutsumi
LOCATION: DX
OPERATORS: JH8KYU
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: As soon as I arrived at the radio room and turned on the new radio,
SOAPBOX: it made a popping sound and turned off.
SOAPBOX: After the contest started, I quickly made an interface for an old radio,
SOAPBOX: but lost 2 hours.
SOAPBOX: As a result, the score was almost the same as last year.
QSO: 14099 RY 2019-09-28 0000 JH8KYU/1      599 25 DX  K7RL          599 03 WA
QSO: 14093 RY 2019-09-28 0004 JH8KYU/1      599 25 DX  VE7SZ         599 03 BC
QSO: 14088 RY 2019-09-28 0008 JH8KYU/1      599 25 DX  R0CW          599 19 DX
QSO: 14105 RY 2019-09-28 0011 JH8KYU/1      599 25 DX  K7AR          599 03 WA
QSO: 14087 RY 2019-09-28 0102 JH8KYU/1      599 25 DX  KU1CW         599 03 OR
QSO: 14101 RY 2019-09-28 0143 JH8KYU/1      599 25 DX  W0MB          599 04 MO
QSO: 14115 RY 2019-09-28 0146 JH8KYU/1      599 25 DX  JH4UTP        599 25 DX
QSO: 14115 RY 2019-09-28 0148 JH8KYU/1      599 25 DX  JR2PMT        599 25 DX
QSO: 14098 RY 2019-09-28 0158 JH8KYU/1      599 25 DX  RA0QD         599 19 DX
QSO: 14097 RY 2019-09-28 0159 JH8KYU/1      599 25 DX  R0CM          599 19 DX
QSO: 14093 RY 2019-09-28 0200 JH8KYU/1      599 25 DX  AC4CA         599 04 TX
QSO: 14093 RY 2019-09-28 0201 JH8KYU/1      599 25 DX  V31VP         599 07 DX
QSO: 14092 RY 2019-09-28 0203 JH8KYU/1      599 25 DX  BU2BE         599 24 DX
QSO: 14091 RY 2019-09-28 0204 JH8KYU/1      599 25 DX  N7GP          599 03 AZ
