START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: K8AJS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 94656
NAME: John Bastin
LOCATION: OH
OPERATORS: K8AJS
CLUB: Mad River Radio Club
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: QSL with W5MMW 2019-09-28 1909Z I know the zone is incorrect, but
SOAPBOX: that is what he sent, so that is what I logged.
QSO:  7044 RY 2019-09-28 0212 K8AJS         599 04 OH  W7VXS         599 03 WA
QSO:  7050 RY 2019-09-28 0216 K8AJS         599 04 OH  PZ5RA         599 09 DX
QSO:  7052 RY 2019-09-28 0217 K8AJS         599 04 OH  VA7ST         599 03 BC
QSO:  7053 RY 2019-09-28 0218 K8AJS         599 04 OH  AA2MF         599 05 FL
QSO:  7054 RY 2019-09-28 0221 K8AJS         599 04 OH  VA7KO         599 03 BC
QSO:  7058 RY 2019-09-28 0224 K8AJS         599 04 OH  NJ3I          599 05 PA
QSO:  7060 RY 2019-09-28 0226 K8AJS         599 04 OH  KB1W          599 05 MA
QSO:  7063 RY 2019-09-28 0228 K8AJS         599 04 OH  W0LSD         599 04 CO
QSO:  7066 RY 2019-09-28 0232 K8AJS         599 04 OH  AE4ED         599 04 AL
QSO:  7066 RY 2019-09-28 0233 K8AJS         599 04 OH  AA3B          599 05 PA
QSO:  7069 RY 2019-09-28 0234 K8AJS         599 04 OH  VE7IO         599 03 BC
QSO:  3580 RY 2019-09-28 0238 K8AJS         599 04 OH  AA3B          599 05 PA
QSO:  3577 RY 2019-09-28 0239 K8AJS         599 04 OH  NJ3I          599 05 PA
QSO:  3587 RY 2019-09-28 0241 K8AJS         599 04 OH  NW8S          599 04 OH
QSO:  3589 RY 2019-09-28 0243 K8AJS         599 04 OH  K5ZD          599 05 MA
QSO:  3589 RY 2019-09-28 0244 K8AJS         599 04 OH  N4YDU         599 05 NC
QSO:  3590 RY 2019-09-28 0246 K8AJS         599 04 OH  NY3B          599 05 PA
QSO:  3592 RY 2019-09-28 0248 K8AJS         599 04 OH  W3RGA         599 05 PA
QSO:  3584 RY 2019-09-28 1012 K8AJS         599 04 OH  K4RUM         599 05 NY
QSO:  3586 RY 2019-09-28 1013 K8AJS         599 04 OH  AA2MF         599 05 FL
QSO:  3589 RY 2019-09-28 1018 K8AJS         599 04 OH  N2WK          599 05 NY
QSO:  3591 RY 2019-09-28 1019 K8AJS         599 04 OH  NR4M          599 05 VA
QSO:  3594 RY 2019-09-28 1020 K8AJS         599 04 OH  K9CT          599 04 IL
QSO:  3594 RY 2019-09-28 1022 K8AJS         599 04 OH  N0BUI         599 04 MN
QSO:  3598 RY 2019-09-28 1025 K8AJS         599 04 OH  K1SFA         599 05 MA
QSO:  3583 RY 2019-09-28 1027 K8AJS         599 04 OH  VA3DF         599 04 ON
QSO:  3581 RY 2019-09-28 1030 K8AJS         599 04 OH  AB0RX         599 04 MO
QSO:  3582 RY 2019-09-28 1032 K8AJS         599 04 OH  WA1Z          599 05 NH
QSO:  3583 RY 2019-09-28 1032 K8AJS         599 04 OH  N3CKI         599 05 NC
QSO:  3590 RY 2019-09-28 1034 K8AJS         599 04 OH  W7WW          599 03 AZ
QSO:  3591 RY 2019-09-28 1037 K8AJS         599 04 OH  WB4YDY        599 04 TN
QSO:  3595 RY 2019-09-28 1038 K8AJS         599 04 OH  K4FJ          599 05 VA
