START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: W7GES
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 101574
NAME: George Skoubis
LOCATION: AZ
OPERATORS: W7GES
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: Made some QSO's from my new QTH. Getting the hardware/software bugs out.
QSO: 14082 RY 2019-09-28 0009 W7GES         599 03 AZ  K4JKB         599 05 VA
QSO: 14085 RY 2019-09-28 0011 W7GES         599 03 AZ  CR3DX         599 33 DX
QSO: 14085 RY 2019-09-28 0012 W7GES         599 03 AZ  NR4M          599 05 VA
QSO: 14085 RY 2019-09-28 0014 W7GES         599 03 AZ  W4EIS/5       599 04 TX
QSO: 14086 RY 2019-09-28 0016 W7GES         599 03 AZ  T43MY         599 08 DX
QSO: 14086 RY 2019-09-28 0017 W7GES         599 03 AZ  AA2MF         599 05 FL
QSO: 14087 RY 2019-09-28 0019 W7GES         599 03 AZ  P49X          599 09 DX
QSO: 14089 RY 2019-09-28 0020 W7GES         599 03 AZ  W0MB          599 04 MO
QSO: 14090 RY 2019-09-28 0023 W7GES         599 03 AZ  HC0T          599 10 DX
QSO: 14092 RY 2019-09-28 0025 W7GES         599 03 AZ  CE3DNP        599 12 DX
QSO: 14093 RY 2019-09-28 0026 W7GES         599 03 AZ  V31VP         599 07 DX
QSO: 14094 RY 2019-09-28 0028 W7GES         599 03 AZ  K4XL          599 05 VA
QSO: 14094 RY 2019-09-28 0031 W7GES         599 03 AZ  VE3NE         599 04 ON
QSO: 14095 RY 2019-09-28 0031 W7GES         599 03 AZ  W1QK          599 05 CT
QSO: 14096 RY 2019-09-28 0035 W7GES         599 03 AZ  HQ9X          599 07 DX
QSO: 14097 RY 2019-09-28 0037 W7GES         599 03 AZ  TI2OY         599 07 DX
QSO: 14098 RY 2019-09-28 0038 W7GES         599 03 AZ  LU7HN         599 13 DX
QSO: 14100 RY 2019-09-28 0042 W7GES         599 03 AZ  4U1WB         599 05 DC
QSO: 14102 RY 2019-09-28 0043 W7GES         599 03 AZ  NX0I          599 04 MO
QSO: 14103 RY 2019-09-28 0044 W7GES         599 03 AZ  ZZ2T          599 11 DX
QSO: 14104 RY 2019-09-28 0044 W7GES         599 03 AZ  WI9WI         599 04 WI
QSO: 14107 RY 2019-09-28 0048 W7GES         599 03 AZ  NT5V          599 04 TX
QSO: 14108 RY 2019-09-28 0050 W7GES         599 03 AZ  PY2NY         599 11 DX
QSO: 14108 RY 2019-09-28 0051 W7GES         599 03 AZ  AC4CA         599 04 TX
QSO: 14109 RY 2019-09-28 0052 W7GES         599 03 AZ  VA7ST         599 03 BC
QSO: 14110 RY 2019-09-28 0052 W7GES         599 03 AZ  NR4O          599 05 NC
QSO: 14111 RY 2019-09-28 0053 W7GES         599 03 AZ  KT7E          599 03 OR
QSO: 14079 RY 2019-09-28 0055 W7GES         599 03 AZ  K5CM          599 04 OK
QSO: 14080 RY 2019-09-28 0056 W7GES         599 03 AZ  WA1FCN        599 04 AL
QSO: 14084 RY 2019-09-28 0100 W7GES         599 03 AZ  CO2AME        599 08 DX
QSO: 14085 RY 2019-09-28 0101 W7GES         599 03 AZ  CO2WL         599 08 DX
QSO: 14088 RY 2019-09-28 0108 W7GES         599 03 AZ  K9CT          599 04 IL
QSO: 14088 RY 2019-09-28 0109 W7GES         599 03 AZ  K9CT          599 04 IL
QSO: 14093 RY 2019-09-28 0111 W7GES         599 03 AZ  YW1K          599 09 DX
QSO:  7082 RY 2019-09-28 1210 W7GES         599 03 AZ  K1SFA         599 05 MA
QSO:  7084 RY 2019-09-28 1213 W7GES         599 03 AZ  WM5DX         599 04 MS
QSO:  7070 RY 2019-09-28 1216 W7GES         599 03 AZ  N2PA          599 05 NY
QSO:  7067 RY 2019-09-28 1218 W7GES         599 03 AZ  K5WE          599 04 OK
QSO:  7035 RY 2019-09-28 1223 W7GES         599 03 AZ  JR4OZR        599 25 DX
QSO:  7038 RY 2019-09-28 1226 W7GES         599 03 AZ  P49X          599 09 DX
QSO:  7037 RY 2019-09-28 1229 W7GES         599 03 AZ  N7GP          599 03 AZ
QSO:  7039 RY 2019-09-28 1233 W7GES         599 03 AZ  YB4FIK        599 28 DX
QSO:  7041 RY 2019-09-28 1237 W7GES         599 03 AZ  YC8MJG        599 28 DX
QSO:  7044 RY 2019-09-28 1242 W7GES         599 03 AZ  N4ZZ          599 04 TN
QSO:  7045 RY 2019-09-28 1243 W7GES         599 03 AZ  NX0I          599 04 MO
QSO:  7046 RY 2019-09-28 1245 W7GES         599 03 AZ  YC6RMT        599 28 DX
QSO:  7048 RY 2019-09-28 1249 W7GES         599 03 AZ  AE4ED         599 04 AL
QSO:  7051 RY 2019-09-28 1252 W7GES         599 03 AZ  VK4BRT        599 30 DX
