START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: IK2HKT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IK2HKT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2009.
QSO: 21114 RY 2009-09-26 1338 IK2HKT        599 15 DX AA5AU         599 4 LA
QSO: 21108 RY 2009-09-26 1501 IK2HKT        599 15 DX ZX2B          599 11 DX
QSO: 21079 RY 2009-09-26 1510 IK2HKT        599 15 UT5UKY        599 16 DX
QSO: 21080 CW 2009-09-26 1515 IK2HKT        599 15 DX N9WKW         599 4 IN
QSO: 21107 RY 2009-09-26 1515 IK2HKT        599 15 DX IZ3GOM        599 15 DX
QSO: 21000 RY 2009-09-26 1517 IK2HKT        599 15 DX PY3KN         599 11 DX
QSO: 21107 RY 2009-09-26 1522 IK2HKT        599 15 DX K4GMH         599 05 VA
QSO: 21107 RY 2009-09-26 1525 IK2HKT        599 15 DX UT3RS         599 16 DX
QSO: 21000 RY 2009-09-26 1528 IK2HKT        599 15 DX IW2GRA        599 15 DX
QSO: 21000 RY 2009-09-26 1529 IK2HKT        599 15 DX CX9AU         599 13 DX
QSO: 21108 RY 2009-09-26 1532 IK2HKT        599 15 DX LT0H          599 13 DX
QSO: 21108 RY 2009-09-26 1534 IK2HKT        599 15 DX K4HAL         599 04 AL
QSO: 21080 RY 2009-09-26 1541 IK2HKT        599 15 CX4AAJ        599 13 DX
QSO: 21108 RY 2009-09-26 1543 IK2HKT        599 14 DX EA1EVS        599 14 DX
QSO: 21108 RY 2009-09-26 1545 IK2HKT        599 15 DX IK2SAI        599 15 DX
QSO: 21080 RY 2009-09-26 1546 IK2HKT        599 15 15 IK2BUF        599 15 DX
QSO: 14142 RY 2009-09-26 1555 IK2HKT        599 15 RK3ANL        599 16 DX
QSO: 14000 RY 2009-09-26 1556 IK2HKT        599 15 DX WA1EHK        599 05 CT
QSO: 14080 RY 2009-09-26 1559 IK2HKT        599 15 EU2MM         599 16 DX
QSO: 14142 RY 2009-09-26 1600 IK2HKT        599 15 DX W7MRC         599 03 WA
QSO: 14141 RY 2009-09-26 1603 IK2HKT        599 15 DX VE4EAR        599 04 MB
QSO: 14141 RY 2009-09-26 1604 IK2HKT        599 15 DX KT6YL         599 03 CA
QSO: 14142 RY 2009-09-26 1608 IK2HKT        599 15 DX W9WI          599 04 TN
QSO: 14000 RY 2009-09-26 1609 IK2HKT        599 15 DX KW3W          599 05 MD
QSO: 14070 RY 2009-09-26 1611 IK2HKT        599 15 EW8OF         599 16 DX
QSO: 14144 RY 2009-09-26 1613 IK2HKT        599 15 DX KI6DY         599 04 KS
QSO: 14080 RY 2009-09-26 1614 IK2HKT        599 15 YO5OHY        599 20 DX
QSO: 14142 RY 2009-09-26 1614 IK2HKT        599 15 DX NS9I          599 4 WI
QSO: 14144 RY 2009-09-26 1626 IK2HKT        599 15 DX WB0N          599 04 MN
QSO: 14143 RY 2009-09-26 1651 IK2HKT        599 15 DX K0JJ          599 3 OR
QSO: 14145 RY 2009-09-26 1653 IK2HKT        599 15 DX AA0AW         599 04 MN
QSO: 14080 RY 2009-09-26 1657 IK2HKT        599 15 DX EW7LE         599 16 DX
QSO: 14143 RY 2009-09-26 1659 IK2HKT        599 15 DX VE2LX         599 05 QC
QSO: 14142 RY 2009-09-26 1700 IK2HKT        599 15 DX UT4HZ         599 16 DX
QSO: 14143 RY 2009-09-26 1702 IK2HKT        599 15 DX K9YC          599 03 CA
QSO: 14143 RY 2009-09-26 1703 IK2HKT        599 15 DX EA7ELY        599 14 DX
QSO: 14143 RY 2009-09-26 1704 IK2HKT        599 15 DX VE7CC         599 03 BC
QSO: 14000 RY 2009-09-26 1705 IK2HKT        599 15 DX SP4TXI        599 15 DX
QSO: 14141 RY 2009-09-26 1705 IK2HKT        599 15 DX VE6EPK        599 04 AB
QSO: 14000 RY 2009-09-26 1707 IK2HKT        599 15 DX SP8NR         599 15 DX
QSO: 14000 RY 2009-09-26 1708 IK2HKT        599 15 DX KB3LIX        599 05 PA
QSO: 14141 RY 2009-09-26 1708 IK2HKT        599 15 DX K7RE          599 04 SD
QSO: 14142 RY 2009-09-26 1708 IK2HKT        599 15 UA3DCW        599 16 DX
QSO: 14143 RY 2009-09-26 1718 IK2HKT        599 15 DX N8BJQ         599 04 OH
QSO: 14000 RY 2009-09-26 1721 IK2HKT        599 15 DX RX6LD         599 16 DX
QSO: 14143 RY 2009-09-26 1724 IK2HKT        599 15 DX K3IU          599 05 RI
QSO: 14143 RY 2009-09-26 1725 IK2HKT        599 15 DX W3FV          599 05 PA
QSO: 14143 RY 2009-09-26 1727 IK2HKT        599 15 DX N4IG          599 05 FL
QSO: 14143 RY 2009-09-26 1730 IK2HKT        599 15 DX PR7AR         599 11 DX
QSO: 14143 RY 2009-09-26 1731 IK2HKT        599 15 DX K6MM          599 03 CA
QSO: 14143 RY 2009-09-26 1731 IK2HKT        599 15 DX UA4FCO        599 16 DX
QSO: 14145 RY 2009-09-26 1732 IK2HKT        599 15 DX N7NM          599 3 WA
QSO: 14145 RY 2009-09-26 1733 IK2HKT        599 15 DX N3CHX         599 05 PA
QSO: 14143 RY 2009-09-26 1734 IK2HKT        599 15 DX VE6YR         599 04 AB
