START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: DL9GFB
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL9GFB
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2009.
QSO: 21080 RY 2009-09-26 1134 DL9GFB        599 14 YT2B          599 15 DX
QSO: 21076 RY 2009-09-26 1136 DL9GFB        599 14 RA9SC         599 16 DX
QSO: 21000 RY 2009-09-26 1143 DL9GFB        599 14 DX UY7MM         599 16 DX
QSO: 21103 RY 2009-09-26 1148 DL9GFB        599 14 DX RX9SA         599 16 DX
QSO: 21000 RY 2009-09-26 1150 DL9GFB        599 14 DX Z37M          599 15 DX
QSO: 21088 RY 2009-09-26 1204 DL9GFB        599 14 DX ZC4LI         599 20 DX
QSO: 21085 RY 2009-09-26 1210 DL9GFB        599 14 DX US0MM         599 16 DX
QSO: 21086 RY 2009-09-26 1212 DL9GFB        599 14 DX N4BP          599 05 FL
QSO: 21000 RY 2009-09-26 1217 DL9GFB        599 14 DX SV9CVY        599 20 DX
QSO: 21095 RY 2009-09-26 1218 DL9GFB        599 14 DX EF8M          599 33 DX
QSO: 21089 RY 2009-09-26 1221 DL9GFB        599 14 DX LZ8E          599 20 DX
QSO: 21080 RY 2009-09-26 1229 DL9GFB        599 14 CX4AAJ        599 13 DX
QSO: 21077 RY 2009-09-26 1233 DL9GFB        599 14 DX OL3Z          599 15 DX
QSO: 21078 RY 2009-09-26 1237 DL9GFB        599 14 DX PY2NY         599 11 DX
