START-OF-LOG: 3.0
CALLSIGN: ER1PL
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 12920
CONTEST: EA-MAJESTAD-SSB
CREATED-BY: Contest LogChecker v5.1 [www.contestlogchecker.com]
LOCATION: DX
NAME: Lilian Putina
GRID-LOCATOR: KN46DW
OPERATORS: ER1PL
SOAPBOX: First time to this contest. Setup Yaesu FT-891 and homebrew
SOAPBOX: Hexbeam antenna
QSO: 14310 PH 2025-06-28 1203 ER1PL         59  001    CT7BOD        59  005 
QSO: 14305 PH 2025-06-28 1204 ER1PL         59  002    EA8CZX        59  GC  
QSO: 14258 PH 2025-06-28 1209 ER1PL         59  003    ED8W          59  TF  
QSO: 14145 PH 2025-06-28 1213 ER1PL         59  004    EA3FP         59  B   
QSO: 14163 PH 2025-06-28 1214 ER1PL         59  005    3V8LL         59  16  
QSO: 14219 PH 2025-06-28 1217 ER1PL         59  006    LY2SA         59  16  
QSO: 14301 PH 2025-06-28 1221 ER1PL         59  007    ON5GM         59  14  
QSO: 14207 PH 2025-06-28 1228 ER1PL         59  008    S52OT         59  19  
QSO: 14268 PH 2025-06-28 1237 ER1PL         59  009    EA4II         59  GU  
QSO: 14240 PH 2025-06-28 1238 ER1PL         59  010    ED5U          59  V   
QSO: 14200 PH 2025-06-28 1240 ER1PL         59  011    P3X           59  59  
QSO: 14236 PH 2025-06-28 1242 ER1PL         59  012    IK6LBT        59  13  
QSO: 14262 PH 2025-06-28 1243 ER1PL         59  013    ED1R          59  AV  
QSO: 14299 PH 2025-06-28 1245 ER1PL         59  014    IT9OPR        59  6   
QSO: 14302 PH 2025-06-28 1246 ER1PL         59  015    DR2T          59  49  
QSO: 14319 PH 2025-06-28 1248 ER1PL         59  016    IK1RGK        59  40  
QSO: 14294 PH 2025-06-28 1249 ER1PL         59  017    OH1NA         59  24  
QSO: 21226 PH 2025-06-28 1253 ER1PL         59  018    DK8ZB         59  27  
QSO: 21280 PH 2025-06-28 1255 ER1PL         59  019    EA7KI         59  MA  
QSO: 21200 PH 2025-06-28 1303 ER1PL         59  020    EA7ITL        59  CA  
QSO: 21289 PH 2025-06-28 1304 ER1PL         59  021    EA7IYF        59  AL  
QSO: 28485 PH 2025-06-28 1308 ER1PL         59  022    LY2AX         59  36  
QSO: 21215 PH 2025-06-28 1310 ER1PL         59  023    D4M           59  58  
QSO: 21235 PH 2025-06-28 1312 ER1PL         59  024    YL1ZM         59  65  
QSO: 14235 PH 2025-06-28 1324 ER1PL         59  025    I4XNN         59  46  
QSO: 21226 PH 2025-06-28 1328 ER1PL         59  026    DR2T          59  116 
