START-OF-LOG: 3.0
CONTEST: ARRL-DX-SSB
CALLSIGN: KA8HDE
LOCATION: MN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: LIMITED
OPERATORS: KA8HDE
CLUB: Minnesota Wireless Assn
CREATED-BY: N3FJP'S ARRL INTERNATIONAL DX CONTEST LOG 5.1.7
HQ-CATEGORY: Single Operator Unlimited, Low Power
HQ-GRID-LOCATOR: EN35HF
QSO: 21331 PH 2025-03-01 0001 KA8HDE 59 MN ZF1A 59 K
QSO: 21280 PH 2025-03-01 0018 KA8HDE 59 MN PX2A 59 K
QSO: 21304 PH 2025-03-01 0020 KA8HDE 59 MN J62K 59 K
QSO: 21325 PH 2025-03-01 0027 KA8HDE 59 MN PJ2T 59 K
QSO: 21373 PH 2025-03-01 0032 KA8HDE 59 MN NP2X 59 K
QSO: 21387 PH 2025-03-01 0034 KA8HDE 59 MN 8P5A 59 K
QSO: 14205 PH 2025-03-01 0038 KA8HDE 59 MN TI7W 59 K
QSO: 14212 PH 2025-03-01 0041 KA8HDE 59 MN HI3T 59 99
QSO: 14237 PH 2025-03-01 0048 KA8HDE 59 MN PJ2T 59 K
QSO: 21412 PH 2025-03-01 1401 KA8HDE 59 MN J75A 59 K
QSO: 21421 PH 2025-03-01 1402 KA8HDE 59 MN V31MA 59 K
QSO: 21313 PH 2025-03-01 1412 KA8HDE 59 MN PJ4G 59 K
QSO: 21286 PH 2025-03-01 1415 KA8HDE 59 MN TI5VMJ 59 K
QSO: 21204 PH 2025-03-01 1418 KA8HDE 59 MN ED8W 59 K
QSO: 28330 PH 2025-03-01 1420 KA8HDE 59 MN PJ2T 59 K
QSO: 28340 PH 2025-03-01 1422 KA8HDE 59 MN KP2B 59 100
QSO: 28365 PH 2025-03-01 1426 KA8HDE 59 MN PJ4G 59 K
QSO: 28476 PH 2025-03-01 1434 KA8HDE 59 MN J62K 59 K
QSO: 28484 PH 2025-03-01 1435 KA8HDE 59 MN PT5J 59 K
QSO: 28314 PH 2025-03-01 2310 KA8HDE 59 MN PY2EX 59 100 0
QSO: 28507 PH 2025-03-01 2322 KA8HDE 59 MN HC8M 59 K 0
QSO: 21243 PH 2025-03-01 2332 KA8HDE 59 MN HK1T 59 K 0
QSO: 21402 PH 2025-03-02 0009 KA8HDE 59 MN KP2M 59 K 0
QSO: 14343 PH 2025-03-02 0011 KA8HDE 59 MN RL3A 59 K 0
QSO: 14339 PH 2025-03-02 0012 KA8HDE 59 MN 8P5A 59 K 0
QSO: 14334 PH 2025-03-02 0013 KA8HDE 59 MN KP3J 59 K 0
QSO: 14329 PH 2025-03-02 0014 KA8HDE 59 MN P49Y 59 K 0
QSO: 14324 PH 2025-03-02 0014 KA8HDE 59 MN CR3Z 59 K 0
QSO: 14319 PH 2025-03-02 0015 KA8HDE 59 MN TO4A 59 K 0
QSO: 14275 PH 2025-03-02 0022 KA8HDE 59 MN HK1T 59 K 0
QSO: 14272 PH 2025-03-02 0022 KA8HDE 59 MN HC8M 59 K 0
QSO: 14260 PH 2025-03-02 0024 KA8HDE 59 MN CR6K 59 K 0
QSO: 14185 PH 2025-03-02 0030 KA8HDE 59 MN ED8W 59 K 0
QSO: 14166 PH 2025-03-02 0033 KA8HDE 59 MN VP5M 59 100 0
QSO: 14316 PH 2025-03-02 0044 KA8HDE 59 MN KP4PR 59 500 0
QSO: 21380 PH 2025-03-02 0057 KA8HDE 59 MN NP4DX 59 100 0
QSO: 21311 PH 2025-03-02 0100 KA8HDE 59 MN KH6J 59 K 0
QSO: 21300 PH 2025-03-02 0102 KA8HDE 59 MN WH7T 59 K 0
QSO: 14307 PH 2025-03-02 0126 KA8HDE 59 MN PJ4G 59 K 0
QSO: 7175 PH 2025-03-02 1237 KA8HDE 59 MN WH7T 59 K 0
QSO: 14282 PH 2025-03-02 1252 KA8HDE 59 MN J62K 59 K 0
QSO: 14236 PH 2025-03-02 1257 KA8HDE 59 MN RT8U 59 K 0
QSO: 14192 PH 2025-03-02 1300 KA8HDE 59 MN CO2XN 59 K 0
QSO: 14201 PH 2025-03-02 1302 KA8HDE 59 MN TI2OY 59 100 0
QSO: 14224 PH 2025-03-02 1304 KA8HDE 59 MN YV5WL 59 100 0
QSO: 21217 PH 2025-03-02 1314 KA8HDE 59 MN OM4MM 59 K 0
QSO: 14309 PH 2025-03-02 1334 KA8HDE 59 MN V31MA 59 K 0
QSO: 28315 PH 2025-03-02 1640 KA8HDE 59 MN 9A3TR 59 KW 0
QSO: 28331 PH 2025-03-02 1643 KA8HDE 59 MN OL9Z 59 KW 0
QSO: 28338 PH 2025-03-02 1645 KA8HDE 59 MN F5NBX 59 200 0
QSO: 28358 PH 2025-03-02 1648 KA8HDE 59 MN HA5JI 59 KW 0
QSO: 28370 PH 2025-03-02 1649 KA8HDE 59 MN OK1MV 59 KW 0
QSO: 28380 PH 2025-03-02 1650 KA8HDE 59 MN F4GGQ 59 KW 0
QSO: 28386 PH 2025-03-02 1651 KA8HDE 59 MN 4A7S 59 K 0
QSO: 28402 PH 2025-03-02 1657 KA8HDE 59 MN EI3JZ 59 KW 0
QSO: 28361 PH 2025-03-02 1701 KA8HDE 59 MN IP4X 59 500 0
QSO: 28368 PH 2025-03-02 1704 KA8HDE 59 MN DJ5MW 59 K 0
QSO: 28415 PH 2025-03-02 1707 KA8HDE 59 MN OT4A 59 K 0
QSO: 28433 PH 2025-03-02 1708 KA8HDE 59 MN D4K 59 K 0
QSO: 28444 PH 2025-03-02 1710 KA8HDE 59 MN TM1C 59 KW 0
QSO: 28454 PH 2025-03-02 1711 KA8HDE 59 MN CQ8M 59 KW 0
QSO: 28465 PH 2025-03-02 1711 KA8HDE 59 MN TM0T 59 KW 0
QSO: 28521 PH 2025-03-02 1715 KA8HDE 59 MN CR3DX 59 K 0
QSO: 28604 PH 2025-03-02 1718 KA8HDE 59 MN EC5K 59 K 0
QSO: 28660 PH 2025-03-02 1723 KA8HDE 59 MN TM1K 59 K 0
QSO: 28730 PH 2025-03-02 1725 KA8HDE 59 MN DA0T 59 KW 0
QSO: 28844 PH 2025-03-02 1728 KA8HDE 59 MN II2C 59 500 0
QSO: 28873 PH 2025-03-02 1729 KA8HDE 59 MN DD2ML 59 KW 0
QSO: 28906 PH 2025-03-02 1731 KA8HDE 59 MN MW8R 59 KW 0
QSO: 28965 PH 2025-03-02 1734 KA8HDE 59 MN F6HRP 59 100 0
END-OF-LOG:
