START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-CW
CALLSIGN: EV1R
OPERATORS: EV1R
CATEGORY: B3
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 40M
CATEGORY-MODE: CW
CLAIMED-SCORE: 74256
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian CW Contest 2021.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2021-12-18&ID=EV1R
SOAPBOX: Source category label: 40M.
SOAPBOX: Published QSO count: 516.
QSO: 07036 CW 2021-12-18 1406 EV1R          599 0001       ZL1IF         599 0001 OC   
QSO: 07035 CW 2021-12-18 1407 EV1R          599 0002       DF5EG         599 0006 EU   
QSO: 07035 CW 2021-12-18 1408 EV1R          599 0003       OM3CAZ        599 0007 EU   
QSO: 07035 CW 2021-12-18 1409 EV1R          599 0004       US7IY         599 0013 EU   
QSO: 07035 CW 2021-12-18 1411 EV1R          599 0005       SP2MKI        599 0014 EU   
QSO: 07035 CW 2021-12-18 1411 EV1R          599 0006       IK2WXQ        599 0006 EU   
QSO: 07035 CW 2021-12-18 1411 EV1R          599 0007       YP5A          599 0016 EU   
QSO: 07017 CW 2021-12-18 1414 EV1R          599 0008       9A5D          599 0028 EU   
QSO: 07035 CW 2021-12-18 1414 EV1R          599 0009       9A2KI         599 0007 EU   
QSO: 07013 CW 2021-12-18 1415 EV1R          599 0010       9A4WY         599 0033 EU   
QSO: 07030 CW 2021-12-18 1416 EV1R          599 0011       9A1AA         599 0005 EU   
QSO: 07029 CW 2021-12-18 1416 EV1R          599 0012       9A3YT         599 0019 EU   
QSO: 07028 CW 2021-12-18 1417 EV1R          599 0013       9A1E          599 0021 EU   
QSO: 07018 CW 2021-12-18 1417 EV1R          599 0014       4U9A          599 0011 EU   
QSO: 07015 CW 2021-12-18 1418 EV1R          599 0015       SP7JLH        599 0012 EU   
QSO: 07016 CW 2021-12-18 1418 EV1R          599 0016       YO4NF         599 0032 EU   
