START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: DK6IM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DK6IM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2018.
QSO: 14078 RY 2018-09-29 1004 DK6IM         599 14 DX A44A          599 21 DX
QSO: 14077 RY 2018-09-29 1007 DK6IM         599 14 DX IZ0PMV        599 15 DX
QSO: 14078 RY 2018-09-29 1009 DK6IM         599 14 DX EA4BAS        599 14 DX
QSO: 21080 RY 2018-09-29 1031 DK6IM         599 14 DX CR3W          599 33 DX
QSO: 21000 RY 2018-09-29 1035 DK6IM         599 14 DX EA8DED        599 33 DX
QSO: 21086 RY 2018-09-29 1042 DK6IM         599 14 DX EF8U          599 33 DX
QSO: 21090 RY 2018-09-29 1048 DK6IM         599 14 DX CR3DX         599 33 DX
QSO: 21090 RY 2018-09-29 1049 DK6IM         599 14 DX PY2XV         599 11 DX
QSO: 21093 RY 2018-09-29 1051 DK6IM         599 14 DX RT9S          599 16 DX
QSO: 21096 RY 2018-09-29 1051 DK6IM         599 14 DX EA8PT         599 33 DX
QSO: 21098 RY 2018-09-29 1055 DK6IM         599 14 DX ZX2B          599 11 DX
QSO: 14080 RY 2018-09-29 1107 DK6IM         599 14 DX RK3PWR        599 16 DX
QSO: 14137 RY 2018-09-29 1111 DK6IM         599 14 DX CR3W          599 33 DX
QSO: 14147 RY 2018-09-29 1855 DK6IM         599 14 DX N1IXF         599 05 CT
QSO: 14139 RY 2018-09-29 1904 DK6IM         599 14 DX N3QE          599 5 MD
QSO: 14140 RY 2018-09-29 1905 DK6IM         599 14 DX N2BJ          599 04 IL
QSO: 14148 RY 2018-09-29 1906 DK6IM         599 14 DX VC3S          599 04 ON
QSO: 14132 RY 2018-09-29 1911 DK6IM         599 14 DX VE3DZ         599 04 ON
QSO: 14126 RY 2018-09-29 1919 DK6IM         599 14 DX W0IW          599 04 IA
QSO: 14122 RY 2018-09-29 1921 DK6IM         599 14 DX K1SFA         599 05 MA
QSO: 14118 RY 2018-09-29 1922 DK6IM         599 14 DX N0NI          599 04 IA
QSO: 14112 RY 2018-09-29 1926 DK6IM         599 14 DX W9IU          599 4 IN
QSO: 14108 RY 2018-09-29 1928 DK6IM         599 14 DX VE2ZT         599 05 QC
QSO: 14106 RY 2018-09-29 1932 DK6IM         599 14 DX N8OO          599 04 LA
QSO: 14103 RY 2018-09-29 1936 DK6IM         599 14 DX AA3B          599 05 PA
