START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: YB2ECG
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: oi52fx
CLAIMED-SCORE: 1372
NAME: SARDJANA
OPERATORS: YB2ECG
CLUB: YB LAND DX CLUB
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: Just trying my homebrew ZS6BKW, EFHW and Rotary Dipole
QSO:  7125 PH 2019-10-26 0022 YB2ECG        59  28     YB9ATS        59  28
QSO:  7130 PH 2019-10-26 0024 YB2ECG        59  28     9M2TDX        59  28
QSO:  7150 PH 2019-10-26 0026 YB2ECG        59  28     YB4KRZ        59  28
QSO:  7160 PH 2019-10-26 0027 YB2ECG        59  28     YD2ELT        59  28
QSO:  7000 PH 2019-10-26 0039 YB2ECG        59  28     YC7IZJ        59  28
QSO:  7000 PH 2019-10-26 0047 YB2ECG        59  28     YC2HFG        59  28
QSO: 21000 PH 2019-10-26 0050 YB2ECG        59  28     YB2IQ         59  28
QSO: 21000 PH 2019-10-26 0057 YB2ECG        59  28     KH6KR         59  31
QSO: 21000 PH 2019-10-26 0107 YB2ECG        59  28     KH7M          59  31
QSO: 21000 PH 2019-10-26 0117 YB2ECG        59  28     JR6YTX        59  25
QSO: 14000 PH 2019-10-26 0127 YB2ECG        59  28     JA3YBK        59  25
QSO: 14000 PH 2019-10-26 0130 YB2ECG        59  28     4F9KA         59  27
QSO:  7000 PH 2019-10-26 0147 YB2ECG        59  28     YB2CAA        59  28
QSO:  7000 PH 2019-10-26 0148 YB2ECG        59  28     YD2DOP        59  28
QSO: 14000 PH 2019-10-26 0203 YB2ECG        59  28     XU7AMO        59  26
QSO:  7000 PH 2019-10-26 0208 YB2ECG        59  28     YD0OFR        59  28
QSO:  7000 PH 2019-10-26 0209 YB2ECG        59  28     YB1LRG        59  28
QSO:  7000 PH 2019-10-26 0210 YB2ECG        59  28     YF3CZW        59  28
QSO:  7000 PH 2019-10-26 0211 YB2ECG        59  28     YB0FYA        59  28
QSO:  7000 PH 2019-10-26 1121 YB2ECG        59  28     JA7ZFN        59  25
QSO:  7000 PH 2019-10-26 1123 YB2ECG        59  28     XU7AMO        59  26
QSO:  7000 PH 2019-10-26 1124 YB2ECG        59  28     YC7YGR        59  28
QSO:  7000 PH 2019-10-26 1125 YB2ECG        59  28     YD0AIR        59  28
QSO:  7000 PH 2019-10-26 1127 YB2ECG        59  28     7A2A          59  28
QSO:  7000 PH 2019-10-26 1130 YB2ECG        59  28     4F9AM         59  27
QSO:  7000 PH 2019-10-26 1130 YB2ECG        59  28     YB1DMK        59  28
QSO:  7000 PH 2019-10-26 1131 YB2ECG        59  28     9V1YC         59  28
QSO:  7000 PH 2019-10-26 1133 YB2ECG        59  28     JA7NVF        59  25
QSO:  7000 PH 2019-10-26 1138 YB2ECG        59  28     YB1DO         59  28
QSO:  7000 PH 2019-10-26 1140 YB2ECG        59  28     9M8DEN        59  28
QSO:  7000 PH 2019-10-26 1141 YB2ECG        59  28     YC7UBK        59  28
QSO:  7000 PH 2019-10-26 1142 YB2ECG        59  28     9W2AJA        59  28
QSO:  7000 PH 2019-10-26 1145 YB2ECG        59  28     YB9IPY        59  28
QSO:  7000 PH 2019-10-26 1145 YB2ECG        59  28     YD7HPF        59  28
QSO:  7000 PH 2019-10-26 1148 YB2ECG        59  28     YD2KJC        59  28
QSO:  7000 PH 2019-10-26 1150 YB2ECG        59  28     YC7DDU        59  28
QSO:  7000 PH 2019-10-26 1151 YB2ECG        59  28     YD7DHF        59  28
QSO:  7000 PH 2019-10-26 1151 YB2ECG        59  28     YD7BEB        59  28
QSO:  7000 PH 2019-10-26 1153 YB2ECG        59  28     DX1EVM        59  27
QSO:  7000 PH 2019-10-26 1154 YB2ECG        59  28     YG9EFH        59  28
QSO:  7000 PH 2019-10-26 1156 YB2ECG        59  28     VK6DW         59  29
QSO:  7000 PH 2019-10-26 1158 YB2ECG        59  28     4I1LCP        59  27
QSO:  7000 PH 2019-10-26 1159 YB2ECG        59  28     9M4CRP        59  28
QSO:  7000 PH 2019-10-26 1204 YB2ECG        59  28     N7GP          59  03
QSO:  7000 PH 2019-10-26 1206 YB2ECG        59  28     YD1TJJ        59  28
QSO:  7000 PH 2019-10-26 1206 YB2ECG        59  28     YC2EEE        59  28
QSO:  7000 PH 2019-10-26 1207 YB2ECG        59  28     YB1DUU        59  28
QSO:  7000 PH 2019-10-26 1257 YB2ECG        59  28     YB2IQ         59  28
QSO:  7000 PH 2019-10-26 1302 YB2ECG        59  28     AC4CA         59  04
QSO:  7000 PH 2019-10-26 1305 YB2ECG        59  28     YB1IM         59  28
QSO:  7000 PH 2019-10-26 1306 YB2ECG        59  28     YC7DDW        59  28
QSO:  7000 PH 2019-10-26 1307 YB2ECG        59  28     9W2KHM        59  28
QSO:  7000 PH 2019-10-26 1308 YB2ECG        59  28     YC2FTC        59  28
QSO:  7000 PH 2019-10-26 1308 YB2ECG        59  28     YD1JZK        59  28
QSO:  7000 PH 2019-10-26 1318 YB2ECG        59  28     9W8CCF        59  28
QSO:  7150 PH 2019-10-27 0935 YB2ECG        59  28     NO6T          59  03
QSO:  7186 PH 2019-10-27 0949 YB2ECG        59  28     YE7SPN        59  28
END-OF-LOG:
