START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: F4EIH
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JN05NL
CLAIMED-SCORE: 93808
NAME: Sebastien
OPERATORS: F4EIH
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: First cq ww SSB contest with y new antenna
QSO: 14000 PH 2019-10-26 0117 F4EIH         59  14     S53K          59  15
QSO: 14000 PH 2019-10-26 0119 F4EIH         59  14     HG3N          59  15
QSO: 14222 PH 2019-10-26 0123 F4EIH         59  14     CN3A          59  33
QSO: 14217 PH 2019-10-26 0133 F4EIH         59  14     DL2ARD        59  14
QSO: 14240 PH 2019-10-26 0134 F4EIH         59  14     DK3T          59  14
QSO: 14276 PH 2019-10-26 0135 F4EIH         59  14     TM4L          59  14
QSO: 14282 PH 2019-10-26 0136 F4EIH         59  14     OK7K          59  15
QSO: 14295 PH 2019-10-26 0137 F4EIH         59  14     OL0M          59  15
QSO:  7072 PH 2019-10-26 0138 F4EIH         59  14     CR3DX         59  33
QSO:  7085 PH 2019-10-26 0139 F4EIH         59  14     TI7W          59  07
QSO:  7114 PH 2019-10-26 0142 F4EIH         59  14     R2AA          59  16
QSO:  7120 PH 2019-10-26 0144 F4EIH         59  14     A44A          59  21
QSO:  7167 PH 2019-10-26 0147 F4EIH         59  14     EF8R          59  33
QSO:  7080 PH 2019-10-26 0152 F4EIH         59  14     RA7A          59  16
QSO:  7103 PH 2019-10-26 0153 F4EIH         59  14     SV2CLJ        59  20
QSO:  7118 PH 2019-10-26 0154 F4EIH         59  14     V26B          59  08
QSO:  7060 PH 2019-10-26 0216 F4EIH         59  14     OH6K          59  15
QSO:  7063 PH 2019-10-26 0219 F4EIH         59  14     8P5A          59  08
QSO:  7074 PH 2019-10-26 0220 F4EIH         59  14     EU1WW         59  16
QSO:  7094 PH 2019-10-26 0221 F4EIH         59  14     4X2M          59  20
QSO:  7146 PH 2019-10-26 0225 F4EIH         59  14     RU1A          59  16
QSO: 14238 PH 2019-10-26 0354 F4EIH         59  14     9A9A          59  15
QSO: 14255 PH 2019-10-26 0356 F4EIH         59  14     HA8A          59  15
QSO:  7085 PH 2019-10-26 0412 F4EIH         59  14     V47T          59  08
QSO: 14260 PH 2019-10-26 0425 F4EIH         59  14     S51YI         59  15
QSO:  7053 PH 2019-10-26 0428 F4EIH         59  14     PJ4K          59  09
QSO:  7060 PH 2019-10-26 0430 F4EIH         59  14     LZ60KAA       59  20
QSO:  7062 PH 2019-10-26 0431 F4EIH         59  14     ZW5B          59  11
QSO:  7070 PH 2019-10-26 0502 F4EIH         59  14     UA4M          59  16
QSO: 14219 PH 2019-10-26 0526 F4EIH         59  14     TC2MK         59  20
QSO: 14243 PH 2019-10-26 0528 F4EIH         59  14     US1I          59  16
QSO: 14266 PH 2019-10-26 0530 F4EIH         59  14     A44A          59  21
QSO: 14270 PH 2019-10-26 0531 F4EIH         59  14     TC4A          59  20
QSO: 14333 PH 2019-10-26 0532 F4EIH         59  14     RG5A          59  16
QSO: 14138 PH 2019-10-26 0534 F4EIH         59  14     RZ3Z          59  16
QSO: 14144 PH 2019-10-26 0535 F4EIH         59  14     HZ1LG         59  21
QSO: 14189 PH 2019-10-26 0539 F4EIH         59  14     P33W          59  20
QSO: 14159 PH 2019-10-26 0635 F4EIH         59  14     LZ2JA         59  20
QSO: 14162 PH 2019-10-26 0635 F4EIH         59  14     UY3U          59  16
QSO: 14175 PH 2019-10-26 0637 F4EIH         59  14     YT5A          59  15
QSO: 14182 PH 2019-10-26 0638 F4EIH         59  14     RK9AX         59  17
QSO: 14186 PH 2019-10-26 0639 F4EIH         59  14     IO9R          59  15
QSO: 14203 PH 2019-10-26 0647 F4EIH         59  14     YT1A          59  15
QSO: 14207 PH 2019-10-26 0647 F4EIH         59  14     4L8A          59  21
QSO: 14213 PH 2019-10-26 0648 F4EIH         59  14     SV3FUP        59  20
QSO: 14254 PH 2019-10-26 0650 F4EIH         59  14     UB7K          59  16
QSO: 14260 PH 2019-10-26 0651 F4EIH         59  14     Z30A          59  15
QSO: 14274 PH 2019-10-26 0652 F4EIH         59  14     II8M          59  15
QSO: 14280 PH 2019-10-26 0653 F4EIH         59  14     A73A          59  21
QSO: 14283 PH 2019-10-26 0654 F4EIH         59  14     TC3A          59  20
QSO: 14292 PH 2019-10-26 0654 F4EIH         59  14     LZ9W          59  20
QSO: 14310 PH 2019-10-26 0655 F4EIH         59  14     YR8D          59  20
QSO: 14317 PH 2019-10-26 0702 F4EIH         59  14     JH4UYB        59  25
QSO: 14134 PH 2019-10-26 0710 F4EIH         59  14     RA7A          59  16
QSO: 14140 PH 2019-10-26 0712 F4EIH         59  14     RU9CC         59  17
QSO: 14144 PH 2019-10-26 0713 F4EIH         59  14     IT9BDM        59  15
QSO: 14136 PH 2019-10-26 0724 F4EIH         59  14     RM4HZ         59  16
QSO: 14151 PH 2019-10-26 0725 F4EIH         59  14     RJ4P          59  16
QSO: 14181 PH 2019-10-26 0729 F4EIH         59  14     RK4W          59  16
QSO: 14235 PH 2019-10-26 0732 F4EIH         59  14     R2AA          59  16
QSO: 14247 PH 2019-10-26 0735 F4EIH         59  14     RM9I          59  18
QSO: 14250 PH 2019-10-26 0736 F4EIH         59  14     UP2L          59  17
QSO: 14272 PH 2019-10-26 0740 F4EIH         59  14     OH5Z          59  15
QSO: 21326 PH 2019-10-26 0750 F4EIH         59  14     V55A          59  38
QSO: 21355 PH 2019-10-26 0752 F4EIH         59  14     ZS6TVB        59  38
QSO: 14156 PH 2019-10-26 0813 F4EIH         59  14     RA3XM         59  16
QSO: 14164 PH 2019-10-26 0814 F4EIH         59  14     OH1F          59  15
QSO: 14179 PH 2019-10-26 0816 F4EIH         59  14     OH0W          59  15
QSO: 14182 PH 2019-10-26 0817 F4EIH         59  14     UW5U          59  16
QSO: 14184 PH 2019-10-26 0817 F4EIH         59  14     RW0A          59  18
QSO: 14196 PH 2019-10-26 0819 F4EIH         59  14     YU7GMN        59  15
QSO: 14202 PH 2019-10-26 0820 F4EIH         59  14     UW5ZM         59  16
QSO: 14207 PH 2019-10-26 0822 F4EIH         59  14     TA7OM         59  20
QSO: 14208 PH 2019-10-26 0823 F4EIH         59  14     SQ4KJQ        59  15
QSO: 14218 PH 2019-10-26 0824 F4EIH         59  14     YP8VS         59  20
QSO: 14220 PH 2019-10-26 0827 F4EIH         59  14     US5D          59  16
QSO: 14241 PH 2019-10-26 0829 F4EIH         59  14     OH0V          59  15
QSO: 14255 PH 2019-10-26 0830 F4EIH         59  14     RL3A          59  16
QSO: 14258 PH 2019-10-26 0831 F4EIH         59  14     OM0M          59  15
QSO: 14263 PH 2019-10-26 0832 F4EIH         59  14     UY4W          59  16
QSO: 14270 PH 2019-10-26 0834 F4EIH         59  14     ES6RW         59  15
QSO: 14272 PH 2019-10-26 0834 F4EIH         59  14     UY5ZZ         59  16
QSO: 14280 PH 2019-10-26 0836 F4EIH         59  14     JE6RPM        59  25
QSO: 14281 PH 2019-10-26 0836 F4EIH         59  14     RW3XZ         59  16
QSO: 14283 PH 2019-10-26 0837 F4EIH         59  14     OH8X          59  15
QSO: 14285 PH 2019-10-26 0838 F4EIH         59  14     IT9XTP        59  15
QSO: 14302 PH 2019-10-26 0843 F4EIH         59  14     EU1A          59  16
QSO: 14304 PH 2019-10-26 0844 F4EIH         59  14     LY9Y          59  15
QSO: 21229 PH 2019-10-26 0846 F4EIH         59  14     JR6YTX        59  25
QSO: 14322 PH 2019-10-26 0849 F4EIH         59  14     D4C           59  35
QSO: 14327 PH 2019-10-26 0850 F4EIH         59  14     PR4T          59  11
QSO: 14350 PH 2019-10-26 0853 F4EIH         59  14     ZY2A          59  11
QSO: 14109 PH 2019-10-26 0855 F4EIH         59  14     CR2L          59  14
QSO: 14112 PH 2019-10-26 0856 F4EIH         59  14     LY5XX         59  15
QSO: 14123 PH 2019-10-26 0857 F4EIH         59  14     PS2T          59  11
QSO: 14126 PH 2019-10-26 0858 F4EIH         59  14     EA7KB         59  14
QSO: 14133 PH 2019-10-26 0859 F4EIH         59  14     IS0GRB        59  15
QSO: 14135 PH 2019-10-26 0900 F4EIH         59  14     LY2MM         59  15
QSO: 14140 PH 2019-10-26 0902 F4EIH         59  14     CR3DX         59  33
QSO: 14150 PH 2019-10-26 0903 F4EIH         59  14     R5AJ          59  16
QSO: 14190 PH 2019-10-26 0914 F4EIH         59  14     ED9E          59  33
