START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: YG3EOQ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
GRID-LOCATOR:
CLAIMED-SCORE: 90
NAME: NASRUDIN ZUHDI
OPERATORS: YG3EOQ
CLUB: ORARI LOKAL KEDIRI
CREATED-BY: N1MM Logger+ 1.0.7610.0
SOAPBOX: WE ARE MEMBER OF YB3ZBD, CLUB STATION ORARI LOKAL KEDIRI
QSO:  7000 PH 2019-10-26 1324 YG3EOQ        59  28     YB4KRZ        59  28
QSO:  7000 PH 2019-10-26 1326 YG3EOQ        59  28     YD3ELT        59  28
QSO:  7000 PH 2019-10-26 1331 YG3EOQ        59  28     YC2HFG        59  28
QSO:  7000 PH 2019-10-26 1334 YG3EOQ        59  28     YD5KYC        59  28
QSO:  7000 PH 2019-10-26 1345 YG3EOQ        59  28     YE7SPN        59  28
QSO:  7000 PH 2019-10-26 1350 YG3EOQ        59  28     YD0SJA        59  28
QSO:  7000 PH 2019-10-26 1357 YG3EOQ        59  28     YB2IQ         59  28
QSO:  7000 PH 2019-10-26 1402 YG3EOQ        59  28     9M2R          59  28
QSO:  7000 PH 2019-10-26 1408 YG3EOQ        59  28     YD0AFS        59  28
QSO:  7000 PH 2019-10-26 1421 YG3EOQ        59  28     3W9A          59  26
QSO:  7000 PH 2019-10-26 1720 YG3EOQ        59  28     9M2SAF        59  28
QSO:  7000 PH 2019-10-26 1736 YG3EOQ        59  28     HS5SRH        59  26
QSO:  7000 PH 2019-10-27 1211 YG3EOQ        59  28     YB4FIK        59  28
QSO:  7000 PH 2019-10-27 1234 YG3EOQ        59  28     XV7AMO        59  26
END-OF-LOG:
