START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: N9OK
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 112868
NAME: Joe Robin
OPERATORS: N9OK
CLUB: Society of Midwest Contesters
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: Can only operate phone for limited times. I feel somewhat deaf
SOAPBOX: now. This was a fun contest. Low noise levels in this area.
SOAPBOX: Sunspots not great but still made some good contacts.
QSO: 14160 PH 2019-10-26 0024 N9OK          59  4      NO6T          59  03
QSO:  7148 PH 2019-10-26 0041 N9OK          59  4      S50A          59  15
QSO:  7223 PH 2019-10-26 0100 N9OK          59  4      V47T          59  08
QSO:  7202 PH 2019-10-26 0105 N9OK          59  4      KP2M          59  08
QSO:  7214 PH 2019-10-26 0115 N9OK          59  4      TI7/KC5HWB    59  07
QSO:  7208 PH 2019-10-26 0117 N9OK          59  4      VE2IDX        59  02
QSO:  7184 PH 2019-10-26 0128 N9OK          59  4      ED8W          59  33
QSO:  7159 PH 2019-10-26 0134 N9OK          59  4      VE7UF         59  03
QSO:  3770 PH 2019-10-26 0323 N9OK          59  4      KP2M          59  08
QSO:  3714 PH 2019-10-26 0325 N9OK          59  4      ZF1A          59  08
QSO:  3706 PH 2019-10-26 0326 N9OK          59  4      XL3A          59  04
QSO:  3603 PH 2019-10-26 0329 N9OK          59  4      V26B          59  08
QSO:  3625 PH 2019-10-26 0329 N9OK          59  4      V3A           59  07
QSO:  3737 PH 2019-10-26 0334 N9OK          59  4      YV5KG         59  09
QSO:  3758 PH 2019-10-26 0336 N9OK          59  4      V3M           59  07
QSO:  3771 PH 2019-10-26 0338 N9OK          59  4      D4C           59  35
QSO:  3606 PH 2019-10-26 0400 N9OK          59  4      FG4KH         59  08
QSO:  3789 PH 2019-10-26 0407 N9OK          59  4      FY5KE         59  09
QSO:  3786 PH 2019-10-26 0413 N9OK          59  4      5K0K          59  07
QSO:  3743 PH 2019-10-26 0433 N9OK          59  4      6Y5IC         59  08
QSO:  3795 PH 2019-10-26 0436 N9OK          59  4      EF8R          59  33
QSO:  3725 PH 2019-10-26 0440 N9OK          59  4      HI3LT         59  08
QSO:  3721 PH 2019-10-26 0442 N9OK          59  4      KP3Z          59  08
QSO:  3697 PH 2019-10-26 0444 N9OK          59  4      V49V          59  08
QSO:  3680 PH 2019-10-26 0446 N9OK          59  4      6W1RY         59  35
QSO:  3676 PH 2019-10-26 0449 N9OK          59  4      HI3T          59  08
QSO:  3683 PH 2019-10-26 0451 N9OK          59  4      ZF9CW         59  08
QSO:  1837 PH 2019-10-26 0454 N9OK          59  4      NP2J          59  08
QSO:  1821 PH 2019-10-26 0456 N9OK          59  4      VE3PN         59  04
QSO:  1824 PH 2019-10-26 0457 N9OK          59  4      VE3MGY        59  04
QSO:  1874 PH 2019-10-26 0505 N9OK          59  4      XL3A          59  04
QSO:  1884 PH 2019-10-26 0507 N9OK          59  4      W3PP          59  05
QSO:  7196 PH 2019-10-26 0515 N9OK          59  4      KH6J          59  31
QSO: 21245 PH 2019-10-26 1622 N9OK          59  4      KP4RV         59  08
QSO: 21357 PH 2019-10-26 1711 N9OK          59  4      EF8R          59  33
QSO: 21374 PH 2019-10-26 1711 N9OK          59  4      CR3DX         59  33
QSO: 21415 PH 2019-10-26 1713 N9OK          59  4      VP6R          59  32
QSO: 21282 PH 2019-10-26 1715 N9OK          59  4      TI7W          59  07
QSO: 21315 PH 2019-10-26 1716 N9OK          59  4      D4C           59  35
QSO: 21326 PH 2019-10-26 1722 N9OK          59  4      XE2B          59  06
QSO: 21394 PH 2019-10-26 1722 N9OK          59  4      V55A          59  38
QSO: 21301 PH 2019-10-26 1729 N9OK          59  4      HC0E          59  10
QSO: 21258 PH 2019-10-26 1734 N9OK          59  4      HC5UDT        59  10
QSO: 21330 PH 2019-10-26 1909 N9OK          59  4      HI3LT         59  08
QSO: 21379 PH 2019-10-26 1915 N9OK          59  4      ZF1A          59  08
QSO: 21217 PH 2019-10-26 1921 N9OK          59  4      FY5KE         59  09
QSO: 21249 PH 2019-10-26 1922 N9OK          59  4      ZZ3ZZ         59  11
QSO: 21231 PH 2019-10-26 1926 N9OK          59  4      LW1D          59  13
QSO: 14348 PH 2019-10-26 1927 N9OK          59  4      P40W          59  09
QSO: 14330 PH 2019-10-26 1931 N9OK          59  4      KP4/KA1R      59  08
QSO: 14302 PH 2019-10-26 1933 N9OK          59  4      KP2M          59  08
QSO: 14288 PH 2019-10-26 1933 N9OK          59  4      J68GD         59  08
QSO: 14269 PH 2019-10-26 1935 N9OK          59  4      D4C           59  35
QSO: 14265 PH 2019-10-26 1935 N9OK          59  4      PZ5K          59  09
QSO: 14252 PH 2019-10-26 1938 N9OK          59  4      ED7W          59  14
QSO: 14228 PH 2019-10-26 1939 N9OK          59  4      PJ4NG         59  09
QSO: 14221 PH 2019-10-26 1939 N9OK          59  4      IR2Q          59  15
QSO: 14216 PH 2019-10-26 1939 N9OK          59  4      PJ2T          59  09
QSO: 14196 PH 2019-10-26 1940 N9OK          59  4      CR3DX         59  33
QSO: 14166 PH 2019-10-26 1941 N9OK          59  4      EE7P          59  14
QSO: 14249 PH 2019-10-26 1946 N9OK          59  4      V26B          59  08
QSO: 14168 PH 2019-10-26 2132 N9OK          59  4      HI8JSG        59  08
QSO: 14180 PH 2019-10-26 2133 N9OK          59  4      HC0T          59  10
QSO: 14203 PH 2019-10-26 2133 N9OK          59  4      HI3T          59  08
QSO: 14205 PH 2019-10-26 2134 N9OK          59  4      V3M           59  07
QSO: 14284 PH 2019-10-26 2140 N9OK          59  4      FY5KE         59  09
QSO: 14323 PH 2019-10-26 2143 N9OK          59  4      VP2MSW        59  08
QSO: 14328 PH 2019-10-26 2145 N9OK          59  4      ZW8T          59  11
QSO: 14334 PH 2019-10-26 2145 N9OK          59  4      8P5A          59  08
QSO: 14340 PH 2019-10-26 2145 N9OK          59  4      ZF1A          59  08
QSO: 14311 PH 2019-10-26 2152 N9OK          59  4      KP3ZM         59  08
QSO: 14291 PH 2019-10-26 2155 N9OK          59  4      NP2P          59  08
QSO: 14272 PH 2019-10-26 2156 N9OK          59  4      V47T          59  08
QSO: 14264 PH 2019-10-26 2157 N9OK          59  4      HH2AA         59  08
