START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: NE1B
LOCATION: NH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 523676
NAME: Bill Barber
OPERATORS: NE1B
CLUB: Yankee Clipper Contest Club
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: Poor conditions Friday night.  Much better on Saturday and Sunday.
SOAPBOX: Achieved my goals of 500 Qs and 500K score.
QSO: 14325 PH 2019-10-26 0116 NE1B          59  5      PR4T          59  11
QSO: 14315 PH 2019-10-26 0117 NE1B          59  5      PS2T          59  11
QSO: 14279 PH 2019-10-26 0119 NE1B          59  5      LO7H          59  13
QSO: 14266 PH 2019-10-26 0120 NE1B          59  5      FY5KE         59  09
QSO:  7237 PH 2019-10-26 0125 NE1B          59  5      8P5A          59  08
QSO:  7223 PH 2019-10-26 0126 NE1B          59  5      V47T          59  08
QSO:  7234 PH 2019-10-26 0134 NE1B          59  5      TO1J          59  08
QSO:  7219 PH 2019-10-26 0139 NE1B          59  5      ZF1A          59  08
QSO:  7217 PH 2019-10-26 0141 NE1B          59  5      PJ4K          59  09
QSO:  7178 PH 2019-10-26 0149 NE1B          59  5      CR6T          59  14
QSO:  7168 PH 2019-10-26 0152 NE1B          59  5      HI3LT         59  08
QSO:  7170 PH 2019-10-26 0154 NE1B          59  5      KC1XX         59  05
QSO:  7198 PH 2019-10-26 0159 NE1B          59  5      EC2DX         59  14
QSO:  7184 PH 2019-10-26 0202 NE1B          59  5      ED8W          59  33
QSO:  7137 PH 2019-10-26 0222 NE1B          59  5      D4C           59  35
QSO:  7204 PH 2019-10-26 0226 NE1B          59  5      KP3Z          59  08
QSO:  7170 PH 2019-10-26 0231 NE1B          59  5      PR4T          59  11
QSO:  3750 PH 2019-10-26 0234 NE1B          59  5      VE3MIS        59  04
QSO:  3744 PH 2019-10-26 0235 NE1B          59  5      VP9I          59  05
QSO:  3744 PH 2019-10-26 0236 NE1B          59  5      VP9I          59  05
QSO:  3625 PH 2019-10-26 0253 NE1B          59  5      V3A           59  07
QSO:  3795 PH 2019-10-26 0259 NE1B          59  5      EF8R          59  33
QSO:  1863 PH 2019-10-26 0305 NE1B          59  5      K3LR          59  05
QSO:  1836 PH 2019-10-26 0307 NE1B          59  5      NP2J          59  08
QSO:  1825 PH 2019-10-26 0308 NE1B          59  5      NV9L          59  04
QSO:  1830 PH 2019-10-26 0309 NE1B          59  5      VP9AD         59  05
QSO:  1828 PH 2019-10-26 0311 NE1B          59  5      VE3MGY        59  04
QSO:  3811 PH 2019-10-26 0417 NE1B          59  5      KP2M          59  08
QSO:  3799 PH 2019-10-26 0418 NE1B          59  5      CN3A          59  33
QSO:  3745 PH 2019-10-26 0420 NE1B          59  5      PJ2T          59  09
QSO:  3778 PH 2019-10-26 0420 NE1B          59  5      8P5A          59  08
QSO:  3745 PH 2019-10-26 0423 NE1B          59  5      OM2VL         59  15
QSO:  3743 PH 2019-10-26 0430 NE1B          59  5      6Y5IC         59  08
QSO:  3733 PH 2019-10-26 0438 NE1B          59  5      D4C           59  35
QSO:  3789 PH 2019-10-26 0450 NE1B          59  5      FY5KE         59  09
QSO:  3748 PH 2019-10-26 0451 NE1B          59  5      ZF1A          59  08
QSO:  3793 PH 2019-10-26 1058 NE1B          59  5      5K0K          59  07
QSO:  7198 PH 2019-10-26 1101 NE1B          59  5      KP2M          59  08
QSO:  7193 PH 2019-10-26 1103 NE1B          59  5      PJ2T          59  09
QSO:  7169 PH 2019-10-26 1103 NE1B          59  5      TI7W          59  07
QSO:  7155 PH 2019-10-26 1105 NE1B          59  5      OA4O          59  10
QSO:  7131 PH 2019-10-26 1105 NE1B          59  5      P40W          59  09
QSO: 14201 PH 2019-10-26 1108 NE1B          59  5      UR3GU         59  16
QSO: 14335 PH 2019-10-26 1112 NE1B          59  5      OZ5E          59  14
QSO: 14300 PH 2019-10-26 1112 NE1B          59  5      UB7K          59  16
QSO: 14328 PH 2019-10-26 1113 NE1B          59  5      SN2B          59  15
QSO: 14307 PH 2019-10-26 1113 NE1B          59  5      OM7M          59  15
QSO: 14305 PH 2019-10-26 1114 NE1B          59  5      OL0M          59  15
QSO: 14155 PH 2019-10-26 1114 NE1B          59  5      HG3N          59  15
QSO: 14272 PH 2019-10-26 1115 NE1B          59  5      DF0HQ         59  14
QSO: 14171 PH 2019-10-26 1120 NE1B          59  5      OR4ACA        59  14
QSO: 14274 PH 2019-10-26 1120 NE1B          59  5      LX7I          59  14
QSO: 14293 PH 2019-10-26 1121 NE1B          59  5      LZ9W          59  20
QSO: 14175 PH 2019-10-26 1122 NE1B          59  5      YT5A          59  15
QSO: 14203 PH 2019-10-26 1123 NE1B          59  5      9A7A          59  15
QSO: 14223 PH 2019-10-26 1124 NE1B          59  5      E71CQ         59  15
QSO: 14262 PH 2019-10-26 1125 NE1B          59  5      S57DX         59  15
QSO: 14192 PH 2019-10-26 1125 NE1B          59  5      IK4LZH        59  15
QSO: 14268 PH 2019-10-26 1126 NE1B          59  5      TM5P          59  14
QSO: 14205 PH 2019-10-26 1128 NE1B          59  5      KP3ZM         59  08
QSO: 14261 PH 2019-10-26 1130 NE1B          59  5      EF8R          59  33
QSO: 14253 PH 2019-10-26 1132 NE1B          59  5      F5OHM         59  14
QSO: 14248 PH 2019-10-26 1133 NE1B          59  5      YP0C          59  20
QSO: 14216 PH 2019-10-26 1133 NE1B          59  5      M4A           59  14
