START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: WB6CZG
LOCATION: SV
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: CM99vi
CLAIMED-SCORE: 22695
NAME: Bill Keane
OPERATORS: WB6CZG
CLUB: northern california contest club
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: Rig KX3 and KPA100 80 meter dipole at 70FT
QSO: 14244 PH 2019-10-26 0002 WB6CZG        59  3      TI7W          59  07
QSO: 14180 PH 2019-10-26 0003 WB6CZG        59  3      PJ4NG         59  09
QSO: 14188 PH 2019-10-26 0005 WB6CZG        59  3      PY2NY         59  11
QSO: 14330 PH 2019-10-26 0016 WB6CZG        59  3      5K0K          59  07
QSO: 14315 PH 2019-10-26 0016 WB6CZG        59  3      PS2T          59  11
QSO: 14286 PH 2019-10-26 0018 WB6CZG        59  3      HP1XT         59  07
QSO: 14272 PH 2019-10-26 0020 WB6CZG        59  3      PQ5B          59  11
QSO: 14266 PH 2019-10-26 0024 WB6CZG        59  3      FY5KE         59  09
QSO: 14263 PH 2019-10-26 0027 WB6CZG        59  3      HR9/N3AD      59  07
QSO: 14255 PH 2019-10-26 0028 WB6CZG        59  3      PT5J          59  11
QSO: 14224 PH 2019-10-26 0034 WB6CZG        59  3      ZW2T          59  11
QSO: 14181 PH 2019-10-26 0046 WB6CZG        59  3      CE2LR         59  12
QSO:  7168 PH 2019-10-26 0202 WB6CZG        59  3      HI3LT         59  08
QSO:  7196 PH 2019-10-26 0240 WB6CZG        59  3      KH6J          59  31
QSO:  3757 PH 2019-10-26 0255 WB6CZG        59  3      VE5FI         59  04
QSO:  3762 PH 2019-10-26 0300 WB6CZG        59  3      VE7UF         59  03
QSO:  7214 PH 2019-10-26 0306 WB6CZG        59  3      TI7W          59  07
QSO:  7196 PH 2019-10-26 0309 WB6CZG        59  3      KH6S          59  31
QSO:  7141 PH 2019-10-26 0517 WB6CZG        59  3      VE7NY         59  03
QSO:  7215 PH 2019-10-26 0525 WB6CZG        59  3      KH7XS         59  31
QSO:  7220 PH 2019-10-26 0527 WB6CZG        59  3      ZF1A          59  08
QSO:  7225 PH 2019-10-26 0528 WB6CZG        59  3      KH7M          59  31
QSO:  7234 PH 2019-10-26 0529 WB6CZG        59  3      8P5A          59  08
QSO:  7192 PH 2019-10-26 0541 WB6CZG        59  3      PJ2T          59  09
QSO:  7170 PH 2019-10-26 0546 WB6CZG        59  3      HP3AK         59  07
QSO:  7154 PH 2019-10-26 0555 WB6CZG        59  3      5K0K          59  07
QSO:  7199 PH 2019-10-26 1215 WB6CZG        59  3      JA3YBK        59  25
QSO:  7172 PH 2019-10-26 1220 WB6CZG        59  3      JR2GRX        59  25
QSO:  7139 PH 2019-10-26 1223 WB6CZG        59  3      JI2ZEY        59  25
QSO:  3766 PH 2019-10-26 1227 WB6CZG        59  3      RT0F          59  19
QSO:  7187 PH 2019-10-26 1245 WB6CZG        59  3      JH4UYB        59  25
QSO:  3803 PH 2019-10-26 1411 WB6CZG        59  3      JA7YRR        59  25
