START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: VE3RVZ
LOCATION: ONE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
GRID-LOCATOR: FN04uh
CLAIMED-SCORE: 750
NAME: Bob Foley
OPERATORS: VE3RVZ
CLUB: Peterborough Amateur Radio Club
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: Antenna work in the middle of the contest SUCKS! LOL!
QSO:  7175 PH 2019-10-26 0112 VE3RVZ        59  04     VE2CJR        59  05
QSO:  7135 PH 2019-10-26 0120 VE3RVZ        59  04     K1LZ          59  05
QSO: 14112 PH 2019-10-26 1435 VE3RVZ        59  04     OE3LZA        59  15
QSO: 14127 PH 2019-10-26 1451 VE3RVZ        59  04     IR3R          59  15
QSO: 14130 PH 2019-10-26 1452 VE3RVZ        59  04     VE3IQZ        59  04
QSO: 14131 PH 2019-10-26 1454 VE3RVZ        59  04     DG7LAN        59  14
QSO: 14162 PH 2019-10-26 1559 VE3RVZ        59  04     K4PV          59  05
QSO: 14165 PH 2019-10-26 1601 VE3RVZ        59  04     DJ5MW         59  14
QSO: 14204 PH 2019-10-26 1619 VE3RVZ        59  04     VE7UF         59  03
QSO:  3631 PH 2019-10-27 2248 VE3RVZ        59  04     VY2TT         59  05
QSO:  3720 PH 2019-10-27 2251 VE3RVZ        59  04     K2LE          59  05
QSO:  3710 PH 2019-10-27 2252 VE3RVZ        59  04     VE3IQZ        59  04
QSO:  7230 PH 2019-10-27 2302 VE3RVZ        59  04     PZ5K          59  09
QSO:  7209 PH 2019-10-27 2305 VE3RVZ        59  04     VO2NS         59  02
QSO:  7199 PH 2019-10-27 2307 VE3RVZ        59  04     LX7I          59  14
QSO:  7052 PH 2019-10-27 2332 VE3RVZ        59  04     PJ4K          59  09
QSO:  7099 PH 2019-10-27 2353 VE3RVZ        59  04     UW7LL         59  16
END-OF-LOG:
