START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: ES5NHC
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: KO38FD
CLAIMED-SCORE: 27608
NAME: Tarmo Tanilsoo
OPERATORS: ES5NHC
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: The contest was interrupted for me by a violent windstorm which cut
SOAPBOX: electricity supply and caused a power surge that damaged some of my
SOAPBOX: electrical equipment. Fortunately the ham rigs survived and I got
SOAPBOX: power back late Monday. However, as a result I was unable to participate
SOAPBOX: on Sunday evening.
SOAPBOX: This was also my first contest where I also used 160 metre band.
QSO:  1800 PH 2019-10-26 0544 ES5NHC        59  15     SN7D          59  15
QSO:  3500 PH 2019-10-26 0549 ES5NHC        59  15     EW8Y          59  16
QSO:  3500 PH 2019-10-26 0550 ES5NHC        59  15     OH6K          59  15
QSO:  7000 PH 2019-10-26 0558 ES5NHC        59  15     RM3DA         59  16
QSO:  7000 PH 2019-10-26 0601 ES5NHC        59  15     DF0HQ         59  14
QSO:  7000 PH 2019-10-26 0602 ES5NHC        59  15     M6T           59  14
QSO:  7000 PH 2019-10-26 0606 ES5NHC        59  15     YT5A          59  15
QSO:  7000 PH 2019-10-26 0607 ES5NHC        59  15     IR4M          59  15
QSO:  7000 PH 2019-10-26 0609 ES5NHC        59  15     OM0M          59  15
QSO:  7000 PH 2019-10-26 0614 ES5NHC        59  15     IO6A          59  15
QSO: 14000 PH 2019-10-26 0624 ES5NHC        59  15     IR4M          59  15
QSO: 14000 PH 2019-10-26 0626 ES5NHC        59  15     IO5O          59  15
QSO: 14000 PH 2019-10-26 0638 ES5NHC        59  15     Z30A          59  15
QSO: 14000 PH 2019-10-26 0653 ES5NHC        59  15     TM4L          59  14
QSO: 14000 PH 2019-10-26 0659 ES5NHC        59  15     E71CQ         59  15
QSO: 14000 PH 2019-10-26 0701 ES5NHC        59  15     4L2M          59  21
QSO: 21000 PH 2019-10-26 0707 ES5NHC        59  15     5B4KH         59  20
QSO: 21000 PH 2019-10-26 0709 ES5NHC        59  15     4Z5LY         59  20
QSO: 21000 PH 2019-10-26 0715 ES5NHC        59  15     V55A          59  38
QSO: 21000 PH 2019-10-26 0718 ES5NHC        59  15     4Z4DX         59  20
QSO:  3500 PH 2019-10-26 0728 ES5NHC        59  15     DM0Y          59  14
QSO:  7000 PH 2019-10-26 0733 ES5NHC        59  15     OL9Z          59  15
QSO:  7000 PH 2019-10-26 0736 ES5NHC        59  15     YQ8T          59  20
QSO:  7000 PH 2019-10-26 0738 ES5NHC        59  15     SO4R          59  15
QSO: 14000 PH 2019-10-26 0742 ES5NHC        59  15     HB9H          59  14
QSO: 14000 PH 2019-10-26 0744 ES5NHC        59  15     RK9AX         59  17
QSO: 14000 PH 2019-10-26 0746 ES5NHC        59  15     RA9A          59  17
QSO: 14000 PH 2019-10-26 0800 ES5NHC        59  15     UP2L          59  17
QSO: 14000 PH 2019-10-26 0802 ES5NHC        59  15     YU5R          59  15
QSO: 14000 PH 2019-10-26 0803 ES5NHC        59  15     IR7T          59  15
QSO: 14000 PH 2019-10-26 0805 ES5NHC        59  15     IR1G          59  15
QSO: 14000 PH 2019-10-26 0811 ES5NHC        59  15     G4R           59  14
QSO: 14000 PH 2019-10-26 0812 ES5NHC        59  15     S54K          59  15
QSO: 21000 PH 2019-10-26 1029 ES5NHC        59  15     CR6K          59  14
QSO: 21000 PH 2019-10-26 1038 ES5NHC        59  15     EC2DX         59  14
QSO: 21000 PH 2019-10-26 1040 ES5NHC        59  15     9H6A          59  15
QSO: 21000 PH 2019-10-26 1048 ES5NHC        59  15     EA1NE         59  14
QSO: 14000 PH 2019-10-26 1050 ES5NHC        59  15     DK3T          59  14
QSO: 21000 PH 2019-10-26 1101 ES5NHC        59  15     ES9C          59  15
QSO: 21000 PH 2019-10-26 1257 ES5NHC        59  15     F6DZU         59  14
QSO: 21000 PH 2019-10-26 1259 ES5NHC        59  15     CN3A          59  33
QSO: 21000 PH 2019-10-26 1302 ES5NHC        59  15     P33W          59  20
QSO:  7000 PH 2019-10-26 1559 ES5NHC        59  15     DM5JBN        59  14
QSO:  7000 PH 2019-10-26 1602 ES5NHC        59  15     RL4F          59  16
QSO:  7000 PH 2019-10-26 1602 ES5NHC        59  15     DP6T          59  14
QSO:  7000 PH 2019-10-26 1604 ES5NHC        59  15     UW2M          59  16
QSO: 14000 PH 2019-10-26 1609 ES5NHC        59  15     EI7M          59  14
QSO: 14000 PH 2019-10-26 1615 ES5NHC        59  15     F5TRO         59  14
QSO:  1800 PH 2019-10-26 1621 ES5NHC        59  15     DF0HQ         59  14
QSO:  3500 PH 2019-10-26 1630 ES5NHC        59  15     HG8R          59  15
QSO:  3500 PH 2019-10-26 1632 ES5NHC        59  15     SP8K          59  15
QSO:  1800 PH 2019-10-26 1633 ES5NHC        59  15     LY2XW         59  15
QSO:  1800 PH 2019-10-26 1635 ES5NHC        59  15     LY5W          59  15
QSO: 14000 PH 2019-10-26 1637 ES5NHC        59  15     ED3D          59  14
QSO: 14000 PH 2019-10-26 1639 ES5NHC        59  15     EF1W          59  14
QSO:  7000 PH 2019-10-26 1643 ES5NHC        59  15     E7DX          59  15
QSO:  7000 PH 2019-10-26 1648 ES5NHC        59  15     DR1A          59  14
QSO:  3500 PH 2019-10-26 1653 ES5NHC        59  15     LY4T          59  15
QSO:  3500 PH 2019-10-26 1655 ES5NHC        59  15     SP7MC         59  15
QSO:  7000 PH 2019-10-26 1704 ES5NHC        59  15     UA4M          59  16
QSO:  7000 PH 2019-10-26 1711 ES5NHC        59  15     9A3AG         59  15
QSO:  7000 PH 2019-10-26 1712 ES5NHC        59  15     UP0L          59  17
QSO:  3500 PH 2019-10-26 1719 ES5NHC        59  15     OL4C          59  15
QSO:  3500 PH 2019-10-26 1723 ES5NHC        59  15     PC2L          59  14
QSO:  3500 PH 2019-10-26 1726 ES5NHC        59  15     OZ5E          59  14
QSO:  1800 PH 2019-10-26 1734 ES5NHC        59  15     UA4M          59  16
QSO:  1800 PH 2019-10-26 1736 ES5NHC        59  15     SO4M          59  15
QSO:  3500 PH 2019-10-26 1739 ES5NHC        59  15     LY1SR         59  15
QSO:  3500 PH 2019-10-26 1740 ES5NHC        59  15     GM2T          59  14
QSO:  3500 PH 2019-10-26 1743 ES5NHC        59  15     YL2SW         59  15
QSO:  3500 PH 2019-10-26 1744 ES5NHC        59  15     PA9M          59  14
QSO:  3500 PH 2019-10-26 1750 ES5NHC        59  15     RC3FL         59  16
QSO:  3500 PH 2019-10-26 1753 ES5NHC        59  15     YT5A          59  15
QSO:  3500 PH 2019-10-26 1753 ES5NHC        59  15     RT2C          59  16
QSO:  3500 PH 2019-10-26 1754 ES5NHC        59  15     UX2X          59  16
QSO:  3500 PH 2019-10-26 1827 ES5NHC        59  15     DL9GTB        59  14
QSO:  3500 PH 2019-10-26 1829 ES5NHC        59  15     LY5XX         59  15
QSO:  1800 PH 2019-10-26 1834 ES5NHC        59  15     DL5ALW        59  14
QSO:  1800 PH 2019-10-26 1835 ES5NHC        59  15     DL1NKS        59  14
QSO:  1800 PH 2019-10-26 1836 ES5NHC        59  15     M6T           59  14
QSO:  1800 PH 2019-10-26 1837 ES5NHC        59  15     RU1AB         59  16
QSO:  1800 PH 2019-10-26 1837 ES5NHC        59  15     LY5G          59  15
QSO:  1800 PH 2019-10-26 1843 ES5NHC        59  15     EU1XX         59  16
QSO:  7000 PH 2019-10-26 1850 ES5NHC        59  15     IO3F          59  15
QSO:  7000 PH 2019-10-26 1900 ES5NHC        59  15     HB9A          59  14
QSO:  3500 PH 2019-10-26 1912 ES5NHC        59  15     SN7Q          59  15
QSO:  3500 PH 2019-10-26 1915 ES5NHC        59  15     HG7T          59  15
QSO:  3500 PH 2019-10-26 1916 ES5NHC        59  15     OM2VL         59  15
QSO:  7000 PH 2019-10-26 1948 ES5NHC        59  15     S50W          59  15
QSO:  7000 PH 2019-10-26 1951 ES5NHC        59  15     OK1OA         59  15
QSO:  7000 PH 2019-10-26 1953 ES5NHC        59  15     HG5A          59  15
QSO:  7000 PH 2019-10-26 1955 ES5NHC        59  15     HG7T          59  15
QSO:  7000 PH 2019-10-26 1956 ES5NHC        59  15     R7AB          59  16
QSO:  3500 PH 2019-10-26 2004 ES5NHC        59  15     DQ1P          59  14
QSO:  3500 PH 2019-10-26 2006 ES5NHC        59  15     SP5EWX        59  15
QSO:  3500 PH 2019-10-26 2006 ES5NHC        59  15     DJ7YP         59  14
QSO:  3500 PH 2019-10-26 2007 ES5NHC        59  15     RW4W          59  16
QSO:  1800 PH 2019-10-26 2022 ES5NHC        59  15     SP3GTS        59  15
QSO:  1800 PH 2019-10-26 2024 ES5NHC        59  15     RJ4P          59  16
QSO:  1800 PH 2019-10-26 2025 ES5NHC        59  15     LY7Z          59  15
QSO:  1800 PH 2019-10-26 2027 ES5NHC        59  15     SJ0X          59  14
QSO:  7000 PH 2019-10-26 2049 ES5NHC        59  15     TM6M          59  14
QSO:  3500 PH 2019-10-26 2053 ES5NHC        59  15     YU5R          59  15
QSO:  1800 PH 2019-10-26 2054 ES5NHC        59  15     ES6RW         59  15
QSO:  1800 PH 2019-10-26 2059 ES5NHC        59  15     DL7ON         59  14
QSO:  1800 PH 2019-10-27 0437 ES5NHC        59  15     LY2J          59  15
QSO:  1800 PH 2019-10-27 0438 ES5NHC        59  15     OZ30EU        59  14
QSO:  1800 PH 2019-10-27 0439 ES5NHC        59  15     SN0R          59  15
QSO:  1800 PH 2019-10-27 0441 ES5NHC        59  15     EU1A          59  16
QSO:  1800 PH 2019-10-27 0442 ES5NHC        59  15     SO4R          59  15
QSO:  1800 PH 2019-10-27 0443 ES5NHC        59  15     SN7Q          59  15
QSO:  1800 PH 2019-10-27 0444 ES5NHC        59  15     RU1A          59  16
QSO:  1800 PH 2019-10-27 0445 ES5NHC        59  15     OK1T          59  15
QSO:  1800 PH 2019-10-27 0447 ES5NHC        59  15     OH5Z          59  15
QSO:  1800 PH 2019-10-27 0449 ES5NHC        59  15     OK1K          59  15
QSO:  1800 PH 2019-10-27 0450 ES5NHC        59  15     SM5Q          59  14
QSO:  3500 PH 2019-10-27 0457 ES5NHC        59  15     LY4O          59  15
QSO:  3500 PH 2019-10-27 0504 ES5NHC        59  15     OH3RB         59  15
QSO:  3500 PH 2019-10-27 0506 ES5NHC        59  15     OK1M          59  15
QSO:  3500 PH 2019-10-27 0506 ES5NHC        59  15     OH6UX         59  15
QSO:  3500 PH 2019-10-27 0506 ES5NHC        59  15     LY2BKT        59  15
QSO:  3500 PH 2019-10-27 0508 ES5NHC        59  15     SP5ELA        59  15
QSO:  3500 PH 2019-10-27 0509 ES5NHC        59  15     DP6A          59  14
QSO:  3500 PH 2019-10-27 0511 ES5NHC        59  15     ES3V          59  15
QSO:  3500 PH 2019-10-27 0512 ES5NHC        59  15     9A3JB         59  15
