START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: N1DC
LOCATION: EMA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: FN42mf
CLAIMED-SCORE: 137546
NAME: Rick Pendleton
OPERATORS: N1DC
CLUB: YANKEE CLIPPER CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: SOAB LP is the ultimate test of tenacity and skill.
QSO: 14169 PH 2019-10-26 0038 N1DC          59  5      ZW5B          59  11
QSO: 14175 PH 2019-10-26 0040 N1DC          59  5      PZ5K          59  09
QSO: 14188 PH 2019-10-26 0041 N1DC          59  5      PY2NY         59  11
QSO: 14213 PH 2019-10-26 0042 N1DC          59  5      ZY2A          59  11
QSO: 14235 PH 2019-10-26 0051 N1DC          59  5      PT2AW         59  11
QSO: 14255 PH 2019-10-26 0053 N1DC          59  5      PT5J          59  11
QSO: 14266 PH 2019-10-26 0055 N1DC          59  5      FY5KE         59  09
QSO: 14308 PH 2019-10-26 0059 N1DC          59  5      PY2KJ         59  11
QSO: 14315 PH 2019-10-26 0059 N1DC          59  5      PS2T          59  11
QSO: 14325 PH 2019-10-26 0100 N1DC          59  5      PR4T          59  11
QSO:  7180 PH 2019-10-26 0110 N1DC          59  5      VA2MP/P       59  02
QSO:  7200 PH 2019-10-26 0137 N1DC          59  5      VA2UR         59  05
QSO:  7204 PH 2019-10-26 0138 N1DC          59  5      KP3Z          59  08
QSO:  3714 PH 2019-10-26 0145 N1DC          59  5      ZF1A          59  08
QSO:  3742 PH 2019-10-26 0146 N1DC          59  5      VE3MIS        59  04
QSO:  3760 PH 2019-10-26 0147 N1DC          59  5      CF3M          59  04
QSO:  3764 PH 2019-10-26 0148 N1DC          59  5      VA3MW         59  04
QSO:  3786 PH 2019-10-26 0150 N1DC          59  5      K1TTT         59  05
QSO:  1827 PH 2019-10-26 0156 N1DC          59  5      VY2ZM         59  05
QSO:  1824 PH 2019-10-26 0157 N1DC          59  5      VE3JM         59  04
QSO:  1836 PH 2019-10-26 0159 N1DC          59  5      NP2J          59  08
QSO:  1847 PH 2019-10-26 0201 N1DC          59  5      W8ALP         59  04
QSO:  1859 PH 2019-10-26 0202 N1DC          59  5      VE3EJ         59  04
QSO:  1863 PH 2019-10-26 0203 N1DC          59  5      K3LR          59  05
QSO:  7217 PH 2019-10-26 0223 N1DC          59  5      PJ4K          59  09
QSO: 14172 PH 2019-10-26 1251 N1DC          59  5      ED8W          59  33
QSO: 14154 PH 2019-10-26 1304 N1DC          59  5      HG3N          59  15
QSO: 14178 PH 2019-10-26 1307 N1DC          59  5      PI4COM        59  14
QSO: 14219 PH 2019-10-26 1313 N1DC          59  5      M6T           59  14
QSO: 14223 PH 2019-10-26 1313 N1DC          59  5      DR1A          59  14
QSO: 14267 PH 2019-10-26 1329 N1DC          59  5      G6XX          59  14
QSO: 14277 PH 2019-10-26 1329 N1DC          59  5      TM4L          59  14
QSO: 14311 PH 2019-10-26 1336 N1DC          59  5      DL2ARD        59  14
QSO: 14328 PH 2019-10-26 1337 N1DC          59  5      SN2B          59  15
QSO: 14338 PH 2019-10-26 1339 N1DC          59  5      OK7K          59  15
QSO: 14340 PH 2019-10-26 1340 N1DC          59  5      OR2M          59  14
QSO: 14165 PH 2019-10-26 1344 N1DC          59  5      GM0V          59  14
QSO: 21229 PH 2019-10-26 1355 N1DC          59  5      ED7O          59  14
QSO: 21260 PH 2019-10-26 1402 N1DC          59  5      II2S          59  15
QSO: 21267 PH 2019-10-26 1403 N1DC          59  5      ED3X          59  14
QSO: 21270 PH 2019-10-26 1404 N1DC          59  5      EA7PP         59  14
QSO: 21273 PH 2019-10-26 1404 N1DC          59  5      EC2DX         59  14
QSO: 21276 PH 2019-10-26 1405 N1DC          59  5      9A5Y          59  15
QSO: 21279 PH 2019-10-26 1406 N1DC          59  5      N1RR          59  05
QSO: 21290 PH 2019-10-26 1408 N1DC          59  5      IR4X          59  15
QSO: 21300 PH 2019-10-26 1409 N1DC          59  5      TM0DX         59  14
QSO: 21314 PH 2019-10-26 1410 N1DC          59  5      IQ4FA         59  15
QSO: 21321 PH 2019-10-26 1411 N1DC          59  5      CR6K          59  14
QSO: 21333 PH 2019-10-26 1412 N1DC          59  5      ED1R          59  14
QSO: 21338 PH 2019-10-26 1415 N1DC          59  5      9A4W          59  15
QSO: 21401 PH 2019-10-26 1419 N1DC          59  5      EA5ON         59  14
