START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: LC9A
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
GRID-LOCATOR:
CLAIMED-SCORE: 135330
NAME: Stian Eklund
OPERATORS: LC9A
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: TU for a great contest even though condx were rough.
QSO:  7192 PH 2019-10-26 0259 LC9A          59  14     TC0F          59  20
QSO:  7179 PH 2019-10-26 0301 LC9A          59  14     ED3W          59  14
QSO:  7176 PH 2019-10-26 0302 LC9A          59  14     ED1R          59  14
QSO:  7166 PH 2019-10-26 0304 LC9A          59  14     EF8R          59  33
QSO:  3746 PH 2019-10-26 0307 LC9A          59  14     OK1HFP        59  15
QSO:  3791 PH 2019-10-26 0310 LC9A          59  14     M6T           59  14
QSO:  3781 PH 2019-10-26 0316 LC9A          59  14     E7DX          59  15
QSO: 14217 PH 2019-10-26 0317 LC9A          59  14     M6T           59  14
QSO: 14241 PH 2019-10-26 0317 LC9A          59  14     DF0HQ         59  14
QSO:  7200 PH 2019-10-26 0322 LC9A          59  14     M6T           59  14
QSO:  7190 PH 2019-10-26 0323 LC9A          59  14     P33W          59  20
QSO:  7157 PH 2019-10-26 0325 LC9A          59  14     EW6W          59  16
QSO:  7090 PH 2019-10-26 0327 LC9A          59  14     IO9A          59  15
QSO:  7117 PH 2019-10-26 0328 LC9A          59  14     RT6A          59  16
QSO:  7122 PH 2019-10-26 0329 LC9A          59  14     DR7A          59  14
QSO:  3708 PH 2019-10-26 0348 LC9A          59  14     SJ0X          59  14
QSO:  3775 PH 2019-10-26 0407 LC9A          59  14     TM3R          59  14
QSO:  3759 PH 2019-10-26 0412 LC9A          59  14     DL0CS         59  14
QSO:  7095 PH 2019-10-26 0419 LC9A          59  14     UA4M          59  16
