START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DF2LH
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: jo53ar
CLAIMED-SCORE: 230044
NAME: Thomas Seibt
OPERATORS: DF2LH
CLUB: BAVARIAN CONTEST CLUB
CREATED-BY: UcxLog 7.97
SOAPBOX: 10-20m Antenna down, PA defect... what should go wrong with 100W
QSO:  7000 PH 2019-10-26 0005 DF2LH         59  14     UA4S          59  16     0
QSO:  7000 PH 2019-10-26 0009 DF2LH         59  14     CN3A          59  33     0
QSO:  7000 PH 2019-10-26 0011 DF2LH         59  14     D4C           59  35     0
QSO:  7000 PH 2019-10-26 0016 DF2LH         59  14     EC2DX         59  14     0
QSO:  7000 PH 2019-10-26 0017 DF2LH         59  14     R7AB          59  16     0
QSO:  7000 PH 2019-10-26 0020 DF2LH         59  14     SZ1A          59  20     0
QSO:  7000 PH 2019-10-26 0027 DF2LH         59  14     EE5T          59  14     0
QSO:  7000 PH 2019-10-26 0035 DF2LH         59  14     RT6A          59  16     0
QSO:  7000 PH 2019-10-26 0035 DF2LH         59  14     TA7OM         59  20     0
QSO:  7000 PH 2019-10-26 0038 DF2LH         59  14     9H6A          59  15     0
QSO:  7000 PH 2019-10-26 0046 DF2LH         59  14     R2AA          59  16     0
QSO:  7000 PH 2019-10-26 0052 DF2LH         59  14     EA5KL         59  14     0
QSO:  7000 PH 2019-10-26 0053 DF2LH         59  14     RA4AR         59  16     0
QSO:  7000 PH 2019-10-26 0054 DF2LH         59  14     RA7A          59  16     0
QSO:  7000 PH 2019-10-26 0055 DF2LH         59  14     R3KM          59  16     0
QSO:  7000 PH 2019-10-26 0057 DF2LH         59  14     CR3DX         59  33     0
QSO:  7000 PH 2019-10-26 0058 DF2LH         59  14     CR2L          59  14     0
QSO:  7000 PH 2019-10-26 0138 DF2LH         59  14     V55A          59  38     0
QSO:  7000 PH 2019-10-26 0143 DF2LH         59  14     TI7W          59  07     0
QSO:  7000 PH 2019-10-26 0145 DF2LH         59  14     UA3RC         59  16     0
QSO:  7000 PH 2019-10-26 0145 DF2LH         59  14     IO9A          59  15     0
QSO:  7000 PH 2019-10-26 0146 DF2LH         59  14     A73A          59  21     0
QSO:  7000 PH 2019-10-26 0146 DF2LH         59  14     CR6P          59  14     0
QSO:  7000 PH 2019-10-26 0147 DF2LH         59  14     4L0A          59  21     0
QSO:  7000 PH 2019-10-26 0152 DF2LH         59  14     CR6K          59  14     0
QSO:  7000 PH 2019-10-26 0159 DF2LH         59  14     EF8R          59  33     0
QSO:  7000 PH 2019-10-26 0204 DF2LH         59  14     P33W          59  20     0
QSO:  7000 PH 2019-10-26 0205 DF2LH         59  14     II9P          59  15     0
QSO:  7000 PH 2019-10-26 0209 DF2LH         59  14     UW2M          59  16     0
QSO:  7000 PH 2019-10-26 0231 DF2LH         59  14     ZW8T          59  11     0
QSO:  7000 PH 2019-10-26 0234 DF2LH         59  14     ED1R          59  14     0
QSO:  7000 PH 2019-10-26 0235 DF2LH         59  14     ED7W          59  14     0
QSO:  7000 PH 2019-10-26 0236 DF2LH         59  14     UP2L          59  17     0
QSO:  7000 PH 2019-10-26 0239 DF2LH         59  14     V47T          59  08     0
QSO:  3500 PH 2019-10-26 0241 DF2LH         59  14     EU1A          59  16     0
QSO:  3500 PH 2019-10-26 0242 DF2LH         59  14     MI0SLE        59  14     0
QSO:  3500 PH 2019-10-26 0243 DF2LH         59  14     OH0V          59  15     0
QSO:  3500 PH 2019-10-26 0244 DF2LH         59  14     J42L          59  20     0
QSO:  3500 PH 2019-10-26 0245 DF2LH         59  14     ES3V          59  15     0
QSO:  3500 PH 2019-10-26 0247 DF2LH         59  14     YT0W          59  15     0
QSO:  3500 PH 2019-10-26 0249 DF2LH         59  14     EW6W          59  16     0
QSO:  3500 PH 2019-10-26 0250 DF2LH         59  14     RA3OA         59  16     0
QSO: 28000 PH 2019-10-26 0932 DF2LH         59  14     4X6FR         59  20     0
QSO: 28000 PH 2019-10-26 0935 DF2LH         59  14     4Z5LY         59  20     0
QSO: 28000 PH 2019-10-26 0944 DF2LH         59  14     D68CCC        59  39     0
QSO: 28000 PH 2019-10-26 0947 DF2LH         59  14     P33W          59  20     0
QSO: 28000 PH 2019-10-26 0956 DF2LH         59  14     4Z4AK         59  20     0
QSO: 28000 PH 2019-10-26 0956 DF2LH         59  14     4X6DK         59  20     0
QSO: 28000 PH 2019-10-26 0958 DF2LH         59  14     YT5A          59  15     0
QSO: 28000 PH 2019-10-26 1000 DF2LH         59  14     OD5OJ         59  20     0
QSO: 28000 PH 2019-10-26 1004 DF2LH         59  14     OD5ZF         59  20     0
QSO: 28000 PH 2019-10-26 1004 DF2LH         59  14     LZ1GU         59  20     0
QSO: 28000 PH 2019-10-26 1005 DF2LH         59  14     4Z5MV         59  20     0
QSO: 28000 PH 2019-10-26 1006 DF2LH         59  14     4Z7Z          59  20     0
QSO: 28000 PH 2019-10-26 1007 DF2LH         59  14     LZ9W          59  20     0
QSO: 28000 PH 2019-10-26 1008 DF2LH         59  14     4X0T          59  20     0
QSO: 28000 PH 2019-10-26 1015 DF2LH         59  14     E77A          59  15     0
QSO: 28000 PH 2019-10-26 1015 DF2LH         59  14     4Z1AC         59  20     0
QSO: 28000 PH 2019-10-26 1024 DF2LH         59  14     LZ1VDR        59  20     0
QSO: 28000 PH 2019-10-26 1025 DF2LH         59  14     II9P          59  15     0
QSO: 28000 PH 2019-10-26 1028 DF2LH         59  14     LZ5R          59  20     0
QSO: 21000 PH 2019-10-26 1035 DF2LH         59  14     6W1RY         59  35     0
QSO: 21000 PH 2019-10-26 1035 DF2LH         59  14     D4C           59  35     0
QSO: 21000 PH 2019-10-26 1045 DF2LH         59  14     SV9DJO        59  20     0
QSO: 21000 PH 2019-10-26 1045 DF2LH         59  14     IO9A          59  15     0
QSO: 21000 PH 2019-10-26 1046 DF2LH         59  14     A44A          59  21     0
QSO: 21000 PH 2019-10-26 1048 DF2LH         59  14     CN3A          59  33     0
QSO: 21000 PH 2019-10-26 1049 DF2LH         59  14     OM0M          59  15     0
QSO: 21000 PH 2019-10-26 1055 DF2LH         59  14     OM3IAG        59  15     0
QSO: 21000 PH 2019-10-26 1100 DF2LH         59  14     I4LCK         59  15     0
QSO: 21000 PH 2019-10-26 1101 DF2LH         59  14     4Z5LY         59  20     0
QSO: 21000 PH 2019-10-26 1101 DF2LH         59  14     EA2XR         59  14     0
QSO: 21000 PH 2019-10-26 1103 DF2LH         59  14     YR8D          59  20     0
QSO: 21000 PH 2019-10-26 1104 DF2LH         59  14     HG4F          59  15     0
QSO: 21000 PH 2019-10-26 1105 DF2LH         59  14     ED1R          59  14     0
