START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: KD9MS
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: EM57mg
CLAIMED-SCORE: 142956
NAME: Craig Bradley
OPERATORS: KD9MS
CLUB: Society of Midwest Contesters
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: Everything seemed broken, until Sunday! Then it was fun!
QSO:  7222 PH 2019-10-26 0000 KD9MS         59  4      V47T          59  08
QSO:  7240 PH 2019-10-26 0001 KD9MS         59  4      K2ADA         59  05
QSO:  7208 PH 2019-10-26 0004 KD9MS         59  4      KP4/KA1R      59  08
QSO:  7202 PH 2019-10-26 0007 KD9MS         59  4      KP2M          59  08
QSO: 14191 PH 2019-10-26 0022 KD9MS         59  4      V3M           59  07
QSO: 14181 PH 2019-10-26 0029 KD9MS         59  4      CE2LR         59  12
QSO: 14200 PH 2019-10-26 0045 KD9MS         59  4      HC0E          59  10
QSO: 14223 PH 2019-10-26 0048 KD9MS         59  4      LU3MCJ        59  13
QSO: 14230 PH 2019-10-26 0050 KD9MS         59  4      LU9MBY        59  13
QSO:  3778 PH 2019-10-26 0055 KD9MS         59  4      VE3JM         59  04
QSO:  3760 PH 2019-10-26 0150 KD9MS         59  4      CF3M          59  04
QSO:  7171 PH 2019-10-26 0223 KD9MS         59  4      HP3AK         59  07
QSO: 21321 PH 2019-10-26 1430 KD9MS         59  4      CR6K          59  14
QSO: 21319 PH 2019-10-26 1431 KD9MS         59  4      IR4M          59  15
QSO: 21317 PH 2019-10-26 1435 KD9MS         59  4      EA5KL         59  14
QSO: 21310 PH 2019-10-26 1453 KD9MS         59  4      EA2CCG        59  14
QSO: 21291 PH 2019-10-26 1454 KD9MS         59  4      9A2U          59  15
QSO: 21306 PH 2019-10-26 1458 KD9MS         59  4      HK3C          59  09
QSO: 21306 PH 2019-10-26 1606 KD9MS         59  4      PX2A          59  11
QSO: 21301 PH 2019-10-26 1610 KD9MS         59  4      HC0E          59  10
QSO:  7131 PH 2019-10-27 0634 KD9MS         59  4      CR6T          59  14
QSO:  3764 PH 2019-10-27 0642 KD9MS         59  4      D4C           59  35
QSO:  7155 PH 2019-10-27 0645 KD9MS         59  4      ZW8T          59  11
