START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: EU6AA
LOCATION: DX
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CLAIMED SCORE: 13790
CREATED-BY: UR5EQF log v.3.31-47
NAME: Victor Kostyuk
SOAPBOX: TRX: FT-840, Pwr - 100W,  Ant: Delata Loop 168m
QSO:  7000 RY 2015-04-04 1709 EU6AA         599 001    S51CK         599 044   
QSO:  7000 RY 2015-04-04 1711 EU6AA         599 002    UR5IHD        599 027   
QSO:  7000 RY 2015-04-04 1712 EU6AA         599 003    I3PXN         599 029   
QSO:  7000 RY 2015-04-04 1713 EU6AA         599 004    UT2GA         599 029
QSO:  7000 RY 2015-04-04 1714 EU6AA         599 005    YL3CU         599 038   
QSO:  7000 RY 2015-04-04 1715 EU6AA         599 006    9A6A          599 049   
QSO:  7000 RY 2015-04-04 1716 EU6AA         599 007    OK1MSP        599 037   
QSO:  7000 RY 2015-04-04 1717 EU6AA         599 008    DH8WR         599 030   
QSO:  7000 RY 2015-04-04 1718 EU6AA         599 009    YP5A          599 043   
QSO:  7000 RY 2015-04-04 1721 EU6AA         599 010    OK2UHP        599 025
QSO: 14000 RY 2015-04-05 0422 EU6AA         599 011    RU9AZ         599 079
QSO:  7000 RY 2015-04-05 0426 EU6AA         599 012    RC7C          599 148   
QSO:  7000 RY 2015-04-05 0428 EU6AA         599 013    RK3PWR        599 192 
QSO:  7000 RY 2015-04-05 0428 EU6AA         599 014    R3AQ          599 036
QSO:  7000 RY 2015-04-05 0429 EU6AA         599 015    RT3P          599 160
QSO:  7000 RY 2015-04-05 0430 EU6AA         599 016    S50XX         599 140
QSO:  7000 RY 2015-04-05 0431 EU6AA         599 017    ED2V          599 N     
QSO:  7000 RY 2015-04-05 0433 EU6AA         599 018    YW5T          599 194   
QSO:  7000 RY 2015-04-05 0435 EU6AA         599 019    4L1BR         599 123   
QSO:  7000 RY 2015-04-05 0436 EU6AA         599 020    ED2C          599 VI
QSO:  7000 RY 2015-04-05 0437 EU6AA         599 021    EA1AR         599 AV
QSO:  7000 RY 2015-04-05 0439 EU6AA         599 022    G0HDV         599 240   
QSO:  7000 RY 2015-04-05 0440 EU6AA         599 023    ED3Y          599 GI
QSO:  7000 RY 2015-04-05 0441 EU6AA         599 024    F5OAM         599 207   
QSO:  7000 RY 2015-04-05 0442 EU6AA         599 025    RX6BS         599 096 
QSO:  7000 RY 2015-04-05 0459 EU6AA         599 026    DL3DRN        599 149
QSO:  7000 RY 2015-04-05 0501 EU6AA         599 027    YL2CI         599 335
QSO:  7000 RY 2015-04-05 0504 EU6AA         599 028    RW3SY         599 170
QSO: 14000 RY 2015-04-05 0507 EU6AA         599 029    FG1PP         599 109   
QSO: 14000 RY 2015-04-05 0511 EU6AA         599 030    UT2IZ         599 414   
QSO: 14000 RY 2015-04-05 0512 EU6AA         599 031    ED5FL         599 A     
QSO: 14000 RY 2015-04-05 0513 EU6AA         599 032    SV2BFN        599 246   
QSO: 14000 RY 2015-04-05 0515 EU6AA         599 033    IT9PZM        599 175   
QSO: 14000 RY 2015-04-05 0525 EU6AA         599 034    RC9F          599 027   
