START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: ED3Y
CLUB: 
CONTEST: EA-RTTY
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 135374
OPERATORS: EA3EGB
NAME: Manel Lopez
CREATED-BY: WinURECon 3.12 (Windows XP)
QSO: 28000 RY 2015-04-04 1649 ED3Y          599 GI     WB8BZK        599 019
QSO: 28000 RY 2015-04-04 1656 ED3Y          599 GI     KN3A          599 004
QSO: 28000 RY 2015-04-04 1701 ED3Y          599 GI     KA1C          599 002
QSO: 28000 RY 2015-04-04 1704 ED3Y          599 GI     W4CU          599 015
QSO: 28000 RY 2015-04-04 1705 ED3Y          599 GI     KB3LIX        599 021
QSO: 28000 RY 2015-04-04 1708 ED3Y          599 GI     K6HGF         599 019
QSO: 28000 RY 2015-04-04 1709 ED3Y          599 GI     W3FIZ         599 044
QSO: 28000 RY 2015-04-04 1711 ED3Y          599 GI     K9OM          599 077
QSO: 28000 RY 2015-04-04 1713 ED3Y          599 GI     VE3FH         599 029
QSO: 28000 RY 2015-04-04 1716 ED3Y          599 GI     N1MD          599 033
QSO: 28000 RY 2015-04-04 1717 ED3Y          599 GI     KD5J          599 009
QSO: 28000 RY 2015-04-04 1718 ED3Y          599 GI     KE8M          599 030
QSO: 28000 RY 2015-04-04 1722 ED3Y          599 GI     VE2EBK        599 011
QSO: 28000 RY 2015-04-04 1730 ED3Y          599 GI     W9BU          599 007
QSO: 28000 RY 2015-04-04 1734 ED3Y          599 GI     NX8G          599 054
QSO: 28000 RY 2015-04-04 1737 ED3Y          599 GI     VE2QV         599 017
QSO: 28000 RY 2015-04-04 1738 ED3Y          599 GI     AC4ZM         599 021
QSO: 28000 RY 2015-04-04 1740 ED3Y          599 GI     NX5O          599 044
QSO: 28000 RY 2015-04-04 1747 ED3Y          599 GI     EA8DED        599 TF
QSO: 28000 RY 2015-04-04 1750 ED3Y          599 GI     EA5GX         599 CS
QSO: 28000 RY 2015-04-04 1753 ED3Y          599 GI     YV1KK         599 142
