START-OF-LOG: 2.0
CATEGORY: Multi operator
CONTEST: WAG
SPECIFIC: F17
CALLSIGN: DF0FFH
CLUB: DARC
CLAIMED-SCORE: 270408
OPERATORS: DL3CB DL7FL DO1HYL DG4FCJ DL1LBX DG3FH DH1TZ DL5ML DF0FFH DL5FH DK8FA
CREATED-BY: N1MM Logger+ 1.0.6846.0, modified by DXHF upload.
QSO: 14273 PH 2017-10-21 1503 DF0FFH        59  F17  UX3IT         59  002      1
QSO:  7023 CW 2017-10-21 1505 DF0FFH        599 F17  S57DX         599 004      1
QSO:  7023 CW 2017-10-21 1509 DF0FFH        599 F17  DL3GA         599 A04      1
QSO: 14273 PH 2017-10-21 1512 DF0FFH        59  F17  DL2SWR        59  V13      1
QSO: 14246 PH 2017-10-21 1516 DF0FFH        59  F17  DA0WFF        59  O39      1
QSO: 21024 CW 2017-10-21 1518 DF0FFH        599 F17  LZ1QN         599 036      1
QSO: 14217 PH 2017-10-21 1518 DF0FFH        59  F17  YT2ISM        59  038      1
QSO: 14147 PH 2017-10-21 1521 DF0FFH        59  F17  EA2WD         59  011      1
QSO: 21022 CW 2017-10-21 1521 DF0FFH        599 F17  CR3W          599 034      1
QSO: 14183 PH 2017-10-21 1522 DF0FFH        59  F17  ER3CT         59  027      1
QSO: 21010 CW 2017-10-21 1525 DF0FFH        599 F17  4X0A          599 40       1
QSO: 14244 PH 2017-10-21 1526 DF0FFH        59  F17  SM2S          59  017      1
QSO: 14247 PH 2017-10-21 1527 DF0FFH        59  F17  OF6MW         59  025      1
QSO: 21018 CW 2017-10-21 1527 DF0FFH        599 F17  N2IC          599 18       1
QSO: 21013 CW 2017-10-21 1529 DF0FFH        599 F17  DL1ZAL        599 NM       1
QSO: 14238 PH 2017-10-21 1529 DF0FFH        59  F17  DR1D          59  G20      1
QSO: 21014 CW 2017-10-21 1530 DF0FFH        599 F17  VE1OP         599 66       1
QSO: 14207 PH 2017-10-21 1531 DF0FFH        59  F17  LZ3ZZ         59  067      1
QSO: 21016 CW 2017-10-21 1533 DF0FFH        599 F17  CT1DRB        599 038      1
QSO: 14254 PH 2017-10-21 1534 DF0FFH        59  F17  EA7EU         59  005      1
QSO: 21022 CW 2017-10-21 1535 DF0FFH        599 F17  OK1HEH        599 019      1
QSO: 14257 PH 2017-10-21 1535 DF0FFH        59  F17  IZ8YAA        59  007      1
QSO: 14262 PH 2017-10-21 1536 DF0FFH        59  F17  DD2ML         59  C15      1
QSO: 21028 CW 2017-10-21 1540 DF0FFH        599 F17  CE2AWW        599 000      1
QSO: 28029 CW 2017-10-21 1541 DF0FFH        599 F17  CE5ASF        599 002      1
QSO: 14199 PH 2017-10-21 1543 DF0FFH        59  F17  DM3VL         59  S07      1
QSO: 14188 PH 2017-10-21 1545 DF0FFH        59  F17  DJ5AN         59  I08      1
QSO: 14171 PH 2017-10-21 1547 DF0FFH        59  F17  DF0RW         59  R17      1
QSO: 14165 PH 2017-10-21 1548 DF0FFH        59  F17  TA4RC         59  007      1
QSO: 14153 PH 2017-10-21 1549 DF0FFH        59  F17  LZ3CC         59  031      1
QSO: 14162 PH 2017-10-21 1550 DF0FFH        59  F17  SV8/DK3SJ     59  006      1
QSO: 14182 PH 2017-10-21 1551 DF0FFH        59  F17  SZ1A          59  052      1
QSO: 14266 PH 2017-10-21 1554 DF0FFH        59  F17  DL0AH         59  F01      1
QSO: 14246 PH 2017-10-21 1558 DF0FFH        59  F17  YO3KST        59  012      1
QSO:  7154 PH 2017-10-21 1602 DF0FFH        59  F17  IZ2FOS        59  033      1
QSO:  7161 PH 2017-10-21 1604 DF0FFH        59  F17  YL3CW         59  042      1
QSO:  7169 PH 2017-10-21 1606 DF0FFH        59  F17  5Q4X          59  084      1
QSO:  7021 CW 2017-10-21 1609 DF0FFH        599 F17  HA7SBQ        599 29       1
QSO:  7163 PH 2017-10-21 1626 DF0FFH        59  F17  N6AG          59  000      1
QSO:  7163 PH 2017-10-21 1628 DF0FFH        59  F17  LY0N          59  59137    1
QSO:  7163 PH 2017-10-21 1635 DF0FFH        59  F17  DK0DI         59  F76      1
QSO:  7166 PH 2017-10-21 1639 DF0FFH        59  F17  O6MW          59  132      1
QSO:  3529 CW 2017-10-21 1650 DF0FFH        599 F17  ON4PQ         599 017      1
QSO:  3522 CW 2017-10-21 1653 DF0FFH        599 F17  DO1AYJ        599 X22      1
QSO:  3522 CW 2017-10-21 1657 DF0FFH        599 F17  OK1UZ         599 51       1
QSO:  7163 PH 2017-10-21 1657 DF0FFH        59  F17  OG2T          59  345      1
QSO:  3521 CW 2017-10-21 1657 DF0FFH        599 F17  OH1FDS        599 000      1
