START-OF-LOG: 3.0
CATEGORY: Single operator, CW, low power
CONTEST: WAG
SPECIFIC: I40
CALLSIGN: DL1PQ
LOCATION: DX
CLAIMED-SCORE: 27468
CREATED-BY: HAM OFFICE 5  REL. 9.7B HTTP://WWW.HAMOFFICE.DE, modified by DXHF upload.
CLUB: DARC
OPERATORS: DL1PQ
QSO: 21000 CW  2017-10-21 1504 DL1PQ 599 I40               HZ1FI        599 007
QSO: 14000 CW  2017-10-21 1508 DL1PQ 599 I40               SV1BJW       599 006
QSO: 14000 CW  2017-10-21 1510 DL1PQ 599 I40               R7AW         599 010
QSO: 14000 CW  2017-10-21 1511 DL1PQ 599 I40               LZ3ZZ        599 023
QSO: 14000 CW  2017-10-21 1514 DL1PQ 599 I40               IT9RZU       599 021
QSO: 14000 CW  2017-10-21 1515 DL1PQ 599 I40               RA3VX        599 009
QSO: 14000 CW  2017-10-21 1516 DL1PQ 599 I40               YT1A         599 020
QSO: 14000 CW  2017-10-21 1521 DL1PQ 599 I40               EA5/DK5IM    599 012
QSO: 14000 CW  2017-10-21 1524 DL1PQ 599 I40               9A3VM        599 025
QSO: 21000 CW  2017-10-21 1530 DL1PQ 599 I40               PY4HO        599 047
QSO: 21000 CW  2017-10-21 1535 DL1PQ 599 I40               KJ9C         599 045
QSO: 21000 CW  2017-10-21 1541 DL1PQ 599 I40               N2IC         599 045
QSO: 21000 CW  2017-10-21 1543 DL1PQ 599 I40               K3SV         599 016
QSO: 21000 CW  2017-10-21 1544 DL1PQ 599 I40               N4BP         599 075
QSO: 21000 CW  2017-10-21 1545 DL1PQ 599 I40               LZ1QN        599 078
QSO: 14000 CW  2017-10-21 1552 DL1PQ 599 I40               LZ1GE        599 044
QSO: 14000 CW  2017-10-21 1555 DL1PQ 599 I40               EA1XT        599 079
QSO: 14000 CW  2017-10-21 1601 DL1PQ 599 I40               EA4FL        599 058
QSO: 7000  CW  2017-10-21 1604 DL1PQ 599 I40               SD6M         599 039
QSO: 21000 CW  2017-10-21 1617 DL1PQ 599 I40               P40EU        599 205
