START-OF-LOG: 3.0
CATEGORY: Single operator, mixed, high power
CONTEST: WAG
SPECIFIC: B26
CALLSIGN: DK2MC
LOCATION: DX
CLAIMED-SCORE: 14053
CREATED-BY: HAM OFFICE 5  REL. 9.7E HTTP://WWW.HAMOFFICE.DE, modified by DXHF upload.
CLUB: DARC
OPERATORS: DK2MC
QSO: 14000 PH  2017-10-21 1505 DK2MC 59  B26               EI88WAW      59  000
QSO: 14000 PH  2017-10-21 1506 DK2MC 59  B26               F6DRP        59  007
QSO: 14000 PH  2017-10-21 1507 DK2MC 59  B26               R2AB         59  008
QSO: 14000 PH  2017-10-21 1512 DK2MC 59  B26               EI8IU        59  021
QSO: 14000 PH  2017-10-21 1513 DK2MC 59  B26               RW3XZ        59  013
QSO: 7000  PH  2017-10-21 1516 DK2MC 59  B26               DK2YL        59  Q05
QSO: 7000  PH  2017-10-21 1517 DK2MC 59  B26               DL4VCV       59  Q11
QSO: 7000  PH  2017-10-21 1519 DK2MC 59  B26               DM5SB        59  S50
QSO: 7000  PH  2017-10-21 1522 DK2MC 59  B26               F4FTA        59  007
QSO: 7000  PH  2017-10-21 1523 DK2MC 59  B26               5Q4X         59  038
QSO: 7000  PH  2017-10-21 1523 DK2MC 59  B26               PA9M         59  042
QSO: 7000  PH  2017-10-21 1527 DK2MC 59  B26               DK0OD        59  C06
QSO: 3500  PH  2017-10-21 1530 DK2MC 59  B26               DR1B         59  I02
QSO: 3500  PH  2017-10-21 1531 DK2MC 59  B26               DA0YL        59  YL
QSO: 3500  PH  2017-10-21 1533 DK2MC 59  B26               DF0KF        59  F72
QSO: 3500  PH  2017-10-21 1535 DK2MC 59  B26               DR25MDK      59  25MDK
QSO: 3500  PH  2017-10-21 1542 DK2MC 59  B26               DL0IKT       59  S09
QSO: 3500  PH  2017-10-21 1543 DK2MC 59  B26               DL7ACN       59  A22
QSO: 3500  PH  2017-10-21 1544 DK2MC 59  B26               DL0PS        59  N14
QSO: 3500  PH  2017-10-21 1545 DK2MC 59  B26               DA0YL        59  YL
QSO: 3500  PH  2017-10-21 1547 DK2MC 59  B26               DO1UKR       59  E15
QSO: 3500  PH  2017-10-21 1554 DK2MC 59  B26               DL4MA        59  X21
QSO: 3500  PH  2017-10-21 1557 DK2MC 59  B26               PA4HM        59  030
QSO: 3500  PH  2017-10-21 1559 DK2MC 59  B26               DO3TMM       59  A05
QSO: 3500  PH  2017-10-21 1602 DK2MC 59  B26               DL0PE        59  70OVH
QSO: 3500  PH  2017-10-21 2027 DK2MC 59  B26               DK0TU        59  D01
QSO: 3500  PH  2017-10-21 2030 DK2MC 59  B26               DL0FA/P      59  H07
QSO: 3500  PH  2017-10-21 2030 DK2MC 59  B26               DM5B         59  Y26
QSO: 3500  PH  2017-10-21 2032 DK2MC 59  B26               DL5DTG       59  S07
QSO: 3500  PH  2017-10-21 2034 DK2MC 59  B26               DL4RCE       59  U14
QSO: 3500  PH  2017-10-21 2035 DK2MC 59  B26               DL4LAB       59  E13
