START-OF-LOG:  2.0
CATEGORY: Single-OP low
CONTEST: WAE SSB
CREATED-BY:    CT Version 10.02.008, modified by DXHF upload.
CALLSIGN: YL2PP
CLUB:          Latvian Contest Club
CLAIMED-SCORE: 1632
OPERATORS:
QTC: 21000 PH 2017-09-09 1220 YL2PP         99/2       9K2HN         1203 OK7N          002
QTC: 21000 PH 2017-09-09 1220 YL2PP         99/2       9K2HN         1204 IZ0PAU        001
QTC: 14000 PH 2017-09-10 0713 YL2PP         195/8      9K2HN         0652 SV2HVZ        002
QTC: 14000 PH 2017-09-10 0713 YL2PP         195/8      9K2HN         0654 DO4OD         032
QTC: 14000 PH 2017-09-10 0713 YL2PP         195/8      9K2HN         0655 F4FQY         014
QTC: 14000 PH 2017-09-10 0713 YL2PP         195/8      9K2HN         0656 DK6MP         044
QTC: 14000 PH 2017-09-10 0713 YL2PP         195/8      9K2HN         0656 DG1HXJ        006
QTC: 14000 PH 2017-09-10 0713 YL2PP         195/8      9K2HN         0657 YO2LXW        022
QTC: 14000 PH 2017-09-10 0713 YL2PP         195/8      9K2HN         0657 LY5T          037
QTC: 14000 PH 2017-09-10 0713 YL2PP         195/8      9K2HN         0700 EA5IJG        052
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0605 RA3TT         002
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0609 OK1JBL        005
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0609 RU5TT         003
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0610 YL3GND/P      001
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0613 SP9FMP        053
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0615 SP6DVP        043
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0617 HA9MDN        001
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0629 DM4EE         004
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0631 DF0IC         025
QTC: 14000 PH 2017-09-10 0642 YL2PP         65/10      YM7KA         0631 ER1JA         004
QSO: 21000 PH 2017-09-09 1204 YL2PP          59 1      9K2HN         59  600    0
QSO: 14000 PH 2017-09-09 1358 YL2PP          59 2      JE6RPM        59  214    0
QSO: 14000 PH 2017-09-09 1401 YL2PP          59 3      BD7DT         59  044    0
QSO: 14000 PH 2017-09-09 1402 YL2PP          59 4      RW9QA         59  045    0
QSO: 14000 PH 2017-09-09 1403 YL2PP          59 5      P3X           59  476    0
QSO: 14000 PH 2017-09-09 1405 YL2PP          59 6      CR3W          59  667    0
QSO: 14000 PH 2017-09-09 1409 YL2PP          59 7      RF9C          59  140    0
QSO: 14000 PH 2017-09-09 1416 YL2PP          59 8      RM9RZ         59  171    0
QSO: 14000 PH 2017-09-09 1419 YL2PP          59 9      H2X           59  338    0
QSO: 14000 PH 2017-09-09 1422 YL2PP          59 10     BD3CB         59  063    0
QSO: 14000 PH 2017-09-09 1426 YL2PP          59 11     JH1EAQ        59  181    0
QSO: 14000 PH 2017-09-09 1427 YL2PP          59 12     JH4UTP        59  116    0
QSO: 14000 PH 2017-09-09 1451 YL2PP          59 13     HZ1FS         59  516    0
QSO: 14000 PH 2017-09-09 1500 YL2PP          59 14     E2A           59  114    0
QSO: 14000 PH 2017-09-09 1505 YL2PP          59 15     7Z1SJ         59  284    0
QSO: 14000 PH 2017-09-09 1520 YL2PP          59 16     4X6FR         59  658    0
QSO: 14000 PH 2017-09-09 1525 YL2PP          59 17     9K2HN         59  851    0
QSO: 14000 PH 2017-09-09 1656 YL2PP          59 18     HZ1TL         59  194    0
QSO: 14000 PH 2017-09-09 1700 YL2PP          59 19     CT9/OM3BH     59  003    0
QSO: 14000 PH 2017-09-09 1707 YL2PP          59 20     VU2RBI        59  128    0
QSO: 14000 PH 2017-09-10 0612 YL2PP          59 21     YM7KA         59  659    0
QSO: 14000 PH 2017-09-10 0614 YL2PP          59 22     UN3M          59  267    0
QSO: 14000 PH 2017-09-10 0617 YL2PP          59 23     4L2M          59  486    0
QSO: 14000 PH 2017-09-10 0623 YL2PP          59 24     TA3AWS        59  293    0
QSO: 14000 PH 2017-09-10 0628 YL2PP          59 25     4X0T          59  446    0
QSO: 14000 PH 2017-09-10 0649 YL2PP          59 26     YM7KA         59  659    0
QSO: 14000 PH 2017-09-10 1419 YL2PP          59 27     VA2WA         59  076    0
QSO: 14000 PH 2017-09-10 1422 YL2PP          59 28     JG1VGX        59  376    0
QSO: 14000 PH 2017-09-10 1534 YL2PP          59 29     HS8JCV        59  216    0
END-OF-LOG:
