START-OF-LOG: 2.0
CATEGORY: Multi-OP
CONTEST: WAE SSB
SPECIFIC: C25
CREATED-BY: Win-Test 4.24.0, modified by DXHF upload.
CALLSIGN: DQ5M
CLAIMED-SCORE: 782782
OPERATORS: DC2CL DF4MAA DG5LW DG8MG DJ3MY DK5MB DK6SP DL1MAJ DL3BY DO4DXA
CLUB: Bavarian Contest Club
QSO:  7152 PH 2017-09-09 0000 DQ5M          59  0001   YM7KA         59  001
QSO:  7152 PH 2017-09-09 0000 DQ5M          59  0002   PY5EG         59  001
QSO:  3627 PH 2017-09-09 0005 DQ5M          59  0003   HZ1FS         59  003
QSO:  7155 PH 2017-09-09 0006 DQ5M          59  0004   CN2ZC         59  003
QSO:  7165 PH 2017-09-09 0009 DQ5M          59  0005   9K2HN         59  024
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0003 DJ7SH          005
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0003 OM2WL          002
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0005 SN7D           003
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0005 IZ3NYG         003
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0006 DL8R           003
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0006 SV3HHH         002
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0006 IZ8GNR         004
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0006 OK1DPU         001
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0007 DK0FC          001
QTC:  7165 PH 2017-09-09 0009 DQ5M          002/10     9K2HN         0007 UA7K           003
QSO:  7169 PH 2017-09-09 0011 DQ5M          59  0006   P3X           59  020
QSO:  7149 PH 2017-09-09 0014 DQ5M          59  0007   ZW8T          59  016
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0001 SV3HHH         001
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0003 IZ8GNR         002
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0003 S57DX          003
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0004 DL8R           001
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0006 YQ6A           002
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0006 IZ3NYB         004
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0007 DL3RAR         001
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0008 DL1DAW         013
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0008 DF0HQ          010
QTC:  7149 PH 2017-09-09 0015 DQ5M          001/10     ZW8T          0009 DP4X           002
QSO:  3790 PH 2017-09-09 0016 DQ5M          59  0008   CR3W          59  003
QSO:  7144 PH 2017-09-09 0019 DQ5M          59  0009   KD4D          59  013
QSO:  7152 PH 2017-09-09 0020 DQ5M          59  0010   PY2NY         59  002
QSO:  7152 PH 2017-09-09 0022 DQ5M          59  0011   PJ4DX         59  009
QTC:  7152 PH 2017-09-09 0022 DQ5M          001/8      PJ4DX         0001 OM2VL          001
QTC:  7152 PH 2017-09-09 0022 DQ5M          001/8      PJ4DX         0002 HG7T           005
QTC:  7152 PH 2017-09-09 0022 DQ5M          001/8      PJ4DX         0003 YU1XA          003
QTC:  7152 PH 2017-09-09 0022 DQ5M          001/8      PJ4DX         0009 LZ5K           016
QTC:  7152 PH 2017-09-09 0022 DQ5M          001/8      PJ4DX         0010 IZ8GNR         006
QTC:  7152 PH 2017-09-09 0022 DQ5M          001/8      PJ4DX         0016 IZ3VRN         003
QTC:  7152 PH 2017-09-09 0022 DQ5M          001/8      PJ4DX         0018 TM5N           013
QTC:  7152 PH 2017-09-09 0022 DQ5M          001/8      PJ4DX         0019 UA7K           020
QSO:  7152 PH 2017-09-09 0026 DQ5M          59  0012   HZ1FS         59  013
QSO:  7167 PH 2017-09-09 0031 DQ5M          59  0013   5T2AI         59  008
QSO:  7159 PH 2017-09-09 0032 DQ5M          59  0014   PY1VOY        59  008
QSO:  7159 PH 2017-09-09 0033 DQ5M          59  0015   PS7RSA        59  005
QSO:  3710 PH 2017-09-09 0034 DQ5M          59  0016   P3X           59  046
QSO:  7087 PH 2017-09-09 0034 DQ5M          59  0017   PY1GQ         59  009
QTC:  7087 PH 2017-09-09 0034 DQ5M          001/8      PY1GQ         0008 UA7K           004
QTC:  7087 PH 2017-09-09 0034 DQ5M          001/8      PY1GQ         0010 IZ3NYG         007
