START-OF-LOG: 3.0
CREATED-BY: GenLog v7.44
LOCATION: DX
CONTEST: CQ-WW-SSB
CALLSIGN: YC1PEI
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CLAIMED-SCORE: 6811
OPERATORS: YC1PEI
NAME: Purnama Hidayat
SOAPBOX: THIS IS MY FIRST CQWW-SSB CONTEST.  I WAS VERY EXITED.
QSO: 21000 PH 2010-10-30 0102 YC1PEI        59  28     DU9RG         59  27
QSO: 21000 PH 2010-10-30 0108 YC1PEI        59  28     BY3MM         59  24
QSO: 21000 PH 2010-10-30 0110 YC1PEI        59  28     V63CJB        59  27
QSO: 21000 PH 2010-10-30 0115 YC1PEI        59  28     BV4VQ         59  24
QSO: 21000 PH 2010-10-30 0117 YC1PEI        59  28     JA6RCH        59  25
QSO: 21000 PH 2010-10-30 0119 YC1PEI        59  28     AL7FD         59  01
QSO: 21000 PH 2010-10-30 0120 YC1PEI        59  28     JA0IOF        59  25
QSO: 21000 PH 2010-10-30 0120 YC1PEI        59  28     DS1QKI        59  25
QSO: 21000 PH 2010-10-30 0122 YC1PEI        59  28     KH7CW         59  31
QSO: 21000 PH 2010-10-30 0134 YC1PEI        59  28     8N5A          59  25
QSO: 21000 PH 2010-10-30 0137 YC1PEI        59  28     VR2KLN        59  24
QSO: 21000 PH 2010-10-30 0143 YC1PEI        59  28     JA7BME        59  25
QSO: 21000 PH 2010-10-30 0144 YC1PEI        59  28     JE1RXJ        59  25
QSO: 21000 PH 2010-10-30 0151 YC1PEI        59  28     JR1CBC        59  25
QSO: 21000 PH 2010-10-30 0153 YC1PEI        59  28     BX5AA         59  24
QSO: 21000 PH 2010-10-30 0156 YC1PEI        59  28     B7P           59  24
QSO: 21000 PH 2010-10-30 0158 YC1PEI        59  28     BA7IO         59  24
QSO: 21000 PH 2010-10-30 0203 YC1PEI        59  28     JO3DDD        59  25
QSO: 21000 PH 2010-10-30 0215 YC1PEI        59  28     JF2FIU        59  25
QSO: 21000 PH 2010-10-30 1309 YC1PEI        59  28     EA3HCY        59  14
QSO: 21000 PH 2010-10-30 1319 YC1PEI        59  28     V26B          59  08
QSO: 21000 PH 2010-10-30 1338 YC1PEI        59  28     3WIM          59  26
QSO:  7000 PH 2010-10-30 1446 YC1PEI        59  28     N7BT          59  03
QSO:  7000 PH 2010-10-30 1500 YC1PEI        59  28     RW9USA        59  18
QSO:  7000 PH 2010-10-30 1518 YC1PEI        59  28     N9RV          59  04
QSO:  7000 PH 2010-10-30 1537 YC1PEI        59  28     B7P           59  24
QSO:  7000 PH 2010-10-30 1544 YC1PEI        59  28     ZS6HA         59  38
QSO:  7000 PH 2010-10-30 1550 YC1PEI        59  28     DV9X0         59  27
QSO:  7000 PH 2010-10-30 1557 YC1PEI        59  28     W7WA          59  03
QSO:  7000 PH 2010-10-30 1604 YC1PEI        59  28     DX1M          59  27
QSO:  7000 PH 2010-10-30 1612 YC1PEI        59  28     JA0JHA        59  25
QSO:  7000 PH 2010-10-30 1623 YC1PEI        59  28     VK6NC         59  29
QSO:  7000 PH 2010-10-30 1633 YC1PEI        59  28     VK4KW         59  30
QSO:  7000 PH 2010-10-30 1653 YC1PEI        59  28     DX1DBT        59  27
QSO:  7000 PH 2010-10-30 1715 YC1PEI        59  28     E21YDP        59  26
QSO: 21000 PH 2010-10-31 0009 YC1PEI        59  28     BT4EXPO       59  24
QSO: 21000 PH 2010-10-31 0017 YC1PEI        59  28     B1Z           59  24
QSO: 21000 PH 2010-10-31 0020 YC1PEI        59  28     DU1IVT        59  27
QSO: 21000 PH 2010-10-31 0022 YC1PEI        59  28     WA7NB         59  03
QSO: 21000 PH 2010-10-31 0025 YC1PEI        59  28     RC0F          59  19
QSO: 21000 PH 2010-10-31 0027 YC1PEI        59  28     JR1MQT        59  25
QSO: 21000 PH 2010-10-31 0028 YC1PEI        59  28     JA3YBK        59  25
QSO: 21000 PH 2010-10-31 0030 YC1PEI        59  28     BA4KP         59  24
QSO: 21000 PH 2010-10-31 0036 YC1PEI        59  28     N2IC          59  04
QSO: 21000 PH 2010-10-31 0042 YC1PEI        59  28     BG4WEN        59  24
QSO: 21000 PH 2010-10-31 0047 YC1PEI        59  28     B5A           59  24
QSO: 21000 PH 2010-10-31 0052 YC1PEI        59  28     HS0ZCW        59  26
QSO: 21000 PH 2010-10-31 0057 YC1PEI        59  28     DX1DBT        59  27
QSO: 21000 PH 2010-10-31 1316 YC1PEI        59  28     OT2A          59  14
QSO: 21000 PH 2010-10-31 1322 YC1PEI        59  28     SO8A          59  15
QSO: 21000 PH 2010-10-31 1334 YC1PEI        59  28     UU7J          59  14
QSO: 21000 PH 2010-10-31 1357 YC1PEI        59  28     F4EGD         59  14
QSO: 21000 PH 2010-10-31 1400 YC1PEI        59  28     TM7F          59  14
END-OF-LOG:
