START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.4.0
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: GM0B
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 9190300
OPERATORS: MM0GPZ, GM0OQV, MM0BHX, GM0LIR, MM0FCM, GM0EGI, M0BUL, G0JJL,
OPERATORS: GM6VVG, GM0KMJ
CLUB: Mid Lanark Amateur Radio Society
NAME: Gordon Paterson
SOAPBOX: Another year and as always, terrible weather for CQWW SSB. The wind
SOAPBOX: broke the rotator on the 5 ele 20m monobander during Saturday morning.
SOAPBOX: It was spinning freely for a while, then we managed to anchor it in a
SOAPBOX: single direction before the rotator was replaced later on Saturday
SOAPBOX: afternoon. A problem on the 15m monobander on Sunday morning was the
SOAPBOX: other main problem that lost a couple of hours fixing it. However,
SOAPBOX: everyone thoroughly enjoyed the contest although we think we think we
SOAPBOX: should be in another category: MM/P. We arrive on a site on Wednesday
SOAPBOX: am and build the whole multi multi from scratch then tear it down
SOAPBOX: again on the Monday afterwards. Not many MM's can do that.  73 Gordon
SOAPBOX: MM0GPZ
QSO:  7000 PH 2010-10-30 0000 GM0B          59  14     VY2TT         59  05     0
QSO:  3773 PH 2010-10-30 0000 GM0B          59  14     DR5N          59  14     0
QSO:  3773 PH 2010-10-30 0000 GM0B          59  14     EI9E          59  14     0
QSO:  3773 PH 2010-10-30 0001 GM0B          59  14     DF6QV         59  14     0
QSO: 14200 PH 2010-10-30 0001 GM0B          59  14     K4ZW          59  05     0
QSO:  3773 PH 2010-10-30 0001 GM0B          59  14     RU1A          59  16     0
QSO:  7000 PH 2010-10-30 0002 GM0B          59  14     WY3P          59  05     0
QSO:  3773 PH 2010-10-30 0004 GM0B          59  14     9A7A          59  15     0
QSO:  3773 PH 2010-10-30 0004 GM0B          59  14     DR1A          59  14     0
QSO:  3773 PH 2010-10-30 0004 GM0B          59  14     ED1R          59  14     0
QSO:  3773 PH 2010-10-30 0004 GM0B          59  14     SN3R          59  15     0
QSO:  3773 PH 2010-10-30 0005 GM0B          59  14     OT2A          59  14     0
QSO:  3773 PH 2010-10-30 0006 GM0B          59  14     OM8A          59  15     0
QSO:  3773 PH 2010-10-30 0006 GM0B          59  14     TM7F          59  14     0
QSO:  1885 PH 2010-10-30 0006 GM0B          59  14     OK1NY         59  15     0
QSO:  3773 PH 2010-10-30 0007 GM0B          59  14     2E0BFJ        59  14     0
QSO:  7000 PH 2010-10-30 0007 GM0B          59  14     OE3K          59  15     0
QSO:  1881 PH 2010-10-30 0007 GM0B          59  14     OZ7A          59  14     0
QSO:  7000 PH 2010-10-30 0008 GM0B          59  14     IR2C          59  15     0
QSO:  7000 PH 2010-10-30 0008 GM0B          59  14     HA3NU         59  15     0
QSO: 14218 PH 2010-10-30 0009 GM0B          59  14     VE5ZX         59  04     0
QSO:  7000 PH 2010-10-30 0009 GM0B          59  14     IQ4Y          59  15     0
QSO:  1881 PH 2010-10-30 0009 GM0B          59  14     F5MUX         59  14     0
QSO: 21224 PH 2010-10-30 0010 GM0B          59  14     DR1A          59  14     0
QSO: 14218 PH 2010-10-30 0010 GM0B          59  14     TF2JB         59  40     0
QSO:  3773 PH 2010-10-30 0010 GM0B          59  14     GM2T          59  14     0
QSO: 14218 PH 2010-10-30 0010 GM0B          59  14     EI9JU         59  14     0
QSO:  1881 PH 2010-10-30 0011 GM0B          59  14     M0WLF         59  14     0
QSO:  3773 PH 2010-10-30 0011 GM0B          59  14     DR2RP         59  14     0
QSO: 14218 PH 2010-10-30 0011 GM0B          59  14     GM6NX         59  14     0
QSO:  7000 PH 2010-10-30 0012 GM0B          59  14     S51A          59  15     0
QSO:  3772 PH 2010-10-30 0012 GM0B          59  14     HG6N          59  15     0
QSO:  3772 PH 2010-10-30 0013 GM0B          59  14     G4PWA         59  14     0
QSO:  3772 PH 2010-10-30 0013 GM0B          59  14     PA1BDO        59  14     0
QSO: 14218 PH 2010-10-30 0014 GM0B          59  14     N0IJ          59  04     0
QSO:  3772 PH 2010-10-30 0014 GM0B          59  14     PA1W          59  14     0
QSO:  1881 PH 2010-10-30 0014 GM0B          59  14     ON7CD         59  14     0
QSO:  3772 PH 2010-10-30 0014 GM0B          59  14     EA3CI         59  14     0
QSO:  7000 PH 2010-10-30 0014 GM0B          59  14     S51F          59  15     0
QSO: 14218 PH 2010-10-30 0014 GM0B          59  14     VE3YN         59  04     0
QSO:  3772 PH 2010-10-30 0015 GM0B          59  14     OO7W          59  14     0
QSO:  1881 PH 2010-10-30 0015 GM0B          59  14     F6BNH         59  14     0
QSO: 14218 PH 2010-10-30 0016 GM0B          59  14     OZ7X          59  14     0
QSO:  3772 PH 2010-10-30 0016 GM0B          59  14     DL1PT         59  14     0
QSO:  3772 PH 2010-10-30 0016 GM0B          59  14     OL1X          59  15     0
QSO: 14218 PH 2010-10-30 0017 GM0B          59  14     K0PZ          59  04     0
QSO:  7000 PH 2010-10-30 0017 GM0B          59  14     YT8A          59  15     0
QSO:  3772 PH 2010-10-30 0017 GM0B          59  14     OH1TX         59  15     0
QSO:  3772 PH 2010-10-30 0018 GM0B          59  14     DL9DWD        59  14     0
QSO:  3772 PH 2010-10-30 0018 GM0B          59  14     OK2BEN        59  15     0
QSO:  3772 PH 2010-10-30 0019 GM0B          59  14     DF0DA         59  14     0
QSO:  7000 PH 2010-10-30 0019 GM0B          59  14     W4RM          59  05     0
QSO:  7000 PH 2010-10-30 0019 GM0B          59  14     ER0WW         59  16     0
QSO:  1881 PH 2010-10-30 0020 GM0B          59  14     UR5AS         59  16     0
QSO: 14218 PH 2010-10-30 0020 GM0B          59  14     N6NG          59  03     0
QSO:  7000 PH 2010-10-30 0021 GM0B          59  14     LN9Z          59  14     0
QSO:  7000 PH 2010-10-30 0022 GM0B          59  14     YT7R          59  15     0
QSO:  1881 PH 2010-10-30 0022 GM0B          59  14     SO6R          15  15     0
QSO:  7000 PH 2010-10-30 0022 GM0B          59  14     VE3EJ         59  04     0
QSO:  3772 PH 2010-10-30 0022 GM0B          59  14     S57RL         59  15     0
QSO:  7000 PH 2010-10-30 0023 GM0B          59  14     GM5X          59  14     0
QSO:  1881 PH 2010-10-30 0023 GM0B          59  14     GM4AGG        59  14     0
QSO:  3772 PH 2010-10-30 0023 GM0B          59  14     LY4T          59  15     0
QSO:  3772 PH 2010-10-30 0023 GM0B          59  14     UZ2M          59  16     0
QSO:  3772 PH 2010-10-30 0023 GM0B          59  14     DP6T          59  14     0
QSO:  3772 PH 2010-10-30 0024 GM0B          59  14     SN6Z          59  15     0
QSO:  7000 PH 2010-10-30 0024 GM0B          59  14     EA8CDI        59  33     0
QSO:  7000 PH 2010-10-30 0024 GM0B          59  14     IQ2MG         59  15     0
QSO:  3772 PH 2010-10-30 0024 GM0B          59  14     G3YBY         59  14     0
QSO:  7000 PH 2010-10-30 0025 GM0B          59  14     VC3A          59  04     0
QSO:  3772 PH 2010-10-30 0025 GM0B          59  14     DJ9MH         59  14     0
QSO:  7000 PH 2010-10-30 0025 GM0B          59  14     YU0T          59  15     0
QSO:  3772 PH 2010-10-30 0025 GM0B          59  14     AM3SSB        59  14     0
QSO:  1881 PH 2010-10-30 0026 GM0B          59  14     OH2BO         59  15     0
QSO:  1881 PH 2010-10-30 0026 GM0B          59  14     GM7A          59  14     0
QSO:  3772 PH 2010-10-30 0026 GM0B          59  14     GM6NX         59  14     0
QSO:  1881 PH 2010-10-30 0027 GM0B          59  14     UR4X          59  16     0
QSO:  7000 PH 2010-10-30 0027 GM0B          59  14     V26B          59  08     0
QSO:  1881 PH 2010-10-30 0027 GM0B          59  14     DP3E          59  14     0
QSO:  3772 PH 2010-10-30 0028 GM0B          59  14     SK6D          59  14     0
QSO:  1881 PH 2010-10-30 0029 GM0B          59  14     SN2K          59  15     0
QSO:  3772 PH 2010-10-30 0031 GM0B          59  14     F6TSZ         59  14     0
