START-OF-LOG: 3.0
LOCATION: CO
CALLSIGN: W0ETT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-TIME: 12-HOURS
CLAIMED-SCORE: 421063
CLUB: grand mesa contesters of colorado
CONTEST: CQ-WW-SSB
CREATED-BY: WriteLog V10.77H
NAME: Ken Anderson
OPERATORS: W0ETT
SOAPBOX: Now, that was a fun contest thanks to good conditions
SOAPBOX: and a lot of activity.  Even 10 meters cooperated  by
SOAPBOX: opening to SA on Sat. pm and again Sun. morning
SOAPBOX: and afternoon.   On 20m Sun. morning, the band to EU
SOAPBOX: was so busy that it seemed to have many layers of
SOAPBOX: DX to work.
SOAPBOX:
SOAPBOX: 73 Ken, W0ETT
SOAPBOX:
SOAPBOX: Rig:  IC756 pro3 with 100w to HF yagis and low band
SOAPBOX: verticals.
QSO: 21200 PH 2010-10-30 0003 W0ETT          59     04 JE7YSS         59     25
QSO: 21262 PH 2010-10-30 0010 W0ETT          59     04 KH6MB          59     31
QSO: 21269 PH 2010-10-30 0012 W0ETT          59     04 VK4HH          59     30
QSO: 21268 PH 2010-10-30 0013 W0ETT          59     04 KH6YR          59     31
QSO: 21280 PH 2010-10-30 0017 W0ETT          59     04 FO8RZ          59     32
QSO: 21285 PH 2010-10-30 0018 W0ETT          59     04 ZL1AIX         59     32
QSO: 21290 PH 2010-10-30 0018 W0ETT          59     04 LP1H           59     13
QSO: 21293 PH 2010-10-30 0020 W0ETT          59     04 KH7Y           59     31
QSO: 21300 PH 2010-10-30 0021 W0ETT          59     04 HC8A           59     10
QSO: 21327 PH 2010-10-30 0024 W0ETT          59     04 VK1CC          59     30
QSO: 21330 PH 2010-10-30 0024 W0ETT          59     04 WH7Z           59     31
QSO: 21335 PH 2010-10-30 0025 W0ETT          59     04 ZM4T           59     32
QSO: 21339 PH 2010-10-30 0026 W0ETT          59     04 ZL1BYZ         59     32
QSO: 21349 PH 2010-10-30 0028 W0ETT          59     04 JJ3YBB         59     25
QSO: 21361 PH 2010-10-30 0029 W0ETT          59     04 JA1OVD         59     25
QSO: 21400 PH 2010-10-30 0030 W0ETT          59     04 VK4MA          59     30
QSO: 21225 PH 2010-10-30 0031 W0ETT          59     04 YE2R           59     28
QSO: 21244 PH 2010-10-30 0032 W0ETT          59     04 VK3TDX         59     30
QSO: 21243 PH 2010-10-30 0033 W0ETT          59     04 ZL1T           59     32
QSO: 21228 PH 2010-10-30 0036 W0ETT          59     04 K5NA           59      4
QSO: 21253 PH 2010-10-30 0037 W0ETT          59     04 ZL3TE          59     32
QSO: 21284 PH 2010-10-30 0043 W0ETT          59     04 VK4WR          59     30
QSO: 21289 PH 2010-10-30 0044 W0ETT          59     04 VK2GGC         59     30
QSO: 21365 PH 2010-10-30 0048 W0ETT          59     04 VK4FJ          59     30
QSO: 14157 PH 2010-10-30 0051 W0ETT          59     04 W6YX           59      3
QSO: 14181 PH 2010-10-30 0053 W0ETT          59     04 KH7Q           59     31
QSO: 14187 PH 2010-10-30 0054 W0ETT          59     04 NH6JC          59     31
QSO: 14190 PH 2010-10-30 0054 W0ETT          59     04 XE1NVA         59      6
QSO: 14220 PH 2010-10-30 0103 W0ETT          59     04 LU1YY          59     13
QSO: 14225 PH 2010-10-30 0104 W0ETT          59     04 4B1B           59      6
QSO: 14236 PH 2010-10-30 0108 W0ETT          59     04 XR6T           59     12
QSO: 14244 PH 2010-10-30 0108 W0ETT          59     04 XE1BY          59      6
QSO: 14266 PH 2010-10-30 0110 W0ETT          59     04 JA7FTR         59     25
QSO: 14269 PH 2010-10-30 0111 W0ETT          59     04 JA7YRR         59     25
QSO: 14270 PH 2010-10-30 0113 W0ETT          59     04 4B2ANT         59      6
QSO: 14286 PH 2010-10-30 0115 W0ETT          59     04 CE4CT          59     12
QSO: 14296 PH 2010-10-30 0115 W0ETT          59     04 JA0FVU         59     25
QSO: 14304 PH 2010-10-30 0116 W0ETT          59     04 JG2KKG         59     25
QSO: 14306 PH 2010-10-30 0117 W0ETT          59     04 JA5APU         59     25
QSO: 14309 PH 2010-10-30 0118 W0ETT          59     04 JA1YPA         59     25
QSO: 14323 PH 2010-10-30 0118 W0ETT          59     04 JI2ZJS         59     25
QSO: 14328 PH 2010-10-30 0120 W0ETT          59     04 RZ0F           59     19
QSO: 14195 PH 2010-10-30 0122 W0ETT          59     04 VY1EO          59      1
QSO: 14228 PH 2010-10-30 0126 W0ETT          59     04 KH7CW          59     31
QSO: 14205 PH 2010-10-30 0133 W0ETT          59     04 AL9A           59      1
QSO: 14250 PH 2010-10-30 0138 W0ETT          59     04 KL7/N0HJZ      59      1
QSO: 14193 PH 2010-10-30 0222 W0ETT          59     04 ZM4T           59     32
QSO: 14221 PH 2010-10-30 0225 W0ETT          59     04 KH6MB          59     31
QSO:  7230 PH 2010-10-30 0243 W0ETT          59     04 VE7GL          59      3
QSO:  7265 PH 2010-10-30 0244 W0ETT          59     04 PJ4X           59      9
QSO:  7248 PH 2010-10-30 0246 W0ETT          59     04 PS2T           59     11
QSO:  7228 PH 2010-10-30 0300 W0ETT          59     04 TI0RC          59      7
QSO:  7200 PH 2010-10-30 0306 W0ETT          59     04 VE6EX          59      4
QSO:  7208 PH 2010-10-30 0307 W0ETT          59     04 TI5N           59      7
QSO:  7234 PH 2010-10-30 0310 W0ETT          59     04 OH8X           59     15
QSO:  7227 PH 2010-10-30 0317 W0ETT          59     04 VE7SV          59      3
QSO:  7213 PH 2010-10-30 0318 W0ETT          59     04 CE4CT          59     12
QSO:  7205 PH 2010-10-30 0319 W0ETT          59     04 K7RL           59      3
QSO:  7204 PH 2010-10-30 0321 W0ETT          59     04 ZF2AH          59      8
QSO:  7165 PH 2010-10-30 0329 W0ETT          59     04 ZW5B           59     11
QSO:  7140 PH 2010-10-30 0335 W0ETT          59     04 VE7SCC         59      3
QSO:  7262 PH 2010-10-30 0355 W0ETT          59     04 AA4V/VP9       59      5
QSO:  7216 PH 2010-10-30 0401 W0ETT          59     04 LT1F           59     13
QSO:  7200 PH 2010-10-30 0402 W0ETT          59     04 HK1T           59      9
QSO:  1850 PH 2010-10-30 0413 W0ETT          59     04 N6WM           59      3
QSO:  3686 PH 2010-10-30 0509 W0ETT          59     04 VE3JM          59      4
QSO:  3725 PH 2010-10-30 0512 W0ETT          59     04 VE5PV          59      4
QSO:  3674 PH 2010-10-30 0515 W0ETT          59     04 VE4EAR         59      4
QSO:  3678 PH 2010-10-30 0519 W0ETT          59     04 VC3A           59      4
QSO:  7217 PH 2010-10-30 0531 W0ETT          59     04 4B2S           59      6
QSO:  7235 PH 2010-10-30 0533 W0ETT          59     04 XE3N           59      6
QSO:  7196 PH 2010-10-30 0536 W0ETT          59     04 NP2KW          59      8
QSO:  7224 PH 2010-10-30 0540 W0ETT          59     04 PR7DZ          59     11
