START-OF-LOG: 3.0
CREATED-BY: Win-Test 3.24.0
CONTEST: CQ-WW-SSB
CALLSIGN: YL3DR
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 380688
OPERATORS:
CLUB: Latvian Contest Club
NAME: Aivars Purinsh
SOAPBOX: TRX: Yaesu FT-920, Acom1000, antennas:GAP Titan DX, W-735, HF Sloper
QSO:  7119 PH 2010-10-30 0334 YL3DR         59  15     I5FCK         59  15     0
QSO:  7119 PH 2010-10-30 0335 YL3DR         59  15     RT6A          59  16     0
QSO: 14246 PH 2010-10-30 0345 YL3DR         59  15     UP2L          59  17     0
QSO:  7119 PH 2010-10-30 0347 YL3DR         59  15     4O3A          59  15     0
QSO:  7119 PH 2010-10-30 0349 YL3DR         59  15     LZ9W          59  20     0
QSO:  7119 PH 2010-10-30 0350 YL3DR         59  15     RT4RO         59  16     0
QSO:  7119 PH 2010-10-30 0351 YL3DR         59  15     UA4W          59  16     0
QSO:  7119 PH 2010-10-30 0351 YL3DR         59  15     UP0L          59  17     0
QSO:  7119 PH 2010-10-30 0352 YL3DR         59  15     LZ5A          59  20     0
QSO:  7119 PH 2010-10-30 0352 YL3DR         59  15     UA4LCH        59  16     0
QSO:  7119 PH 2010-10-30 0354 YL3DR         59  15     TM1O          59  14     0
QSO:  3778 PH 2010-10-30 0401 YL3DR         59  15     DF0HQ         59  14     0
QSO:  3778 PH 2010-10-30 0401 YL3DR         59  15     DJ4PT         59  14     0
QSO:  3778 PH 2010-10-30 0402 YL3DR         59  15     OL7M          59  15     0
QSO:  3778 PH 2010-10-30 0403 YL3DR         59  15     SN3R          59  15     0
QSO:  3778 PH 2010-10-30 0404 YL3DR         59  15     RX3APM        59  16     0
QSO:  1847 PH 2010-10-30 0407 YL3DR         59  15     SK6D          59  14     0
QSO:  1847 PH 2010-10-30 0409 YL3DR         59  15     OH8X          59  15     0
QSO:  1847 PH 2010-10-30 0410 YL3DR         59  15     ES5G          59  15     0
QSO:  1847 PH 2010-10-30 0412 YL3DR         59  15     SO8R          59  15     0
QSO:  1847 PH 2010-10-30 0413 YL3DR         59  15     RM3F          59  16     0
QSO:  1847 PH 2010-10-30 0414 YL3DR         59  15     RU3DX         59  16     0
QSO:  1847 PH 2010-10-30 0417 YL3DR         59  15     DJ4PT         59  14     0
QSO:  1847 PH 2010-10-30 0420 YL3DR         59  15     HG6N          59  15     0
QSO:  1847 PH 2010-10-30 0422 YL3DR         59  15     OK1T          59  15     0
QSO:  1847 PH 2010-10-30 0423 YL3DR         59  15     DF0HQ         59  14     0
QSO:  1847 PH 2010-10-30 0428 YL3DR         59  15     ES5RW         59  15     0
QSO: 14246 PH 2010-10-30 0432 YL3DR         59  15     9K2K          59  21     0
QSO: 14246 PH 2010-10-30 0432 YL3DR         59  15     P3N           59  20     0
QSO: 14246 PH 2010-10-30 0434 YL3DR         59  15     RO9O          59  18     0
QSO: 14246 PH 2010-10-30 0435 YL3DR         59  15     UA9QCQ        59  17     0
QSO: 14246 PH 2010-10-30 0438 YL3DR         59  15     RA6GW         59  16     0
QSO: 14246 PH 2010-10-30 0439 YL3DR         59  15     UA6UDV        59  16     0
QSO: 14246 PH 2010-10-30 0440 YL3DR         59  15     RW0A          59  18     0
QSO: 14246 PH 2010-10-30 0441 YL3DR         59  15     RT9S          59  16     0
QSO: 14246 PH 2010-10-30 0442 YL3DR         59  15     RA6XV         59  16     0
QSO:  3778 PH 2010-10-30 0443 YL3DR         59  15     LN9Z          59  14     0
QSO:  3778 PH 2010-10-30 0445 YL3DR         59  15     SN6Z          59  15     0
QSO:  3778 PH 2010-10-30 0446 YL3DR         59  15     DR5N          59  14     0
QSO:  3778 PH 2010-10-30 0447 YL3DR         59  15     OK7O          59  15     0
QSO:  3778 PH 2010-10-30 0448 YL3DR         59  15     SN3A          59  15     0
QSO:  7119 PH 2010-10-30 0452 YL3DR         59  15     RW3GW         59  16     0
QSO:  7119 PH 2010-10-30 0453 YL3DR         59  15     CR3A          59  33     0
QSO:  7119 PH 2010-10-30 0454 YL3DR         59  15     YT8A          59  15     0
QSO:  7119 PH 2010-10-30 0455 YL3DR         59  15     RK4WWQ        59  16     0
QSO:  7119 PH 2010-10-30 0457 YL3DR         59  15     YL3FT         59  15     0
QSO:  7119 PH 2010-10-30 0459 YL3DR         59  15     RX3APM        59  16     0
QSO:  1847 PH 2010-10-30 0503 YL3DR         59  15     RW2F          59  15     0
QSO:  1847 PH 2010-10-30 0504 YL3DR         59  15     OE3K          59  15     0
QSO:  1847 PH 2010-10-30 0507 YL3DR         59  15     OT5A          59  14     0
QSO:  1847 PH 2010-10-30 0509 YL3DR         59  15     SP1GZF        59  15     0
QSO:  1847 PH 2010-10-30 0509 YL3DR         59  15     LY2OU         59  15     0
QSO:  1847 PH 2010-10-30 0510 YL3DR         59  15     OM0WR         59  15     0
QSO:  1847 PH 2010-10-30 0514 YL3DR         59  15     OK1NY         59  15     0
QSO:  1847 PH 2010-10-30 0516 YL3DR         59  15     HG1Z          59  15     0
QSO:  3778 PH 2010-10-30 0524 YL3DR         59  15     DL0CS         59  14     0
QSO:  3778 PH 2010-10-30 0527 YL3DR         59  15     OQ5M          59  14     0
QSO: 14246 PH 2010-10-30 0535 YL3DR         59  15     II7K          59  15     0
QSO: 21200 PH 2010-10-30 0536 YL3DR         59  15     HS0ZCX        59  26     0
QSO: 21200 PH 2010-10-30 0543 YL3DR         59  15     SX5P          59  20     0
QSO: 21200 PH 2010-10-30 0543 YL3DR         59  15     UN6LN         59  17     0
QSO: 21200 PH 2010-10-30 0544 YL3DR         59  15     UN9L          59  17     0
QSO: 21200 PH 2010-10-30 0545 YL3DR         59  15     UA0SR         59  18     0
QSO: 21200 PH 2010-10-30 0545 YL3DR         59  15     UN7PBY        59  17     0
QSO: 21200 PH 2010-10-30 0547 YL3DR         59  15     JA3YBK        59  25     0
QSO: 21200 PH 2010-10-30 0550 YL3DR         59  15     4X0A          59  20     0
QSO: 21200 PH 2010-10-30 0553 YL3DR         59  15     8N5A          59  25     0
QSO: 21200 PH 2010-10-30 0555 YL3DR         59  15     5R8X          59  39     0
QSO: 21200 PH 2010-10-30 0612 YL3DR         59  15     JR3RIY        59  25     0
QSO: 21200 PH 2010-10-30 0618 YL3DR         59  15     RK9JWW        59  17     0
QSO: 21200 PH 2010-10-30 0618 YL3DR         59  15     P3N           59  20     0
QSO: 21200 PH 2010-10-30 0619 YL3DR         59  15     P3Z           59  20     0
QSO: 21200 PH 2010-10-30 0623 YL3DR         59  15     A73A          59  21     0
QSO: 21200 PH 2010-10-30 0628 YL3DR         59  15     JH4UYB        59  25     0
QSO: 21200 PH 2010-10-30 0630 YL3DR         59  15     YL2KO         59  15     0
QSO: 21200 PH 2010-10-30 0632 YL3DR         59  15     BX5AA         59  24     0
QSO: 21200 PH 2010-10-30 0633 YL3DR         59  15     JA1OVD        59  25     0
QSO: 21200 PH 2010-10-30 0634 YL3DR         59  15     RK0SWB        59  18     0
QSO: 14246 PH 2010-10-30 0635 YL3DR         59  15     TM1W          59  14     0
QSO: 14246 PH 2010-10-30 0636 YL3DR         59  15     SX1L          59  20     0
QSO: 14246 PH 2010-10-30 0638 YL3DR         59  15     YT5A          59  15     0
QSO: 14246 PH 2010-10-30 0638 YL3DR         59  15     RL6M          59  16     0
QSO: 14246 PH 2010-10-30 0640 YL3DR         59  15     F8KGH         59  14     0
QSO: 14246 PH 2010-10-30 0641 YL3DR         59  15     TM1O          59  14     0
QSO: 14246 PH 2010-10-30 0642 YL3DR         59  15     HB9OK         59  14     0
QSO: 14246 PH 2010-10-30 0643 YL3DR         59  15     RG9A          59  17     0
QSO: 14246 PH 2010-10-30 0644 YL3DR         59  15     E7DX          59  15     0
QSO: 14246 PH 2010-10-30 0644 YL3DR         59  15     IR9W          59  15     0
QSO: 14246 PH 2010-10-30 0648 YL3DR         59  15     IR4X          59  15     0
QSO: 14246 PH 2010-10-30 0649 YL3DR         59  15     YT7W          59  15     0
QSO: 14246 PH 2010-10-30 0651 YL3DR         59  15     EI9HX         59  14     0
QSO: 14246 PH 2010-10-30 0652 YL3DR         59  15     UO5L          59  17     0
QSO: 14246 PH 2010-10-30 0653 YL3DR         59  15     TA4ED         59  20     0
QSO: 28484 PH 2010-10-30 0655 YL3DR         59  15     RZ9UI         59  18     0
QSO: 28484 PH 2010-10-30 0657 YL3DR         59  15     RX0AK         59  18     0
QSO: 28484 PH 2010-10-30 0657 YL3DR         59  15     UA9UR         59  18     0
QSO: 28484 PH 2010-10-30 0658 YL3DR         59  15     R8MC          59  17     0
QSO: 28484 PH 2010-10-30 0659 YL3DR         59  15     RC9O          59  18     0
QSO: 28484 PH 2010-10-30 0700 YL3DR         59  15     RZ8U          59  18     0
QSO: 21200 PH 2010-10-30 0703 YL3DR         59  15     IR9W          59  15     0
QSO: 21200 PH 2010-10-30 0706 YL3DR         59  15     UN8GV         59  17     0
QSO: 21200 PH 2010-10-30 0709 YL3DR         59  15     UO5L          59  17     0
QSO:  7119 PH 2010-10-30 0711 YL3DR         59  15     DJ7WW         59  14     0
QSO:  7119 PH 2010-10-30 0713 YL3DR         59  15     F8DZU         59  14     0
QSO:  7119 PH 2010-10-30 0714 YL3DR         59  15     M4A           59  14     0
QSO:  7119 PH 2010-10-30 0715 YL3DR         59  15     S51CK         59  15     0
QSO: 14246 PH 2010-10-30 0717 YL3DR         59  15     4X0W          59  20     0
QSO: 14246 PH 2010-10-30 0718 YL3DR         59  15     UN7MMM        59  17     0
QSO: 14246 PH 2010-10-30 0718 YL3DR         59  15     ED5T          59  14     0
QSO: 14246 PH 2010-10-30 0719 YL3DR         59  15     LZ3CB         59  20     0
QSO: 14246 PH 2010-10-30 0720 YL3DR         59  15     UA7A          59  16     0
QSO: 14246 PH 2010-10-30 0721 YL3DR         59  15     IR8R          59  15     0
QSO: 14246 PH 2010-10-30 0722 YL3DR         59  15     II2S          59  15     0
QSO: 14246 PH 2010-10-30 0723 YL3DR         59  15     RZ1ZZ         59  16     0
QSO: 14246 PH 2010-10-30 0723 YL3DR         59  15     OP4K          59  14     0
QSO: 14246 PH 2010-10-30 0725 YL3DR         59  15     M4A           59  14     0
QSO: 14246 PH 2010-10-30 0726 YL3DR         59  15     IZ5IIN        59  15     0
QSO: 14246 PH 2010-10-30 0727 YL3DR         59  15     UW2I          59  16     0
QSO: 14246 PH 2010-10-30 0728 YL3DR         59  15     YT7R          59  15     0
QSO: 14246 PH 2010-10-30 0729 YL3DR         59  15     GM2V          59  14     0
QSO:  7119 PH 2010-10-30 0735 YL3DR         59  15     TM2T          59  14     0
QSO:  3778 PH 2010-10-30 0736 YL3DR         59  15     LY7A          59  15     0
QSO:  7119 PH 2010-10-30 0738 YL3DR         59  15     YU0T          59  15     0
QSO: 21200 PH 2010-10-30 0740 YL3DR         59  15     RF9C          59  17     0
QSO: 21200 PH 2010-10-30 0742 YL3DR         59  15     HS0ZDG        59  26     0
QSO: 21200 PH 2010-10-30 0744 YL3DR         59  15     RG9A          59  17     0
QSO: 21200 PH 2010-10-30 0744 YL3DR         59  15     JA0FVU        59  25     0
QSO: 21200 PH 2010-10-30 0745 YL3DR         59  15     JS3CTQ        59  25     0
QSO: 21200 PH 2010-10-30 0746 YL3DR         59  15     RA9FEL        59  17     0
QSO: 21200 PH 2010-10-30 0747 YL3DR         59  15     RA0ACM        59  18     0
QSO: 21200 PH 2010-10-30 0748 YL3DR         59  15     R9DX          59  17     0
QSO: 21200 PH 2010-10-30 0749 YL3DR         59  15     UA0SE         59  18     0
QSO: 21200 PH 2010-10-30 0750 YL3DR         59  15     RZ0WWA        59  18     0
QSO: 28484 PH 2010-10-30 0753 YL3DR         59  15     UN7PL         59  17     0
QSO: 28484 PH 2010-10-30 0754 YL3DR         59  15     LY2W          59  15     0
QSO: 28484 PH 2010-10-30 0759 YL3DR         59  15     UN4PG         59  17     0
QSO: 14246 PH 2010-10-30 0802 YL3DR         59  15     YU5R          59  15     0
QSO: 14246 PH 2010-10-30 0803 YL3DR         59  15     A73A          59  21     0
QSO: 14246 PH 2010-10-30 0804 YL3DR         59  15     UT7E          59  16     0
QSO: 14246 PH 2010-10-30 0804 YL3DR         59  15     PA3S          59  14     0
QSO: 14246 PH 2010-10-30 0806 YL3DR         59  15     IQ4RN         59  15     0
QSO: 14246 PH 2010-10-30 0807 YL3DR         59  15     EA1IR         59  14     0
QSO: 14246 PH 2010-10-30 0808 YL3DR         59  15     G6MC          59  14     0
QSO: 14246 PH 2010-10-30 0809 YL3DR         59  15     E74A          59  15     0
QSO: 14246 PH 2010-10-30 0810 YL3DR         59  15     LZ9R          59  20     0
QSO: 14246 PH 2010-10-30 0810 YL3DR         59  15     IQ3UD         59  15     0
QSO: 14246 PH 2010-10-30 0811 YL3DR         59  15     PI4DX         59  14     0
QSO: 14246 PH 2010-10-30 0812 YL3DR         59  15     YT1A          59  15     0
QSO: 14246 PH 2010-10-30 0813 YL3DR         59  15     E73M          59  15     0
QSO: 14246 PH 2010-10-30 0815 YL3DR         59  15     LZ4RR         59  20     0
QSO: 14246 PH 2010-10-30 0817 YL3DR         59  15     YT9A          59  15     0
QSO: 21200 PH 2010-10-30 0821 YL3DR         59  15     RN9S          59  16     0
QSO: 21200 PH 2010-10-30 0822 YL3DR         59  15     UP9L          59  17     0
QSO: 21200 PH 2010-10-30 0823 YL3DR         59  15     UA0YAY        59  23     0
QSO: 21200 PH 2010-10-30 0825 YL3DR         59  15     EA7IZJ        59  14     0
QSO: 21200 PH 2010-10-30 0826 YL3DR         59  15     OH1F          59  15     0
QSO: 21200 PH 2010-10-30 0827 YL3DR         59  15     RN9CM         59  17     0
QSO: 21200 PH 2010-10-30 0830 YL3DR         59  15     UB0A          59  18     0
QSO: 21200 PH 2010-10-30 0831 YL3DR         59  15     RU9CC         59  17     0
QSO: 21200 PH 2010-10-30 0833 YL3DR         59  15     P33W          59  20     0
QSO: 21200 PH 2010-10-30 0836 YL3DR         59  15     RK9CYA        59  17     0
QSO: 21200 PH 2010-10-30 0837 YL3DR         59  15     EA1EY         59  14     0
QSO: 21200 PH 2010-10-30 0838 YL3DR         59  15     EA5EA         59  14     0
QSO: 28484 PH 2010-10-30 0840 YL3DR         59  15     LY9Y          59  15     0
QSO: 14246 PH 2010-10-30 0841 YL3DR         59  15     IR8A          59  15     0
QSO: 14246 PH 2010-10-30 0843 YL3DR         59  15     HG1S          59  15     0
QSO: 14246 PH 2010-10-30 0845 YL3DR         59  15     EI2CN         59  14     0
QSO: 14246 PH 2010-10-30 0846 YL3DR         59  15     DL2ARD        59  14     0
QSO: 14246 PH 2010-10-30 0847 YL3DR         59  15     GI6K          59  14     0
QSO: 14246 PH 2010-10-30 0848 YL3DR         59  15     DR5N          59  14     0
QSO: 14246 PH 2010-10-30 0849 YL3DR         59  15     G3TBK         59  14     0
QSO: 14246 PH 2010-10-30 0849 YL3DR         59  15     DL2AGB        59  14     0
QSO: 14246 PH 2010-10-30 0850 YL3DR         59  15     T70A          59  15     0
QSO: 14246 PH 2010-10-30 0851 YL3DR         59  15     LX9DX         59  14     0
QSO:  7119 PH 2010-10-30 0852 YL3DR         59  15     ON4MA         59  14     0
QSO:  7119 PH 2010-10-30 0854 YL3DR         59  15     OL5Y          59  15     0
QSO:  7119 PH 2010-10-30 0855 YL3DR         59  15     SK6D          59  14     0
QSO:  7119 PH 2010-10-30 0856 YL3DR         59  15     TM9R          59  14     0
QSO:  7119 PH 2010-10-30 0857 YL3DR         59  15     OZ2PBS        59  14     0
QSO:  7119 PH 2010-10-30 0858 YL3DR         59  15     DH8BQA        59  14     0
QSO:  7119 PH 2010-10-30 0859 YL3DR         59  15     OH0JFP        59  15     0
QSO:  7119 PH 2010-10-30 0902 YL3DR         59  15     DJ7YP         59  14     0
QSO: 21200 PH 2010-10-30 0905 YL3DR         59  15     OK5W          59  15     0
QSO: 21200 PH 2010-10-30 0907 YL3DR         59  15     9A5D          59  15     0
QSO: 21200 PH 2010-10-30 0908 YL3DR         59  15     TM1E          59  14     0
QSO: 21200 PH 2010-10-30 0909 YL3DR         59  15     ED1RCM        59  14     0
QSO: 21200 PH 2010-10-30 0911 YL3DR         59  15     UA9R          59  17     0
QSO: 21200 PH 2010-10-30 0912 YL3DR         59  15     RZ9CQ         59  17     0
QSO: 21200 PH 2010-10-30 0913 YL3DR         59  15     E71A          59  15     0
QSO: 21200 PH 2010-10-30 0914 YL3DR         59  15     EC2DX         59  14     0
QSO: 21200 PH 2010-10-30 0915 YL3DR         59  15     EE2W          59  14     0
QSO: 21200 PH 2010-10-30 0916 YL3DR         59  15     UA9JDP        59  17     0
QSO: 21200 PH 2010-10-30 0917 YL3DR         59  15     T70A          59  15     0
QSO: 21200 PH 2010-10-30 0921 YL3DR         59  15     4L0A          59  21     0
QSO: 21200 PH 2010-10-30 0922 YL3DR         59  15     R9WR          59  16     0
QSO: 21200 PH 2010-10-30 0923 YL3DR         59  15     IR9Y          59  15     0
QSO: 21200 PH 2010-10-30 0925 YL3DR         59  15     EE7D          59  14     0
QSO: 21200 PH 2010-10-30 0925 YL3DR         59  15     EE2K          59  14     0
QSO: 21200 PH 2010-10-30 0926 YL3DR         59  15     IT9YVO        59  15     0
QSO: 21200 PH 2010-10-30 0927 YL3DR         59  15     AO3A          59  14     0
QSO: 21200 PH 2010-10-30 0929 YL3DR         59  15     YU2A          59  15     0
QSO: 21200 PH 2010-10-30 0930 YL3DR         59  15     RZ9AN         59  17     0
QSO: 21200 PH 2010-10-30 0931 YL3DR         59  15     OQ5M          59  14     0
QSO: 21200 PH 2010-10-30 0932 YL3DR         59  15     EA5GI         59  14     0
QSO: 21200 PH 2010-10-30 0933 YL3DR         59  15     SV9DJO        59  20     0
QSO: 28484 PH 2010-10-30 0938 YL3DR         59  15     IZ8OGR        59  15     0
QSO: 21200 PH 2010-10-30 0940 YL3DR         59  15     LP2F          59  13     0
QSO: 21200 PH 2010-10-30 0941 YL3DR         59  15     EA1IR         59  14     0
QSO: 21200 PH 2010-10-30 0941 YL3DR         59  15     EE5J          59  14     0
QSO: 21200 PH 2010-10-30 0942 YL3DR         59  15     ED5T          59  14     0
QSO: 21200 PH 2010-10-30 0954 YL3DR         59  15     EA3CI         59  14     0
QSO: 21200 PH 2010-10-30 0954 YL3DR         59  15     YO3CZW        59  20     0
QSO: 21200 PH 2010-10-30 0956 YL3DR         59  15     RA9AE         59  17     0
QSO: 21200 PH 2010-10-30 0958 YL3DR         59  15     EA7ISH        59  14     0
