START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: HA2MN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 32340
CREATED-BY: UcxLog 6.63
NAME: TIBOR (TIBI)  ZENTAI
CLUB: HAROS RADIO CLUB
SOAPBOX: Just part time participation. Many thanks for Q's, see you next
SOAPBOX: year!
SOAPBOX: Rig: TS-530SP 100W ant end-fed wire 21 mtrs long above flat roof
QSO:  7000 PH 2010-10-30 0040 HA2MN         59  15     SX5P          59  20     0
QSO:  7000 PH 2010-10-30 0050 HA2MN         59  15     TM9R          59  14     0
QSO:  7000 PH 2010-10-30 0051 HA2MN         59  15     P3N           59  20     0
QSO:  7000 PH 2010-10-30 0052 HA2MN         59  15     TM5KD         59  14     0
QSO:  7000 PH 2010-10-30 0052 HA2MN         59  15     LN9Z          59  14     0
QSO:  7000 PH 2010-10-30 0053 HA2MN         59  15     RG3K          59  16     0
QSO:  7000 PH 2010-10-30 0106 HA2MN         59  15     4L0A          59  21     0
QSO:  7000 PH 2010-10-30 0107 HA2MN         59  15     C4W           59  20     0
QSO:  7000 PH 2010-10-30 0111 HA2MN         59  15     AM3SSB        59  14     0
QSO:  7000 PH 2010-10-30 0113 HA2MN         59  15     TA2/DL7BC     59  20     0
QSO:  7000 PH 2010-10-30 0113 HA2MN         59  15     RM3Q          59  16     0
QSO:  7000 PH 2010-10-30 0117 HA2MN         59  15     RT5Z          59  16     0
QSO:  7000 PH 2010-10-30 0120 HA2MN         59  15     P39P          59  20     0
QSO:  7000 PH 2010-10-30 0125 HA2MN         59  15     PA6V          59  14     0
QSO:  7000 PH 2010-10-30 0126 HA2MN         59  15     UU9CW         59  16     0
QSO:  7000 PH 2010-10-30 0128 HA2MN         59  15     UA4LCH        59  16     0
QSO:  7000 PH 2010-10-30 0131 HA2MN         59  15     RW3GW         59  16     0
QSO:  7000 PH 2010-10-30 0137 HA2MN         59  15     EI9E          59  14     0
QSO:  7000 PH 2010-10-30 0140 HA2MN         59  15     RK9AX         59  17     0
QSO:  7000 PH 2010-10-30 0142 HA2MN         59  15     EA1IR         59  14     0
QSO:  7000 PH 2010-10-30 0146 HA2MN         59  15     R9DX          59  17     0
QSO:  7000 PH 2010-10-30 0149 HA2MN         59  15     OZ5GX         59  14     0
QSO:  7000 PH 2010-10-30 0458 HA2MN         59  15     M9X           59  14     0
QSO:  7000 PH 2010-10-30 0459 HA2MN         59  15     OT2A          59  14     0
QSO:  7000 PH 2010-10-30 0501 HA2MN         59  15     P33W          59  20     0
QSO:  7000 PH 2010-10-30 0502 HA2MN         59  15     LA1J          59  14     0
QSO:  7000 PH 2010-10-30 0502 HA2MN         59  15     OH0/SP7VC     59  15     0
QSO:  7000 PH 2010-10-30 0508 HA2MN         59  15     J48OV         59  20     0
QSO:  7000 PH 2010-10-30 0510 HA2MN         59  15     OY6A          59  14     0
