START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.187 [RUS]
CALLSIGN: RA3EA
CONTEST: CQ-WW-SSB
CLAIMED-SCORE: 15180
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
XCLUB: ÎREL
LOCATION: DX
NAME: ALBERT SOBOLEV,
SOAPBOX: 73!
SOAPBOX: RIG(s): FT1000 MP MARK-V,FT2000 D,,; ANTENNA(s): A4S,GP, 2-el DELTA LOOP-160,80,40M
QSO:  7073 PH 2010-10-30 0110 RA3EA         59  16     V26B          59  8
QSO:  7121 PH 2010-10-30 0112 RA3EA         59  16     TA2/DL7BC     59  20
QSO:  7120 PH 2010-10-30 0113 RA3EA         59  16     P3N           59  20
QSO:  7122 PH 2010-10-30 0114 RA3EA         59  16     GM0B          59  14
QSO:  7140 PH 2010-10-30 0117 RA3EA         59  16     IQ4RN         59  15
QSO: 14234 PH 2010-10-30 0443 RA3EA         59  16     S79K          59  39
QSO: 14172 PH 2010-10-30 0445 RA3EA         59  16     J28RO         59  37
QSO: 14236 PH 2010-10-30 0446 RA3EA         59  16     A65BP         59  21
QSO: 14274 PH 2010-10-30 0448 RA3EA         59  16     A41OO         59  21
QSO: 14309 PH 2010-10-30 0450 RA3EA         59  16     4K6FO         59  21
QSO: 14285 PH 2010-10-30 0450 RA3EA         59  16     IG9S          59  33
QSO: 14258 PH 2010-10-30 0451 RA3EA         59  16     IR9W          59  15
QSO: 14245 PH 2010-10-30 0451 RA3EA         59  16     UI8I          59  18
QSO: 14227 PH 2010-10-30 0451 RA3EA         59  16     P3N           59  20
QSO: 21302 PH 2010-10-30 0454 RA3EA         59  16     3W1M          59  26
QSO: 21202 PH 2010-10-30 0455 RA3EA         59  16     A73A          59  21
QSO: 21234 PH 2010-10-30 0457 RA3EA         59  16     9M8Z          59  28
QSO: 21315 PH 2010-10-30 0459 RA3EA         59  16     BX5AA         59  24
QSO: 21353 PH 2010-10-30 0730 RA3EA         59  16     5R8X          59  39
QSO: 21187 PH 2010-10-30 0830 RA3EA         59  16     S79K          59  39
QSO: 14225 PH 2010-10-30 1504 RA3EA         59  16     DF0HQ         59  14
QSO:  7197 PH 2010-10-31 0229 RA3EA         59  16     CR3A          59  33
QSO:  7186 PH 2010-10-31 0230 RA3EA         59  16     W3UA          59  5
QSO:  7179 PH 2010-10-31 0230 RA3EA         59  16     4O3A          59  15
QSO:  7168 PH 2010-10-31 0231 RA3EA         59  16     ED1R          59  14
QSO:  7161 PH 2010-10-31 0232 RA3EA         59  16     DQ4W          59  14
QSO:  7133 PH 2010-10-31 0239 RA3EA         59  16     CN3A          59  33
QSO:  7109 PH 2010-10-31 0239 RA3EA         59  16     M9X           59  14
QSO:  1846 PH 2010-10-31 0249 RA3EA         59  16     P3N           59  20
QSO:  3722 PH 2010-10-31 0300 RA3EA         59  16     IR4M          59  15
QSO:  3774 PH 2010-10-31 0303 RA3EA         59  16     P3N           59  20
QSO:  7185 PH 2010-10-31 0358 RA3EA         59  16     A73A          59  21
QSO:  7160 PH 2010-10-31 0400 RA3EA         59  16     CN3R          59  33
QSO: 14162 PH 2010-10-31 0404 RA3EA         59  16     4X0W          59  20
QSO: 14206 PH 2010-10-31 0405 RA3EA         59  16     A73A          59  21
QSO: 21369 PH 2010-10-31 0408 RA3EA         59  16     8N5A          59  25
QSO: 21255 PH 2010-10-31 0526 RA3EA         59  16     RO9O          59  18
QSO: 21255 PH 2010-10-31 0528 RA3EA         59  16     V63CJB        59  27
QSO: 21200 PH 2010-10-31 0529 RA3EA         59  16     BW2/KU1CW     59  24
QSO: 21312 PH 2010-10-31 0530 RA3EA         59  16     B7P           59  24
QSO: 21345 PH 2010-10-31 0534 RA3EA         59  16     SX5P          59  20
QSO: 21348 PH 2010-10-31 0536 RA3EA         59  16     BV100ROC      59  24
QSO: 21349 PH 2010-10-31 0538 RA3EA         59  16     WH2DX         59  27
QSO: 21302 PH 2010-10-31 0539 RA3EA         59  16     BT4EXPO       59  24
QSO: 21313 PH 2010-10-31 0540 RA3EA         59  16     BY4QA         59  24
QSO: 21195 PH 2010-10-31 0545 RA3EA         59  16     V84CQ         59  28
QSO: 21279 PH 2010-10-31 0548 RA3EA         59  16     BY6IC         59  24
QSO: 21292 PH 2010-10-31 0549 RA3EA         59  16     XU7ACY        59  26
QSO: 28485 PH 2010-10-31 0854 RA3EA         59  16     ZS6TQ         59  38
QSO: 28483 PH 2010-10-31 0856 RA3EA         59  16     IR6T          59  15
QSO: 28385 PH 2010-10-31 0908 RA3EA         59  16     A25HQ         59  38
QSO: 28449 PH 2010-10-31 0912 RA3EA         59  16     ST2AR         59  34
QSO: 28458 PH 2010-10-31 0920 RA3EA         59  16     V51YJ         59  38
QSO: 28512 PH 2010-10-31 0930 RA3EA         59  16     EF8R          59  33
QSO: 28474 PH 2010-10-31 0954 RA3EA         59  16     ZS6GF         59  38
QSO: 28456 PH 2010-10-31 1105 RA3EA         59  16     D4C           59  35
QSO: 28396 PH 2010-10-31 1107 RA3EA         59  16     C91WW         59  37
QSO: 28514 PH 2010-10-31 1116 RA3EA         59  16     6W1RY         59  35
QSO: 28482 PH 2010-10-31 1139 RA3EA         59  16     CN3A          59  33
QSO: 14147 PH 2010-10-31 1212 RA3EA         59  16     T70A          59  15
QSO: 21182 PH 2010-10-31 1214 RA3EA         59  16     CN3A          59  33
QSO: 14115 PH 2010-10-31 1221 RA3EA         59  16     PJ2T          59  9
QSO: 14112 PH 2010-10-31 1224 RA3EA         59  16     VC3A          59  4
END-OF-LOG:
