START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0-dev
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: F4FBP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 6431
OPERATORS: F4FBP
NAME: Denis GUENEAU
SOAPBOX: Working CQ-WW-SSB for the 2nd time. 73 de F4FBP Denis
QSO:  7000 PH 2010-10-30 0830 F4FBP         59  14     TM1O          59  14     0
QSO:  7000 PH 2010-10-30 0848 F4FBP         59  14     C37N          59  14     0
QSO:  7000 PH 2010-10-30 0857 F4FBP         59  14     TM9R          59  14     0
QSO:  7000 PH 2010-10-30 0906 F4FBP         59  14     DP6T          59  14     0
QSO:  7000 PH 2010-10-30 0913 F4FBP         59  14     TM5KD         59  14     0
QSO:  7000 PH 2010-10-30 0919 F4FBP         59  14     TM0T          59  14     0
QSO:  7000 PH 2010-10-30 0935 F4FBP         59  14     G3B           59  14     0
QSO:  7000 PH 2010-10-30 0942 F4FBP         59  14     DR5N          59  14     0
QSO:  7000 PH 2010-10-30 0945 F4FBP         59  14     DR1A          59  14     0
QSO:  7000 PH 2010-10-30 0956 F4FBP         59  14     IZ6ERS        59  15     0
QSO:  7000 PH 2010-10-30 1004 F4FBP         59  14     IK2SGB        59  15     0
QSO:  7000 PH 2010-10-30 1007 F4FBP         59  14     F5CYS         59  14     0
QSO:  7000 PH 2010-10-30 1016 F4FBP         59  14     EA2DNR/P      59  14     0
QSO:  7000 PH 2010-10-30 1026 F4FBP         59  14     PA6Z          59  14     0
QSO:  7000 PH 2010-10-30 1335 F4FBP         59  14     F5PAU         59  14     0
QSO: 14000 PH 2010-10-30 1414 F4FBP         59  14     YT5A          59  15     0
QSO: 14000 PH 2010-10-30 1416 F4FBP         59  14     SM5F          59  14     0
QSO: 14000 PH 2010-10-30 1558 F4FBP         59  14     EA7HLU        59  14     0
QSO: 14000 PH 2010-10-30 1603 F4FBP         59  14     CT1ETX        59  14     0
QSO: 14000 PH 2010-10-30 1606 F4FBP         59  14     SP4DZT        59  15     0
QSO: 14000 PH 2010-10-30 1608 F4FBP         59  14     RT6A          59  16     0
QSO: 14000 PH 2010-10-30 1610 F4FBP         59  14     LZ4RR         59  20     0
QSO: 14000 PH 2010-10-30 1614 F4FBP         59  14     IT9HBT        59  15     0
QSO: 14000 PH 2010-10-30 1619 F4FBP         59  14     CT1JLZ        59  14     0
QSO: 14000 PH 2010-10-30 1624 F4FBP         59  14     SV1DPI        59  20     0
QSO: 14000 PH 2010-10-30 1713 F4FBP         59  14     K2TR          59  05     0
QSO: 14000 PH 2010-10-30 1735 F4FBP         59  14     VE3RM         59  04     0
QSO: 14000 PH 2010-10-30 1743 F4FBP         59  14     VE3JM         59  04     0
QSO: 14000 PH 2010-10-30 1802 F4FBP         59  14     YT0W          59  15     0
QSO: 14000 PH 2010-10-30 1804 F4FBP         59  14     SK3W          59  14     0
QSO: 14000 PH 2010-10-30 1818 F4FBP         59  14     EF8R          59  33     0
QSO: 14000 PH 2010-10-30 1925 F4FBP         59  14     VC3A          59  04     0
QSO: 14000 PH 2010-10-30 1945 F4FBP         59  14     K3LR          59  05     0
QSO:  7000 PH 2010-10-31 1003 F4FBP         59  14     PB7W          59  14     0
QSO:  7000 PH 2010-10-31 1538 F4FBP         59  14     GM0B          59  14     0
QSO:  7000 PH 2010-10-31 1601 F4FBP         59  14     RW9USA        59  18     0
QSO:  7000 PH 2010-10-31 1604 F4FBP         59  14     TM1O          59  14     0
QSO:  7000 PH 2010-10-31 1608 F4FBP         59  14     TM9R          59  14     0
QSO:  7000 PH 2010-10-31 1609 F4FBP         59  14     EA3ATM        59  14     0
QSO:  7000 PH 2010-10-31 1613 F4FBP         59  14     EA3AV         59  14     0
QSO:  7000 PH 2010-10-31 1624 F4FBP         59  14     OH0JFP        59  15     0
QSO:  7000 PH 2010-10-31 1625 F4FBP         59  14     IZ1GAR        59  15     0
QSO:  7000 PH 2010-10-31 1627 F4FBP         59  14     DF0HQ         59  14     0
